Patente|Pedimento|SeccionAduanera|RfcTransportista|CurpTransportista|NombreTransportista|PaisTransporte|IdentificadorTransporte|FechaPagoReal
1592|3002037|160|||MEDITERRANEAN SHIPPING COMPANY MEXICO SA DE CV|LBR|MSCFIEX|2023-03-06 17:03:02|
1592|3002046|160|||MEDITERRANEAN SHIPPING COMPANY MEXICO SA DE CV|LBR|MSCFIEX|2023-03-06 18:03:04|
1592|3002047|160|||MEDITERRANEAN SHIPPING COMPANY MEXICO SA DE CV|LBR|MSCFIEX|2023-03-06 17:03:02|
1592|3002049|160|||MEDITERRANEAN SHIPPING COMPANY MEXICO SA DE CV|LBR|MSCFIEX|2023-03-06 17:03:02|
1592|3002061|160|||MEDITERRANEAN SHIPPING COMPANY MEXICO SA DE CV|LBR|MSCFIEX|2023-03-06 17:03:03|
1592|3002076|160|||CMA CGM|SGP|APLESPLANADE|2023-03-23 12:03:00|
1592|3002079|160|||CMA CGM|SGP|APLESPLANADE|2023-03-23 12:03:02|
1592|3002081|160|||EVERGREEN LINE|SGP|EVERLAWFUL|2023-03-24 20:03:00|
1592|3002082|160|||MEDITERRANEAN SHIPPING COMPANY MEXICO SA DE CV|HKG|SEASPANBELIEF|2023-03-24 19:03:01|
1592|3002085|160|||OCEAN NETWORK EXPRESS|MLT|VALOR|2023-03-29 16:03:03|
1592|3002092|160|||MEDITERRANEAN SHIPPING COMPANY MEXICO SA DE CV|PAN|MSCLISA|2023-04-14 09:04:04|
1592|3002093|160|||REPRESENTACIONES MARITIMAS, S.A. DE C.V.|SGP|EVERLEGACY|2023-03-31 12:03:01|
1592|3002094|160|||REPRESENTACIONES MARITIMAS, S.A. DE C.V.|SGP|EVERLEGACY|2023-03-31 16:03:04|
1592|3002095|160|||MEDITERRANEAN SHIPPING COMPANY MEXICO SA DE CV|PAN|MSCLISA|2023-04-14 09:04:03|
1592|3002096|160|||REPRESENTACIONES MARITIMAS, S.A. DE C.V.|SGP|EVERLEGACY|2023-03-31 16:03:03|
1592|3002097|160|||CMA CGM|MLT|CMACGMZEPHYR|2023-04-12 16:04:01|
1592|3002120|160|||COSCO SHIPPING LINES CO LTD|HKG|COSCOSAOPAULO|2023-04-24 16:04:04|
1592|3002133|160|||MEDITERRANEAN SHIPPING COMPANY MEXICO SA DE CV|HKG|SEASPANRAPTOR|2023-04-18 10:04:01|
1592|3002134|160|||REPRESENTACIONES MARITIMAS, S.A. DE C.V.|TWN|EVERLUCID|2023-04-18 11:04:03|
1592|3002135|160|||REPRESENTACIONES MARITIMAS, S.A. DE C.V.|TWN|EVERLUCID|2023-04-17 18:04:02|
1592|3002145|160|||EVERGREEN LINE|GBR|EVERLAMBENT|2023-04-26 17:04:01|
1592|3002146|160|||EVERGREEN LINE|GBR|EVERLAMBENT|2023-04-26 17:04:03|
1592|3002148|160|||OCEAN NETWORK EXPRESS|MLT|MSCTRIESTE|2023-04-27 16:04:03|
1592|3002152|160|||COSCO SHIPPING LINES CO LTD|CHN|XINTAICANG|2023-04-25 16:04:02|
1592|3002160|160|||CMA CGM|MLT|CMACGMNANTONG|2023-04-27 18:04:01|
1592|3002167|160|||CMA CGM|MLT|CMACGMAPOLLON|2023-04-29 10:04:02|
3574|2004651|160||||CHN|XINNANTONG|2022-12-22 16:12:00|
3574|3000090|160||||CHN|CMACGMTUTICORIN|2023-01-05 19:01:00|
3574|3000100|160||||MLT|CMACGMURAL|2023-01-12 10:01:02|
3574|3000995|160||||LBR|MSCRUBY|2023-03-30 17:03:02|
3574|3001174|160||||MLT|CMACGMURAL|2023-03-10 18:03:01|
3574|3001179|160||||CHN|CMACGMTUTICORIN|2023-03-10 18:03:02|
3574|3001382|160||||HKG|CMACGMCOCHIN|2023-04-17 17:04:03|
3574|3001383|160||||MLT|CMACGMSAMSON|2023-04-18 18:04:03|
3574|3001546|160||||MLT|CMACGMSAMSON|2023-04-18 18:04:04|
