Patente|Pedimento|SeccionAduanera|NumeroGuia|TipoGuia|FechaPagoReal
1592|3002037|160|MEDUO4818649|M|2023-03-06 17:03:02|
1592|3002046|160|MEDUO4818649|M|2023-03-06 18:03:04|
1592|3002047|160|MEDUO4818649|M|2023-03-06 17:03:02|
1592|3002049|160|MEDUO4818649|M|2023-03-06 17:03:02|
1592|3002061|160|MEDUO4818649|M|2023-03-06 17:03:03|
1592|3002076|160|NBXG827988|M|2023-03-23 12:03:00|
1592|3002079|160|NBXG827935|M|2023-03-23 12:03:02|
1592|3002081|160|EGLV143359600957|M|2023-03-24 20:03:00|
1592|3002082|160|MEDUO5211596|M|2023-03-24 19:03:01|
1592|3002085|160|ONEYNB2BPF496900|M|2023-03-29 16:03:03|
1592|3002092|160|MEDUU7621029|M|2023-04-14 09:04:04|
1592|3002093|160|YMLUC226029183|M|2023-03-31 12:03:01|
1592|3002094|160|YMLUC226029177|M|2023-03-31 16:03:04|
1592|3002095|160|MEDUU7621078|M|2023-04-14 09:04:03|
1592|3002096|160|YMLUC226029171|M|2023-03-31 16:03:03|
1592|3002097|160|NBXG829257|M|2023-04-12 16:04:01|
1592|3002120|160|COSU6353284900|M|2023-04-24 16:04:04|
1592|3002133|160|MEDUU9982882|M|2023-04-18 10:04:01|
1592|3002134|160|YMLUC226029788|M|2023-04-18 11:04:03|
1592|3002135|160|YMLUC226029835|M|2023-04-17 18:04:02|
1592|3002145|160|EGLV149301108315|M|2023-04-26 17:04:01|
1592|3002146|160|EGLV149301121010|M|2023-04-26 17:04:03|
1592|3002148|160|ONEYNB3BP3575500|M|2023-04-27 16:04:03|
1592|3002152|160|COSU6353284900|M|2023-04-25 16:04:02|
1592|3002160|160|TJN0186119|M|2023-04-27 18:04:01|
1592|3002167|160|TJN0186119|M|2023-04-29 10:04:02|
3574|2004651|160|NBXG823476|M|2022-12-22 16:12:00|
3574|3000090|160|NBXG823481|M|2023-01-05 19:01:00|
3574|3000100|160|NBXG824897|M|2023-01-12 10:01:02|
3574|3000995|160|HDMUCANM84120900|M|2023-03-30 17:03:02|
3574|3001174|160|NBXG824897|M|2023-03-10 18:03:01|
3574|3001179|160|NBXG823481|M|2023-03-10 18:03:02|
3574|3001382|160|NBLG401602|M|2023-04-17 17:04:03|
3574|3001383|160|NBLG401603|M|2023-04-18 18:04:03|
3574|3001546|160|NBLG401603|M|2023-04-18 18:04:04|
