Patente|Pedimento|SeccionAduanera|NumContenedor|TipoContenedor|FechaPagoReal
1592|3002037|160|MEDU7720520|3|2023-03-06 17:03:02|
1592|3002037|160|MSMU7726898|3|2023-03-06 17:03:02|
1592|3002046|160|MSMU7726898|3|2023-03-06 18:03:04|
1592|3002047|160|MEDU7720520|3|2023-03-06 17:03:02|
1592|3002049|160|MSMU6663901|3|2023-03-06 17:03:02|
1592|3002061|160|MSMU6663901|3|2023-03-06 17:03:03|
1592|3002076|160|CMAU5645558|3|2023-03-23 12:03:00|
1592|3002079|160|CMAU5892033|3|2023-03-23 12:03:02|
1592|3002081|160|EGHU8414885|3|2023-03-24 20:03:00|
1592|3002082|160|GLDU3912760|1|2023-03-24 19:03:01|
1592|3002085|160|KKTU8171701|1|2023-03-29 16:03:03|
1592|3002092|160|CAIU7500566|3|2023-04-14 09:04:04|
1592|3002092|160|CARU5187510|3|2023-04-14 09:04:04|
1592|3002092|160|GESU6165722|3|2023-04-14 09:04:04|
1592|3002092|160|MSCU9198064|3|2023-04-14 09:04:04|
1592|3002092|160|MSDU8530347|3|2023-04-14 09:04:04|
1592|3002093|160|BMOU5733086|3|2023-03-31 12:03:01|
1592|3002093|160|CAIU7868352|3|2023-03-31 12:03:01|
1592|3002093|160|TCNU3758617|3|2023-03-31 12:03:01|
1592|3002093|160|TEMU8797107|3|2023-03-31 12:03:01|
1592|3002093|160|TGBU5561020|3|2023-03-31 12:03:01|
1592|3002093|160|YMMU6509918|3|2023-03-31 12:03:01|
1592|3002094|160|BMOU5742004|3|2023-03-31 16:03:04|
1592|3002094|160|FFAU1284244|3|2023-03-31 16:03:04|
1592|3002094|160|TEMU7951373|3|2023-03-31 16:03:04|
1592|3002094|160|TLLU4715499|3|2023-03-31 16:03:04|
1592|3002094|160|YMMU6365678|3|2023-03-31 16:03:04|
1592|3002094|160|YMMU6380775|3|2023-03-31 16:03:04|
1592|3002095|160|BMOU5961147|3|2023-04-14 09:04:03|
1592|3002095|160|FFAU1360112|3|2023-04-14 09:04:03|
1592|3002095|160|MSCU7491520|3|2023-04-14 09:04:03|
1592|3002095|160|MSMU7601587|3|2023-04-14 09:04:03|
1592|3002095|160|SEGU6810857|3|2023-04-14 09:04:03|
1592|3002096|160|FBLU0145630|3|2023-03-31 16:03:03|
1592|3002096|160|SEGU5430180|3|2023-03-31 16:03:03|
1592|3002096|160|TCNU7381856|3|2023-03-31 16:03:03|
1592|3002096|160|YMLU8608705|3|2023-03-31 16:03:03|
1592|3002096|160|YMLU8757484|3|2023-03-31 16:03:03|
1592|3002096|160|YMMU6197126|3|2023-03-31 16:03:03|
1592|3002097|160|TCNU7572092|3|2023-04-12 16:04:01|
1592|3002097|160|TTNU5993460|2|2023-04-12 16:04:01|
1592|3002120|160|FCIU9496946|3|2023-04-24 16:04:04|
1592|3002120|160|TRHU5376725|3|2023-04-24 16:04:04|
1592|3002133|160|CAIU8936256|3|2023-04-18 10:04:01|
1592|3002133|160|FFAU3813286|3|2023-04-18 10:04:01|
1592|3002133|160|MSDU7996813|3|2023-04-18 10:04:01|
1592|3002133|160|MSMU5151264|3|2023-04-18 10:04:01|
1592|3002133|160|MSMU8734901|3|2023-04-18 10:04:01|
1592|3002133|160|TRHU7753279|3|2023-04-18 10:04:01|
1592|3002134|160|BEAU4497844|3|2023-04-18 11:04:03|
1592|3002134|160|CAIU4575237|3|2023-04-18 11:04:03|
1592|3002134|160|MAGU5541553|3|2023-04-18 11:04:03|
1592|3002134|160|SEGU6518526|3|2023-04-18 11:04:03|
1592|3002134|160|SEGU6874595|3|2023-04-18 11:04:03|
1592|3002134|160|TGBU6319840|3|2023-04-18 11:04:03|
1592|3002135|160|YMLU6427457|7|2023-04-17 18:04:02|
1592|3002145|160|EGHU9247988|3|2023-04-26 17:04:01|
1592|3002145|160|EMCU8600020|3|2023-04-26 17:04:01|
1592|3002145|160|FFAU1120148|3|2023-04-26 17:04:01|
1592|3002145|160|TGBU6999705|3|2023-04-26 17:04:01|
1592|3002145|160|TGBU7034672|3|2023-04-26 17:04:01|
1592|3002145|160|TXGU5591136|3|2023-04-26 17:04:01|
1592|3002146|160|BMOU6010435|3|2023-04-26 17:04:03|
1592|3002146|160|EGHU9414874|3|2023-04-26 17:04:03|
1592|3002146|160|EGSU9180450|3|2023-04-26 17:04:03|
1592|3002146|160|EITU1320785|3|2023-04-26 17:04:03|
1592|3002146|160|EITU1724961|3|2023-04-26 17:04:03|
1592|3002146|160|EMCU9756085|3|2023-04-26 17:04:03|
1592|3002148|160|TEMU8851810|3|2023-04-27 16:04:03|
1592|3002152|160|FCIU9496946|3|2023-04-25 16:04:02|
1592|3002152|160|TRHU5376725|3|2023-04-25 16:04:02|
1592|3002160|160|CMAU4024812|3|2023-04-27 18:04:01|
1592|3002160|160|DFSU6312397|3|2023-04-27 18:04:01|
1592|3002160|160|TCNU3101129|3|2023-04-27 18:04:01|
1592|3002167|160|CMAU4024812|3|2023-04-29 10:04:02|
1592|3002167|160|DFSU6312397|3|2023-04-29 10:04:02|
1592|3002167|160|TCNU3101129|3|2023-04-29 10:04:02|
3574|2004651|160|CMAU5841313|3|2022-12-22 16:12:00|
3574|3000090|160|APHU7192684|3|2023-01-05 19:01:00|
3574|3000100|160|FCIU8437574|3|2023-01-12 10:01:02|
3574|3000995|160|KOCU4658634|3|2023-03-30 17:03:02|
3574|3000995|160|TLLU5768220|3|2023-03-30 17:03:02|
