Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
1592|3002037|160| |COVE235NO0HQ2|CIF| |.00|.00| | |S/N|ZHEJIANG CFMOTO POWER CO.,LTD| | | | | |2023-03-06 17:03:02|
1592|3002037|160| |COVE235NO0HR6|CIF| |.00|.00| | |S/N|ZHEJIANG CFMOTO POWER CO.,LTD| | | | | |2023-03-06 17:03:02|
1592|3002046|160| |COVE235NO0HQ2|CIF| |.00|.00| | |S/N|ZHEJIANG CFMOTO POWER CO.,LTD| | | | | |2023-03-06 18:03:04|
1592|3002047|160| |COVE235NO0HR6|CIF| |.00|.00| | |S/N|ZHEJIANG CFMOTO POWER CO.,LTD| | | | | |2023-03-06 17:03:02|
1592|3002049|160| |COVE235NO0QZ2|CIF| |.00|.00| | |S/N|ZHEJIANG CFMOTO POWER CO.,LTD| | | | | |2023-03-06 17:03:02|
1592|3002061|160| |COVE235NO0QZ2|CIF| |.00|.00| | |S/N|ZHEJIANG CFMOTO POWER CO.,LTD| | | | | |2023-03-06 17:03:03|
1592|3002076|160| |COVE235OX3NR5|CIF| |.00|.00| | |S/N|ZHEJIANG CFMOTO POWER CO.,LTD| | | | | |2023-03-23 12:03:00|
1592|3002079|160| |COVE235OUF392|CIF| |.00|.00| | |S/N|ZHEJIANG CFMOTO POWER CO.,LTD| | | | | |2023-03-23 12:03:02|
1592|3002081|160| |COVE235P4ZC83|CIF| |.00|.00| | |S/N|ZHEJIANG CFMOTO POWER CO.,LTD| | | | | |2023-03-24 20:03:00|
1592|3002082|160| |COVE235P4Q5H3|CIF| |.00|.00| | |S/N|ZHEJIANG CFMOTO POWER CO.,LTD| | | | | |2023-03-24 19:03:01|
1592|3002085|160| |COVE235P3J4W2|CIF| |.00|.00| | |S/N|ZHEJIANG CFMOTO POWER CO.,LTD| | | | | |2023-03-29 16:03:03|
1592|3002092|160| |COVE235PD0OA1|CIF| |.00|.00| | |S/N|ZHEJIANG CFMOTO POWER CO.,LTD| | | | | |2023-04-14 09:04:04|
