Patente|Pedimento|SeccionAduanera|TipoFecha|FechaOperacion|FechaValidacionPagoR
1592|3002037|160|1|2023-02-27|2023-03-06 17:03:02|
1592|3002037|160|2|2023-03-06|2023-03-06 17:03:02|
1592|3002046|160|1|2023-02-27|2023-03-06 18:03:04|
1592|3002046|160|2|2023-03-06|2023-03-06 18:03:04|
1592|3002047|160|1|2023-02-27|2023-03-06 17:03:02|
1592|3002047|160|2|2023-03-06|2023-03-06 17:03:02|
1592|3002049|160|1|2023-02-27|2023-03-06 17:03:02|
1592|3002049|160|2|2023-03-06|2023-03-06 17:03:02|
1592|3002061|160|1|2023-02-27|2023-03-06 17:03:03|
1592|3002061|160|2|2023-03-06|2023-03-06 17:03:03|
1592|3002076|160|1|2023-03-18|2023-03-23 12:03:00|
1592|3002076|160|2|2023-03-23|2023-03-23 12:03:00|
1592|3002079|160|1|2023-03-18|2023-03-23 12:03:02|
1592|3002079|160|2|2023-03-23|2023-03-23 12:03:02|
1592|3002081|160|1|2023-03-19|2023-03-24 20:03:00|
1592|3002081|160|2|2023-03-24|2023-03-24 20:03:00|
1592|3002082|160|1|2023-03-22|2023-03-24 19:03:01|
1592|3002082|160|2|2023-03-24|2023-03-24 19:03:01|
1592|3002085|160|1|2023-03-26|2023-03-29 16:03:03|
1592|3002085|160|2|2023-03-29|2023-03-29 16:03:03|
1592|3002092|160|1|2023-04-11|2023-04-14 09:04:04|
1592|3002092|160|2|2023-04-14|2023-04-14 09:04:04|
1592|3002093|160|1|2023-03-26|2023-03-31 12:03:01|
1592|3002093|160|2|2023-03-31|2023-03-31 12:03:01|
1592|3002094|160|1|2023-03-26|2023-03-31 16:03:04|
1592|3002094|160|2|2023-03-31|2023-03-31 16:03:04|
1592|3002095|160|1|2023-04-11|2023-04-14 09:04:03|
1592|3002095|160|2|2023-04-14|2023-04-14 09:04:03|
1592|3002096|160|1|2023-03-26|2023-03-31 16:03:03|
1592|3002096|160|2|2023-03-31|2023-03-31 16:03:03|
1592|3002097|160|1|2023-04-08|2023-04-12 16:04:01|
1592|3002097|160|2|2023-04-12|2023-04-12 16:04:01|
1592|3002120|160|1|2023-04-14|2023-04-24 16:04:04|
1592|3002120|160|2|2023-04-24|2023-04-24 16:04:04|
1592|3002133|160|1|2023-04-15|2023-04-18 10:04:01|
1592|3002133|160|2|2023-04-18|2023-04-18 10:04:01|
1592|3002134|160|1|2023-04-09|2023-04-18 11:04:03|
1592|3002134|160|2|2023-04-18|2023-04-18 11:04:03|
1592|3002135|160|1|2023-04-09|2023-04-17 18:04:02|
1592|3002135|160|2|2023-04-17|2023-04-17 18:04:02|
1592|3002145|160|1|2023-04-23|2023-04-26 17:04:01|
1592|3002145|160|2|2023-04-26|2023-04-26 17:04:01|
1592|3002146|160|1|2023-04-23|2023-04-26 17:04:03|
1592|3002146|160|2|2023-04-26|2023-04-26 17:04:03|
1592|3002148|160|1|2023-04-24|2023-04-27 16:04:03|
1592|3002148|160|2|2023-04-27|2023-04-27 16:04:03|
1592|3002152|160|1|2023-04-19|2023-04-25 16:04:02|
1592|3002152|160|2|2023-04-24|2023-04-25 16:04:02|
1592|3002160|160|1|2023-04-25|2023-04-27 18:04:01|
1592|3002160|160|2|2023-04-27|2023-04-27 18:04:01|
1592|3002167|160|1|2023-04-25|2023-04-29 10:04:02|
1592|3002167|160|2|2023-04-27|2023-04-29 10:04:02|
3574|2004651|160|1|2022-12-10|2022-12-22 16:12:00|
3574|2004651|160|2|2022-12-22|2022-12-22 16:12:00|
3574|3000090|160|1|2022-12-17|2023-01-05 19:01:00|
3574|3000090|160|2|2023-01-05|2023-01-05 19:01:00|
3574|3000100|160|1|2023-01-11|2023-01-12 10:01:02|
3574|3000100|160|2|2023-01-12|2023-01-12 10:01:02|
3574|3000995|160|1|2023-03-23|2023-03-30 17:03:02|
3574|3000995|160|2|2023-03-30|2023-03-30 17:03:02|
3574|3001174|160|1|2023-01-11|2023-03-10 18:03:01|
3574|3001174|160|2|2023-01-12|2023-03-10 18:03:01|
3574|3001179|160|1|2022-12-17|2023-03-10 18:03:02|
3574|3001179|160|2|2023-01-05|2023-03-10 18:03:02|
3574|3001382|160|1|2023-04-01|2023-04-17 17:04:03|
3574|3001382|160|2|2023-04-17|2023-04-17 17:04:03|
3574|3001383|160|1|2023-04-05|2023-04-18 18:04:03|
3574|3001383|160|2|2023-04-18|2023-04-18 18:04:03|
3574|3001546|160|1|2023-04-05|2023-04-18 18:04:04|
3574|3001546|160|2|2023-04-18|2023-04-18 18:04:04|
