Patente|Pedimento|SeccionAduanera|ClaveCaso|IdentificadorCaso|TipoPedimento|ComplementoCaso|FechaValidacionPagoR
1592|3002037|160|CR|241|1||2023-03-06 17:03:02|
1592|3002037|160|ED|0192230RXG7W6|1||2023-03-06 17:03:02|
1592|3002037|160|ED|0192230RXG8P5|1||2023-03-06 17:03:02|
1592|3002037|160|ED|0192230RXGB47|1||2023-03-06 17:03:02|
1592|3002037|160|ED|0192230RXGCN1|1||2023-03-06 17:03:02|
1592|3002037|160|ED|0192230RXGPA1|1||2023-03-06 17:03:02|
1592|3002037|160|ED|0438230T46KV3|1||2023-03-06 17:03:02|
1592|3002037|160|VN|4|1||2023-03-06 17:03:02|
1592|3002046|160|CR|241|1||2023-03-06 18:03:04|
1592|3002046|160|ED|0192230RXG7W6|1||2023-03-06 18:03:04|
1592|3002046|160|ED|0192230RXG8P5|1||2023-03-06 18:03:04|
1592|3002046|160|ED|0438230T46KV3|1||2023-03-06 18:03:04|
1592|3002047|160|CR|241|1||2023-03-06 17:03:02|
1592|3002047|160|ED|0192230RXGB47|1||2023-03-06 17:03:02|
1592|3002047|160|ED|0192230RXGCN1|1||2023-03-06 17:03:02|
1592|3002047|160|ED|0192230RXGPA1|1||2023-03-06 17:03:02|
1592|3002047|160|ED|0438230T46KV3|1||2023-03-06 17:03:02|
1592|3002049|160|CR|241|1||2023-03-06 17:03:02|
1592|3002049|160|ED|0192230RXG5U4|1||2023-03-06 17:03:02|
1592|3002049|160|ED|0438230T46KV3|1||2023-03-06 17:03:02|
1592|3002049|160|VN|4|1||2023-03-06 17:03:02|
1592|3002061|160|CR|241|1||2023-03-06 17:03:03|
1592|3002061|160|ED|0192230RXG5U4|1||2023-03-06 17:03:03|
1592|3002061|160|ED|0438230T46KV3|1||2023-03-06 17:03:03|
1592|3002076|160|CR|241|1||2023-03-23 12:03:00|
1592|3002076|160|ED|0192230S3BQU5|1||2023-03-23 12:03:00|
1592|3002076|160|ED|0192230S3G7Z2|1||2023-03-23 12:03:00|
1592|3002076|160|ED|0438230TEDY56|1||2023-03-23 12:03:00|
1592|3002079|160|CR|241|1||2023-03-23 12:03:02|
1592|3002079|160|ED|0192230S2NAH8|1||2023-03-23 12:03:02|
1592|3002079|160|ED|0192230S3GMN7|1||2023-03-23 12:03:02|
1592|3002079|160|ED|0438230TDI2U8|1||2023-03-23 12:03:02|
1592|3002081|160|CR|40|1||2023-03-24 20:03:00|
1592|3002081|160|ED|0192230S4C9E8|1||2023-03-24 20:03:00|
1592|3002081|160|ED|0192230S4DBK3|1||2023-03-24 20:03:00|
1592|3002081|160|ED|0438230TF2TL3|1||2023-03-24 20:03:00|
1592|3002082|160|CR|39|1||2023-03-24 19:03:01|
1592|3002082|160|ED|0170230QHNE28|1||2023-03-24 19:03:01|
1592|3002082|160|ED|0192230S44KF7|1||2023-03-24 19:03:01|
1592|3002082|160|ED|0192230S44LI8|1||2023-03-24 19:03:01|
1592|3002082|160|ED|0438230TFEI52|1||2023-03-24 19:03:01|
1592|3002085|160|CR|39|1||2023-03-29 16:03:03|
1592|3002085|160|ED|0192230S617E4|1||2023-03-29 16:03:03|
1592|3002085|160|ED|0192230S617S2|1||2023-03-29 16:03:03|
1592|3002085|160|ED|0438230THP9Z4|1||2023-03-29 16:03:03|
1592|3002092|160|CR|241|1||2023-04-14 09:04:04|
1592|3002092|160|ED|0170230QQIPN4|1||2023-04-14 09:04:04|
1592|3002092|160|ED|0192230SBEP28|1||2023-04-14 09:04:04|
1592|3002092|160|ED|0192230SBJRL2|1||2023-04-14 09:04:04|
1592|3002092|160|ED|0438230TPEEJ3|1||2023-04-14 09:04:04|
1592|3002092|160|PD|3|1|1|2023-04-14 09:04:04|
1592|3002093|160|CR|40|1||2023-03-31 12:03:01|
1592|3002093|160|ED|0170230QIS7K7|1||2023-03-31 12:03:01|
1592|3002093|160|ED|0192230S56GA6|1||2023-03-31 12:03:01|
1592|3002093|160|ED|0192230S6XZL3|1||2023-03-31 12:03:01|
1592|3002093|160|ED|0438230TIDUG7|1||2023-03-31 12:03:01|
1592|3002093|160|PD|3|1|1|2023-03-31 12:03:01|
1592|3002094|160|CR|40|1||2023-03-31 16:03:04|
1592|3002094|160|ED|0170230QISZ05|1||2023-03-31 16:03:04|
1592|3002094|160|ED|0192230S572F5|1||2023-03-31 16:03:04|
1592|3002094|160|ED|0192230S7FLA5|1||2023-03-31 16:03:04|
1592|3002094|160|ED|0438230TIYFX1|1||2023-03-31 16:03:04|
1592|3002094|160|PD|3|1|1|2023-03-31 16:03:04|
1592|3002095|160|CR|241|1||2023-04-14 09:04:03|
1592|3002095|160|ED|0170230QQB293|1||2023-04-14 09:04:03|
1592|3002095|160|ED|0192230SBDXZ7|1||2023-04-14 09:04:03|
1592|3002095|160|ED|0192230SBE1E6|1||2023-04-14 09:04:03|
1592|3002095|160|ED|0438230TP7QF4|1||2023-04-14 09:04:03|
1592|3002095|160|PD|3|1|1|2023-04-14 09:04:03|
1592|3002096|160|CR|40|1||2023-03-31 16:03:03|
1592|3002096|160|ED|0170230QIT7M7|1||2023-03-31 16:03:03|
1592|3002096|160|ED|0192230S57AD8|1||2023-03-31 16:03:03|
1592|3002096|160|ED|0192230S6ZE81|1||2023-03-31 16:03:03|
1592|3002096|160|ED|0438230TGSP72|1||2023-03-31 16:03:03|
1592|3002096|160|PD|3|1|1|2023-03-31 16:03:03|
1592|3002097|160|CR|241|1||2023-04-12 16:04:01|
1592|3002097|160|ED|0170230QOWQS3|1||2023-04-12 16:04:01|
1592|3002097|160|ED|0192230SA9125|1||2023-04-12 16:04:01|
1592|3002097|160|ED|0192230SA93T4|1||2023-04-12 16:04:01|
1592|3002097|160|ED|0438230TNXSA6|1||2023-04-12 16:04:01|
1592|3002120|160|CR|40|1||2023-04-24 16:04:04|
1592|3002120|160|ED|0170230QUJC51|1||2023-04-24 16:04:04|
1592|3002120|160|ED|0192230S7UQR8|1||2023-04-24 16:04:04|
1592|3002120|160|ED|0192230SEPV06|1||2023-04-24 16:04:04|
1592|3002120|160|ED|0438230TTZIU6|1||2023-04-24 16:04:04|
1592|3002133|160|CR|39|1||2023-04-18 10:04:01|
1592|3002133|160|ED|0170230QPGQU2|1||2023-04-18 10:04:01|
1592|3002133|160|ED|0192230SAOZM8|1||2023-04-18 10:04:01|
1592|3002133|160|ED|0192230SB8NK7|1||2023-04-18 10:04:01|
1592|3002133|160|ED|0438230TQXS16|1||2023-04-18 10:04:01|
1592|3002133|160|IM|482023|1||2023-04-18 10:04:01|
1592|3002133|160|PD|3|1|1|2023-04-18 10:04:01|
1592|3002133|160|PP|20239540|1||2023-04-18 10:04:01|
1592|3002134|160|CR|40|1||2023-04-18 11:04:03|
1592|3002134|160|ED|0170230QPLZL3|1||2023-04-18 11:04:03|
1592|3002134|160|ED|0192230SATUE4|1||2023-04-18 11:04:03|
