Patente|Pedimento|SeccionAduanera|ClaveContribucion|FormaPago|ImportePago|TipoPedimento|FechaPagoReal
1592|3002037|160|1|0|3381|1|2023-03-06 17:03:02|
1592|3002037|160|15|0|290|1|2023-03-06 17:03:02|
1592|3002037|160|23|0|46|1|2023-03-06 17:03:02|
1592|3002046|160|1|0|516|1|2023-03-06 18:03:04|
1592|3002046|160|15|0|290|1|2023-03-06 18:03:04|
1592|3002046|160|23|0|46|1|2023-03-06 18:03:04|
1592|3002047|160|1|0|606|1|2023-03-06 17:03:02|
1592|3002047|160|15|0|290|1|2023-03-06 17:03:02|
1592|3002047|160|23|0|46|1|2023-03-06 17:03:02|
1592|3002049|160|1|0|2043|1|2023-03-06 17:03:02|
1592|3002049|160|15|0|290|1|2023-03-06 17:03:02|
1592|3002049|160|23|0|46|1|2023-03-06 17:03:02|
1592|3002061|160|1|0|408|1|2023-03-06 17:03:03|
1592|3002061|160|15|0|290|1|2023-03-06 17:03:03|
1592|3002061|160|23|0|46|1|2023-03-06 17:03:03|
1592|3002076|160|1|0|3367|1|2023-03-23 12:03:00|
1592|3002076|160|15|0|290|1|2023-03-23 12:03:00|
1592|3002076|160|23|0|46|1|2023-03-23 12:03:00|
1592|3002079|160|1|0|4690|1|2023-03-23 12:03:02|
1592|3002079|160|15|0|290|1|2023-03-23 12:03:02|
1592|3002079|160|23|0|46|1|2023-03-23 12:03:02|
1592|3002081|160|1|0|3968|1|2023-03-24 20:03:00|
1592|3002081|160|15|0|290|1|2023-03-24 20:03:00|
1592|3002081|160|23|0|46|1|2023-03-24 20:03:00|
1592|3002082|160|1|0|5026|1|2023-03-24 19:03:01|
1592|3002082|160|15|0|290|1|2023-03-24 19:03:01|
1592|3002082|160|23|0|46|1|2023-03-24 19:03:01|
1592|3002085|160|1|0|1174|1|2023-03-29 16:03:03|
1592|3002085|160|15|0|290|1|2023-03-29 16:03:03|
1592|3002085|160|23|0|46|1|2023-03-29 16:03:03|
1592|3002092|160|1|0|15299|1|2023-04-14 09:04:04|
1592|3002092|160|15|0|290|1|2023-04-14 09:04:04|
1592|3002092|160|23|0|46|1|2023-04-14 09:04:04|
1592|3002093|160|1|0|15420|1|2023-03-31 12:03:01|
1592|3002093|160|15|0|290|1|2023-03-31 12:03:01|
1592|3002093|160|23|0|46|1|2023-03-31 12:03:01|
1592|3002094|160|1|0|21335|1|2023-03-31 16:03:04|
1592|3002094|160|15|0|290|1|2023-03-31 16:03:04|
1592|3002094|160|23|0|46|1|2023-03-31 16:03:04|
1592|3002095|160|1|0|16472|1|2023-04-14 09:04:03|
1592|3002095|160|15|0|290|1|2023-04-14 09:04:03|
1592|3002095|160|23|0|46|1|2023-04-14 09:04:03|
1592|3002096|160|1|0|23701|1|2023-03-31 16:03:03|
1592|3002096|160|15|0|290|1|2023-03-31 16:03:03|
1592|3002096|160|23|0|46|1|2023-03-31 16:03:03|
1592|3002097|160|1|0|6016|1|2023-04-12 16:04:01|
1592|3002097|160|15|0|290|1|2023-04-12 16:04:01|
1592|3002097|160|23|0|46|1|2023-04-12 16:04:01|
1592|3002120|160|1|0|31209|1|2023-04-24 16:04:04|
1592|3002120|160|15|0|290|1|2023-04-24 16:04:04|
1592|3002120|160|23|0|46|1|2023-04-24 16:04:04|
1592|3002133|160|1|0|26816|1|2023-04-18 10:04:01|
1592|3002133|160|15|0|290|1|2023-04-18 10:04:01|
1592|3002133|160|23|0|46|1|2023-04-18 10:04:01|
1592|3002134|160|1|0|21757|1|2023-04-18 11:04:03|
1592|3002134|160|15|0|290|1|2023-04-18 11:04:03|
1592|3002134|160|23|0|46|1|2023-04-18 11:04:03|
1592|3002135|160|1|0|5421|1|2023-04-17 18:04:02|
1592|3002135|160|15|0|290|1|2023-04-17 18:04:02|
1592|3002135|160|23|0|46|1|2023-04-17 18:04:02|
1592|3002145|160|1|0|20510|1|2023-04-26 17:04:01|
1592|3002145|160|15|0|290|1|2023-04-26 17:04:01|
1592|3002145|160|23|0|46|1|2023-04-26 17:04:01|
1592|3002146|160|1|0|25188|1|2023-04-26 17:04:03|
1592|3002146|160|15|0|290|1|2023-04-26 17:04:03|
1592|3002146|160|23|0|46|1|2023-04-26 17:04:03|
1592|3002148|160|1|0|15449|1|2023-04-27 16:04:03|
1592|3002148|160|15|0|290|1|2023-04-27 16:04:03|
1592|3002148|160|23|0|46|1|2023-04-27 16:04:03|
1592|3002152|160|1|0|31245|2|2023-04-25 16:04:02|
1592|3002152|160|15|0|290|2|2023-04-25 16:04:02|
1592|3002152|160|23|0|46|2|2023-04-25 16:04:02|
1592|3002160|160|1|0|58782|1|2023-04-27 18:04:01|
1592|3002160|160|15|0|290|1|2023-04-27 18:04:01|
1592|3002160|160|23|0|46|1|2023-04-27 18:04:01|
1592|3002167|160|1|0|58374|2|2023-04-29 10:04:02|
1592|3002167|160|15|0|290|2|2023-04-29 10:04:02|
1592|3002167|160|23|0|46|2|2023-04-29 10:04:02|
3574|2004651|160|1|0|7628|1|2022-12-22 16:12:00|
3574|2004651|160|15|0|240|1|2022-12-22 16:12:00|
3574|2004651|160|23|0|38|1|2022-12-22 16:12:00|
3574|3000090|160|1|0|8764|1|2023-01-05 19:01:00|
3574|3000090|160|15|0|290|1|2023-01-05 19:01:00|
3574|3000090|160|23|0|46|1|2023-01-05 19:01:00|
3574|3000100|160|1|0|3084|1|2023-01-12 10:01:02|
3574|3000100|160|15|0|290|1|2023-01-12 10:01:02|
3574|3000100|160|23|0|46|1|2023-01-12 10:01:02|
3574|3000995|160|1|0|17491|1|2023-03-30 17:03:02|
3574|3000995|160|15|0|290|1|2023-03-30 17:03:02|
3574|3000995|160|23|0|46|1|2023-03-30 17:03:02|
3574|3001174|160|1|0|3084|2|2023-03-10 18:03:01|
3574|3001174|160|15|0|290|2|2023-03-10 18:03:01|
3574|3001174|160|23|0|46|2|2023-03-10 18:03:01|
3574|3001179|160|1|0|8764|2|2023-03-10 18:03:02|
3574|3001179|160|15|0|290|2|2023-03-10 18:03:02|
3574|3001179|160|23|0|46|2|2023-03-10 18:03:02|
3574|3001382|160|1|0|10067|1|2023-04-17 17:04:03|
3574|3001382|160|15|0|290|1|2023-04-17 17:04:03|
3574|3001382|160|23|0|46|1|2023-04-17 17:04:03|
3574|3001383|160|1|0|29455|1|2023-04-18 18:04:03|
3574|3001383|160|15|0|290|1|2023-04-18 18:04:03|
3574|3001383|160|23|0|46|1|2023-04-18 18:04:03|
3574|3001546|160|1|0|25296|1|2023-04-18 18:04:04|
3574|3001546|160|15|0|290|1|2023-04-18 18:04:04|
3574|3001546|160|23|0|46|1|2023-04-18 18:04:04|
