Patente|Pedimento|SeccionAduanera|SecuenciaObservacion|Observaciones|TipoPedimento|FechaValidacionPagoR
1592|3002037|160|1|DE CONFORMIDAD CON EL ARTICULO 36 Y 36-A FRACC. I DE LA LEY ADUANERA EN VIGOR Y REGLA 3.1.8, 1.9.18,|1|2023-03-06 17:03:02|
1592|3002037|160|2|3.1.31 DE LAS GENERALES DE COMERCIO EXTERIOR VIGENTE,|1|2023-03-06 17:03:02|
1592|3002037|160|3|SE DIGITALIZA LO SIGUIENTE:|1|2023-03-06 17:03:02|
1592|3002037|160|4|-CARTA DIRIGIDA AL TITULAR DE LA ADUANA DE CONFORMIDAD CON LA REGLA 3.1.8 GENERALES DE COMERCIO|1|2023-03-06 17:03:02|
1592|3002037|160|5|EXTERIOR VIGENTE|1|2023-03-06 17:03:02|
1592|3002037|160|6|-CONOCIMIENTO DE EMBARQUE MARITIMO REVALIDADO|1|2023-03-06 17:03:02|
1592|3002037|160|7|EN EL VALOR DE LA MERCANCIA VA INCLUIDO EL PAGO DE INCREMENTABLES (FLETE Y SEGURO)|1|2023-03-06 17:03:02|
1592|3002037|160|8|LA PRESENTE IMPORTACION SE REALIZA CONFORME A LA INFORMACION Y DOCUMENTOS PROPORCIONADOS POR EL|1|2023-03-06 17:03:02|
1592|3002037|160|9|IMPORTADOR, DE CONFORMIDAD CON EL ARTICULO 54 DE LA LEY ADUANERA EN VIGOR.|1|2023-03-06 17:03:02|
1592|3002037|160|10|DE CONFIRMIDAD CON EL ARTICULO 65 SEGUNDO PARRAFO DEL REGLAMENTO DE LA LEY ADUANERA EN VIGOR, SE|1|2023-03-06 17:03:02|
1592|3002037|160|11|SUBDIVIDE LA PRESENTE GUIA REVALIDADA MEDUO4818649 SIENDO ESTA LA PRIMERA OPERACION , QUEDANDO POR|1|2023-03-06 17:03:02|
1592|3002037|160|12|DESPACHAR 11 BULTOS CON PESO BRUTO DE 8,421.00 KGS.|1|2023-03-06 17:03:02|
1592|3002037|160|13|DE CONFIRMIDAD CON EL ARTICULO 65 SEGUNDO PARRAFO DEL REGLAMENTO DE LA LEY ADUANERA EN VIGOR, SE|1|2023-03-06 17:03:02|
1592|3002037|160|14|SUBDIVIDE LA PRESENTE FACTURA NO.22CFTT374016-1 SIENDO ESTA LA 1ER OPERACION , QUEDANDO POR DESPACHAR|1|2023-03-06 17:03:02|
1592|3002037|160|15|3505.47 USD.|1|2023-03-06 17:03:02|
1592|3002037|160|16|DE CONFIRMIDAD CON EL ARTICULO 65 SEGUNDO PARRAFO DEL REGLAMENTO DE LA LEY ADUANERA EN VIGOR, SE|1|2023-03-06 17:03:02|
1592|3002037|160|17|SUBDIVIDE LA PRESENTE FACTURA NO.22CFTT374016-2 SIENDO ESTA LA 1ER OPERACION , QUEDANDO POR DESPACHAR|1|2023-03-06 17:03:02|
1592|3002037|160|18|3141.61 USD.|1|2023-03-06 17:03:02|
1592|3002037|160|19|ESTA OPERACION SE RELACIONA CON LOS PEDIMENTOS:23-16-1592-3002049, 23-16-1592-3002046, 23-16-1592-3002047, CON FECHA DE|1|2023-03-06 17:03:02|
1592|3002037|160|20|PAGO 01-03-2023.|1|2023-03-06 17:03:02|
1592|3002046|160|1|DE CONFORMIDAD CON EL ARTICULO 36 Y 36-A FRACC. I DE LA LEY ADUANERA EN VIGOR Y REGLA 3.1.8, 1.9.18,|1|2023-03-06 18:03:04|
1592|3002046|160|2|3.1.31 DE LAS GENERALES DE COMERCIO EXTERIOR VIGENTE, SE DIGITALIZA LO SIGUIENTE:|1|2023-03-06 18:03:04|
1592|3002046|160|3|-CARTA DIRIGIDA AL TITULAR DE LA ADUANA DE CONFORMIDAD CON LA REGLA 3.1.8 GENERALES DE COMERCIO|1|2023-03-06 18:03:04|
1592|3002046|160|4|EXTERIOR VIGENTE|1|2023-03-06 18:03:04|
1592|3002046|160|5|-CONOCIMIENTO DE EMBARQUE MARITIMO REVALIDADO|1|2023-03-06 18:03:04|
1592|3002046|160|6|EN EL VALOR DE LA MERCANCIA VA INCLUIDO EL PAGO DE INCREMENTABLES (FLETE Y SEGURO)|1|2023-03-06 18:03:04|
1592|3002046|160|7|LA PRESENTE IMPORTACION SE REALIZA CONFORME A LA INFORMACION Y DOCUMENTOS PROPORCIONADOS POR EL|1|2023-03-06 18:03:04|
1592|3002046|160|8|IMPORTADOR, DE CONFORMIDAD CON EL ARTICULO 54 DE LA LEY ADUANERA EN VIGOR.|1|2023-03-06 18:03:04|
1592|3002046|160|9|DE CONFIRMIDAD CON EL ARTICULO 65 SEGUNDO PARRAFO DEL REGLAMENTO DE LA LEY ADUANERA EN VIGOR, SE|1|2023-03-06 18:03:04|
