Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|VinNumeroSerie|KilometrajeVehiculo|FechaPagoReal
1592|3002037|160|87032199|1|LCELV1ZA0P6002032|0|2023-03-06 17:03:02|
1592|3002037|160|87032199|2|LCELV1ZA2P6002033|0|2023-03-06 17:03:02|
1592|3002037|160|87032199|3|LCELV1ZA3P6002039|0|2023-03-06 17:03:02|
1592|3002037|160|87032199|4|LCELV1ZA4P6002034|0|2023-03-06 17:03:02|
1592|3002037|160|87032199|5|LCELV1Z28P6003504|0|2023-03-06 17:03:02|
1592|3002037|160|87032199|6|LCELV1Z23P6003507|0|2023-03-06 17:03:02|
1592|3002037|160|87032199|7|LCELV1ZAXP6002037|0|2023-03-06 17:03:02|
1592|3002037|160|87032199|8|LCELV1ZA9P6002031|0|2023-03-06 17:03:02|
1592|3002037|160|87032199|9|LCELV1ZA6P6002035|0|2023-03-06 17:03:02|
1592|3002037|160|87032199|10|LCELV1ZA8P6002036|0|2023-03-06 17:03:02|
1592|3002037|160|87032199|11|LCELV1Z23P6003510|0|2023-03-06 17:03:02|
1592|3002037|160|87032199|12|LCELV1Z25P6003511|0|2023-03-06 17:03:02|
1592|3002049|160|87032199|1|LCELV1Z24P6003502|0|2023-03-06 17:03:02|
1592|3002049|160|87032199|2|LCELV1Z26P6003503|0|2023-03-06 17:03:02|
1592|3002049|160|87032199|3|LCELV1Z25P6003508|0|2023-03-06 17:03:02|
1592|3002049|160|87032199|4|LCELV1Z21P6003506|0|2023-03-06 17:03:02|
1592|3002049|160|87032199|5|LCELV1Z2XP6003505|0|2023-03-06 17:03:02|
1592|3002049|160|87032199|6|LCELV1Z27P6003509|0|2023-03-06 17:03:02|
1592|3002049|160|87032199|7|LCELV1ZA7P6002030|0|2023-03-06 17:03:02|
1592|3002049|160|87032199|8|LCELV1ZA1P6002038|0|2023-03-06 17:03:02|
3574|2004651|160|87032199|1|LCELV1ZA3P6000226|0|2022-12-22 16:12:00|
3574|2004651|160|87032199|2|LCELV1Z20P6000483|0|2022-12-22 16:12:00|
3574|2004651|160|87032199|2|LCELV1Z29P6000482|0|2022-12-22 16:12:00|
3574|2004651|160|87032199|3|LCELV1Z22P6000484|0|2022-12-22 16:12:00|
3574|2004651|160|87032199|4|LCELV1ZA8P6000223|0|2022-12-22 16:12:00|
3574|2004651|160|87032199|4|LCELV1ZAXP6000224|0|2022-12-22 16:12:00|
