Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|TasaContribucion|TipoTasa|FechaPagoReal
1592|3002037|160|87032199|1|3|16.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|1|6|20.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|2|3|16.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|2|6|20.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|3|3|16.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|3|6|20.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|4|3|16.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|4|6|20.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|5|3|16.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|5|6|20.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|6|3|16.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|6|6|20.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|7|3|16.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|7|6|20.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|8|3|16.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|8|6|20.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|9|3|16.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|9|6|20.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|10|3|16.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|10|6|20.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|11|3|16.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|11|6|20.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|12|3|16.00000|1|2023-03-06 17:03:02|
1592|3002037|160|87032199|12|6|20.00000|1|2023-03-06 17:03:02|
1592|3002046|160|39172991|1|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|39199099|2|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|39263002|3|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|39263002|3|6|15.00000|1|2023-03-06 18:03:04|
1592|3002046|160|39263002|4|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|39263002|4|6|15.00000|1|2023-03-06 18:03:04|
1592|3002046|160|39269020|5|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|39269020|5|6|15.00000|1|2023-03-06 18:03:04|
1592|3002046|160|39269099|6|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|39269099|7|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|39269099|8|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|40091102|9|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|40169304|10|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|40169901|11|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|40169901|11|6|5.00000|1|2023-03-06 18:03:04|
1592|3002046|160|40169901|12|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|40169901|12|6|5.00000|1|2023-03-06 18:03:04|
1592|3002046|160|48239099|13|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|48239099|13|6|5.00000|1|2023-03-06 18:03:04|
1592|3002046|160|49019999|15|6|15.00000|1|2023-03-06 18:03:04|
1592|3002046|160|70091099|16|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|70091099|16|6|15.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73181401|17|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73181504|18|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73181504|18|6|5.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73181599|19|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73181599|20|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73181599|21|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73181599|22|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73181599|23|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73181599|24|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73181599|25|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73181606|26|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73181606|27|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73181606|28|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73181606|29|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73181606|30|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73181606|31|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73182291|32|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73182291|33|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73182302|34|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73182403|35|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73182403|36|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73182403|37|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73269099|38|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|73269099|39|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|82060001|40|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|82060001|40|6|15.00000|1|2023-03-06 18:03:04|
1592|3002046|160|83100099|41|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|83100099|41|6|10.00000|1|2023-03-06 18:03:04|
1592|3002046|160|83100099|42|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|83100099|42|6|10.00000|1|2023-03-06 18:03:04|
1592|3002046|160|84099199|43|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|84833004|44|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|84879001|45|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|84879001|45|6|15.00000|1|2023-03-06 18:03:04|
1592|3002046|160|85072099|46|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|85072099|46|6|15.00000|1|2023-03-06 18:03:04|
1592|3002046|160|85129007|47|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|85443099|48|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|85443099|48|6|5.00000|1|2023-03-06 18:03:04|
1592|3002046|160|87082902|49|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|87082923|50|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|87082923|51|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|87082923|52|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|87082999|53|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|87082999|53|6|5.00000|1|2023-03-06 18:03:04|
1592|3002046|160|87082999|54|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|87082999|54|6|5.00000|1|2023-03-06 18:03:04|
1592|3002046|160|87082999|55|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|87082999|55|6|5.00000|1|2023-03-06 18:03:04|
1592|3002046|160|87082999|56|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|87082999|56|6|5.00000|1|2023-03-06 18:03:04|
1592|3002046|160|87083099|57|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|87088005|58|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|87088005|59|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|87088005|60|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|87089203|61|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|87089412|62|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|87089999|63|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|87089999|64|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|87089999|65|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|90262003|66|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|90262003|66|6|15.00000|1|2023-03-06 18:03:04|
1592|3002046|160|94012001|67|3|16.00000|1|2023-03-06 18:03:04|
1592|3002046|160|94019999|68|3|16.00000|1|2023-03-06 18:03:04|
1592|3002047|160|39172991|1|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|39199099|2|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|39211991|3|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|39235001|4|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|39235001|4|6|15.00000|1|2023-03-06 17:03:02|
1592|3002047|160|39263002|5|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|39263002|5|6|15.00000|1|2023-03-06 17:03:02|
1592|3002047|160|39263002|6|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|39263002|6|6|15.00000|1|2023-03-06 17:03:02|
1592|3002047|160|39269014|7|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|39269014|7|6|15.00000|1|2023-03-06 17:03:02|
1592|3002047|160|39269020|8|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|39269020|8|6|15.00000|1|2023-03-06 17:03:02|
1592|3002047|160|39269099|9|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|39269099|10|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|39269099|11|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|39269099|12|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|39269099|13|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|40091102|14|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|40169101|15|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|40169101|15|6|10.00000|1|2023-03-06 17:03:02|
1592|3002047|160|40169304|16|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|40169304|17|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|40169304|18|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|40169901|19|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|40169901|19|6|5.00000|1|2023-03-06 17:03:02|
1592|3002047|160|40169901|20|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|40169901|20|6|5.00000|1|2023-03-06 17:03:02|
1592|3002047|160|40169901|21|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|40169901|21|6|5.00000|1|2023-03-06 17:03:02|
1592|3002047|160|40169901|22|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|40169901|22|6|5.00000|1|2023-03-06 17:03:02|
1592|3002047|160|40169999|23|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|48239099|24|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|48239099|24|6|5.00000|1|2023-03-06 17:03:02|
1592|3002047|160|49019999|26|6|15.00000|1|2023-03-06 17:03:02|
1592|3002047|160|70091099|27|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|70091099|27|6|15.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73181401|28|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73181504|29|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73181504|29|6|5.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73181599|30|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73181599|31|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73181599|32|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73181599|33|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73181599|34|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73181599|35|3|16.00000|1|2023-03-06 17:03:02|
1592|3002047|160|73181599|36|3|16.00000|1|2023-03-06 17:03:02|
