Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|FormaPago|ImportePago|FechaPagoReal
1592|3002037|160|87032199|1|3|0|7337|2023-03-06 17:03:02|
1592|3002037|160|87032199|1|6|0|7592|2023-03-06 17:03:02|
1592|3002037|160|87032199|2|3|0|7337|2023-03-06 17:03:02|
1592|3002037|160|87032199|2|6|0|7592|2023-03-06 17:03:02|
1592|3002037|160|87032199|3|3|0|7337|2023-03-06 17:03:02|
1592|3002037|160|87032199|3|6|0|7592|2023-03-06 17:03:02|
1592|3002037|160|87032199|4|3|0|7337|2023-03-06 17:03:02|
1592|3002037|160|87032199|4|6|0|7592|2023-03-06 17:03:02|
1592|3002037|160|87032199|5|3|0|5810|2023-03-06 17:03:02|
1592|3002037|160|87032199|5|6|0|6012|2023-03-06 17:03:02|
1592|3002037|160|87032199|6|3|0|5810|2023-03-06 17:03:02|
1592|3002037|160|87032199|6|6|0|6012|2023-03-06 17:03:02|
1592|3002037|160|87032199|7|3|0|7337|2023-03-06 17:03:02|
1592|3002037|160|87032199|7|6|0|7592|2023-03-06 17:03:02|
1592|3002037|160|87032199|8|3|0|7337|2023-03-06 17:03:02|
1592|3002037|160|87032199|8|6|0|7592|2023-03-06 17:03:02|
1592|3002037|160|87032199|9|3|0|7264|2023-03-06 17:03:02|
1592|3002037|160|87032199|9|6|0|7516|2023-03-06 17:03:02|
1592|3002037|160|87032199|10|3|0|7152|2023-03-06 17:03:02|
1592|3002037|160|87032199|10|6|0|7401|2023-03-06 17:03:02|
1592|3002037|160|87032199|11|3|0|5810|2023-03-06 17:03:02|
1592|3002037|160|87032199|11|6|0|6012|2023-03-06 17:03:02|
1592|3002037|160|87032199|12|3|0|5822|2023-03-06 17:03:02|
1592|3002037|160|87032199|12|6|0|6024|2023-03-06 17:03:02|
1592|3002046|160|39172991|1|3|0|3|2023-03-06 18:03:04|
1592|3002046|160|39199099|2|3|0|17|2023-03-06 18:03:04|
1592|3002046|160|39263002|3|3|0|507|2023-03-06 18:03:04|
1592|3002046|160|39263002|3|6|0|411|2023-03-06 18:03:04|
1592|3002046|160|39263002|4|3|0|496|2023-03-06 18:03:04|
1592|3002046|160|39263002|4|6|0|401|2023-03-06 18:03:04|
1592|3002046|160|39269020|5|3|0|102|2023-03-06 18:03:04|
1592|3002046|160|39269020|5|6|0|83|2023-03-06 18:03:04|
1592|3002046|160|39269099|6|3|0|50|2023-03-06 18:03:04|
1592|3002046|160|39269099|7|3|0|12|2023-03-06 18:03:04|
1592|3002046|160|39269099|8|3|0|2|2023-03-06 18:03:04|
1592|3002046|160|40091102|9|3|0|8|2023-03-06 18:03:04|
1592|3002046|160|40169304|10|3|0|42|2023-03-06 18:03:04|
1592|3002046|160|40169901|11|3|0|7|2023-03-06 18:03:04|
1592|3002046|160|40169901|11|6|0|2|2023-03-06 18:03:04|
1592|3002046|160|40169901|12|3|0|4|2023-03-06 18:03:04|
1592|3002046|160|40169901|12|6|0|1|2023-03-06 18:03:04|
1592|3002046|160|48239099|13|3|0|50|2023-03-06 18:03:04|
1592|3002046|160|48239099|13|6|0|15|2023-03-06 18:03:04|
1592|3002046|160|49019999|15|6|0|29|2023-03-06 18:03:04|
1592|3002046|160|70091099|16|3|0|325|2023-03-06 18:03:04|
1592|3002046|160|70091099|16|6|0|263|2023-03-06 18:03:04|
1592|3002046|160|73181401|17|3|0|1|2023-03-06 18:03:04|
1592|3002046|160|73181504|18|3|0|39|2023-03-06 18:03:04|
1592|3002046|160|73181504|18|6|0|11|2023-03-06 18:03:04|
1592|3002046|160|73181599|19|3|0|44|2023-03-06 18:03:04|
1592|3002046|160|73181599|20|3|0|204|2023-03-06 18:03:04|
1592|3002046|160|73181599|21|3|0|17|2023-03-06 18:03:04|
1592|3002046|160|73181599|22|3|0|37|2023-03-06 18:03:04|
1592|3002046|160|73181599|23|3|0|16|2023-03-06 18:03:04|
1592|3002046|160|73181599|24|3|0|46|2023-03-06 18:03:04|
1592|3002046|160|73181599|25|3|0|6|2023-03-06 18:03:04|
1592|3002046|160|73181606|26|3|0|9|2023-03-06 18:03:04|
1592|3002046|160|73181606|27|3|0|41|2023-03-06 18:03:04|
1592|3002046|160|73181606|28|3|0|1|2023-03-06 18:03:04|
1592|3002046|160|73181606|29|3|0|119|2023-03-06 18:03:04|
1592|3002046|160|73181606|30|3|0|21|2023-03-06 18:03:04|
1592|3002046|160|73181606|31|3|0|51|2023-03-06 18:03:04|
1592|3002046|160|73182291|32|3|0|18|2023-03-06 18:03:04|
1592|3002046|160|73182291|33|3|0|1|2023-03-06 18:03:04|
1592|3002046|160|73182302|34|3|0|1|2023-03-06 18:03:04|
1592|3002046|160|73182403|35|3|0|1|2023-03-06 18:03:04|
1592|3002046|160|73182403|36|3|0|20|2023-03-06 18:03:04|
1592|3002046|160|73182403|37|3|0|2|2023-03-06 18:03:04|
1592|3002046|160|73269099|38|3|0|17|2023-03-06 18:03:04|
1592|3002046|160|73269099|39|3|0|3102|2023-03-06 18:03:04|
1592|3002046|160|82060001|40|3|0|89|2023-03-06 18:03:04|
1592|3002046|160|82060001|40|6|0|72|2023-03-06 18:03:04|
1592|3002046|160|83100099|41|3|0|11|2023-03-06 18:03:04|
1592|3002046|160|83100099|41|6|0|6|2023-03-06 18:03:04|
1592|3002046|160|83100099|42|3|0|7|2023-03-06 18:03:04|
1592|3002046|160|83100099|42|6|0|4|2023-03-06 18:03:04|
1592|3002046|160|84099199|43|3|0|28|2023-03-06 18:03:04|
1592|3002046|160|84833004|44|3|0|11|2023-03-06 18:03:04|
1592|3002046|160|84879001|45|3|0|78|2023-03-06 18:03:04|
1592|3002046|160|84879001|45|6|0|63|2023-03-06 18:03:04|
1592|3002046|160|85072099|46|3|0|1271|2023-03-06 18:03:04|
1592|3002046|160|85072099|46|6|0|1029|2023-03-06 18:03:04|
1592|3002046|160|85129007|47|3|0|53|2023-03-06 18:03:04|
1592|3002046|160|85443099|48|3|0|267|2023-03-06 18:03:04|
1592|3002046|160|85443099|48|6|0|79|2023-03-06 18:03:04|
