Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SecuenciaObservacion|Observaciones|FechaPagoReal
1592|3002037|160|87032199|1|1|MODELO: CF1000UZ-2|2023-03-06 17:03:02|
1592|3002037|160|87032199|1|2|MARCA: CFMOTO|2023-03-06 17:03:02|
1592|3002037|160|87032199|2|1|MODELO: CF1000UZ-2|2023-03-06 17:03:02|
1592|3002037|160|87032199|2|2|MARCA: CFMOTO|2023-03-06 17:03:02|
1592|3002037|160|87032199|3|1|MODELO: CF1000UZ-2|2023-03-06 17:03:02|
1592|3002037|160|87032199|3|2|MARCA: CFMOTO|2023-03-06 17:03:02|
1592|3002037|160|87032199|4|1|MODELO: CF1000UZ-2|2023-03-06 17:03:02|
1592|3002037|160|87032199|4|2|MARCA: CFMOTO|2023-03-06 17:03:02|
1592|3002037|160|87032199|5|1|MODELO: CF1000UZ|2023-03-06 17:03:02|
1592|3002037|160|87032199|5|2|MARCA: CFMOTO|2023-03-06 17:03:02|
1592|3002037|160|87032199|6|1|MODELO: CF1000UZ|2023-03-06 17:03:02|
1592|3002037|160|87032199|6|2|MARCA: CFMOTO|2023-03-06 17:03:02|
1592|3002037|160|87032199|7|1|MODELO: CF1000UZ-2|2023-03-06 17:03:02|
1592|3002037|160|87032199|7|2|MARCA: CFMOTO|2023-03-06 17:03:02|
1592|3002037|160|87032199|8|1|MODELO: CF1000UZ-2|2023-03-06 17:03:02|
1592|3002037|160|87032199|8|2|MARCA: CFMOTO|2023-03-06 17:03:02|
1592|3002037|160|87032199|9|1|MODELO: CF1000UZ-2|2023-03-06 17:03:02|
1592|3002037|160|87032199|9|2|MARCA: CFMOTO|2023-03-06 17:03:02|
1592|3002037|160|87032199|10|1|MODELO: CF1000UZ-2|2023-03-06 17:03:02|
1592|3002037|160|87032199|10|2|MARCA: CFMOTO|2023-03-06 17:03:02|
1592|3002037|160|87032199|11|1|MODELO: CF1000UZ|2023-03-06 17:03:02|
1592|3002037|160|87032199|11|2|MARCA: CFMOTO|2023-03-06 17:03:02|
1592|3002037|160|87032199|12|1|MODELO: CF1000UZ|2023-03-06 17:03:02|
1592|3002037|160|87032199|12|2|MARCA: CFMOTO|2023-03-06 17:03:02|
1592|3002046|160|39172991|1|1|703A-200103|2023-03-06 18:03:04|
1592|3002046|160|39199099|2|1|5HYV-190002-MX|2023-03-06 18:03:04|
1592|3002046|160|39263002|3|1|5HY0-041043-0BM00A, 5HY0-041041-0BM00A|2023-03-06 18:03:04|
1592|3002046|160|39263002|4|1|5HY0-043033, 5HYV-043052-1C00, 5HYV-043051-1C00, 5HY#-042022-6000-10, 5HY#-042021-6000-10, 5HY0-042025, 5HY0-042026, 5HY|2023-03-06 18:03:04|
1592|3002046|160|39263002|4|2|#-041053-1000, 5HY#-041054-1000, 5HYV-043053-1000|2023-03-06 18:03:04|
1592|3002046|160|39269020|5|1|5ASV-102101-6000A|2023-03-06 18:03:04|
1592|3002046|160|39269099|6|1|9060-040311, 9060-040312|2023-03-06 18:03:04|
1592|3002046|160|39269099|7|1|5BY0-080007, 5BY0-080008|2023-03-06 18:03:04|
1592|3002046|160|39269099|8|1|9AWA-080001|2023-03-06 18:03:04|
1592|3002046|160|40091102|9|1|703V-200102-1400|2023-03-06 18:03:04|
1592|3002046|160|40169304|10|1|5SYV-260216-6000|2023-03-06 18:03:04|
1592|3002046|160|40169901|11|1|5BY0-040010|2023-03-06 18:03:04|
1592|3002046|160|40169901|12|1|9010-030005|2023-03-06 18:03:04|
1592|3002046|160|48239099|13|1|TFQ004|2023-03-06 18:03:04|
1592|3002046|160|49011001|14|1|5SYV-380101-6301-13|2023-03-06 18:03:04|
1592|3002046|160|49019999|15|1|5SYV-150700-7101-1|2023-03-06 18:03:04|
1592|3002046|160|70091099|16|1|5HYV-190013-MX, 5HY0-260110-10000, 5HY0-260120-10000|2023-03-06 18:03:04|
1592|3002046|160|73181401|17|1|30110-421130010|2023-03-06 18:03:04|
1592|3002046|160|73181504|18|1|30006-060010810, 5HY0-261001|2023-03-06 18:03:04|
1592|3002046|160|73181599|19|1|30001-102120110, 30006-102020810, 30006-102060110|2023-03-06 18:03:04|
1592|3002046|160|73181599|20|1|30006-060016810, 8010-000004, 30006-060012810, 30204-122910, 30110-480160010, 30006-080020810, 8010-000005, 5HY#-040001-|2023-03-06 18:03:04|
1592|3002046|160|73181599|20|2|1000, 6NQ#-000206-6001, 6NQ#-000202-6001, 30006-060016870, 5HY#-040002-1000, 30006-080016810, 6NQ#-000203-6001, 30006-08|2023-03-06 18:03:04|
1592|3002046|160|73181599|20|3|0025810|2023-03-06 18:03:04|
1592|3002046|160|73181599|21|1|30006-102025810, 30006-102030810|2023-03-06 18:03:04|
1592|3002046|160|73181599|22|1|30006-102035110, 30006-102080810|2023-03-06 18:03:04|
1592|3002046|160|73181599|23|1|30006-102055110|2023-03-06 18:03:04|
1592|3002046|160|73181599|24|1|30006-080016870, 30024-122100110|2023-03-06 18:03:04|
1592|3002046|160|73181599|25|1|30102-080045810|2023-03-06 18:03:04|
1592|3002046|160|73181606|26|1|8030-040800-00001|2023-03-06 18:03:04|
1592|3002046|160|73181606|27|1|30219-122810, 30204-102810, 30204-122810, 30204-080810|2023-03-06 18:03:04|
1592|3002046|160|73181606|28|1|30202-060110|2023-03-06 18:03:04|
1592|3002046|160|73181606|29|1|5HY0-070203|2023-03-06 18:03:04|
1592|3002046|160|73181606|30|1|30225-102810|2023-03-06 18:03:04|
1592|3002046|160|73181606|31|1|5HY0-110001|2023-03-06 18:03:04|
1592|3002046|160|73182291|32|1|30306-200112, 30303-060900, 30309-060900, 30301-060412, 30301-080412|2023-03-06 18:03:04|
1592|3002046|160|73182291|33|1|30305-060112|2023-03-06 18:03:04|
1592|3002046|160|73182302|34|1|30902-0400820|2023-03-06 18:03:04|
1592|3002046|160|73182403|35|1|30903-0322210|2023-03-06 18:03:04|
1592|3002046|160|73182403|36|1|5HY#-220008-1000, 7030-222251, 9030-220011-00001|2023-03-06 18:03:04|
1592|3002046|160|73182403|37|1|30903-0403610|2023-03-06 18:03:04|
1592|3002046|160|73269099|38|1|5020-040049|2023-03-06 18:03:04|
1592|3002046|160|73269099|39|1|TBT058, TBT066, TBT060|2023-03-06 18:03:04|
1592|3002046|160|82060001|40|1|5BWV-200100-5001|2023-03-06 18:03:04|
1592|3002046|160|83100099|41|1|5HYV-190000-MX, MX-190011|2023-03-06 18:03:04|
1592|3002046|160|83100099|42|1|5HYV-19PA01-MX, 5HYV-190012-MX|2023-03-06 18:03:04|
1592|3002046|160|84099199|43|1|5HY#-002001-1000A|2023-03-06 18:03:04|
1592|3002046|160|84833004|44|1|5HY0-801321|2023-03-06 18:03:04|
1592|3002046|160|84879001|45|1|5HY0-222080-30000|2023-03-06 18:03:04|
1592|3002046|160|85072099|46|1|31023004|2023-03-06 18:03:04|
1592|3002046|160|85129007|47|1|5HY0-041022, 5HY0-041023|2023-03-06 18:03:04|
1592|3002046|160|85443099|48|1|5HYV-150100-1G01|2023-03-06 18:03:04|
