Patente|Pedimento|SeccionAduanera|ConsecutivoRemesa|NumeroSeleccion|FechaSeleccion|HoraSeleccion|SemaforoFiscal|ClaveDocumento|TipoOperacion
1592|3002037|160|0|1|2023-03-09|14:43|1|A1|1|
1592|3002046|160|0|1|2023-03-09|14:43|1|A1|1|
1592|3002047|160|0|1|2023-03-09|14:43|1|A1|1|
1592|3002049|160|0|1|2023-03-08|11:49|1|A1|1|
1592|3002061|160|0|1|2023-03-08|11:49|1|A1|1|
1592|3002076|160|0|1|2023-03-30|07:54|1|A1|1|
1592|3002079|160|0|1|2023-03-27|14:31|1|A1|1|
1592|3002081|160|0|1|2023-03-27|15:49|0|A1|1|
1592|3002082|160|0|1|2023-03-28|10:29|1|A1|1|
1592|3002085|160|0|1|2023-04-01|10:46|1|A1|1|
1592|3002092|160|1|1|2023-04-20|20:05|1|A1|1|
1592|3002092|160|2|1|2023-04-19|16:48|1|A1|1|
1592|3002092|160|3|1|2023-04-26|18:18|1|A1|1|
1592|3002093|160|1|1|2023-04-03|16:44|1|A1|1|
1592|3002093|160|2|1|2023-04-03|16:57|1|A1|1|
1592|3002093|160|3|1|2023-04-03|17:26|1|A1|1|
1592|3002094|160|1|1|2023-04-04|15:53|0|A1|1|
1592|3002094|160|2|1|2023-04-04|16:34|1|A1|1|
1592|3002094|160|3|1|2023-04-04|14:25|0|A1|1|
1592|3002095|160|1|1|2023-04-21|15:32|1|A1|1|
1592|3002095|160|2|1|2023-04-21|13:41|1|A1|1|
1592|3002095|160|3|1|2023-04-21|13:43|1|A1|1|
1592|3002096|160|1|1|2023-04-05|11:13|1|A1|1|
1592|3002096|160|2|1|2023-04-05|15:30|1|A1|1|
1592|3002096|160|3|1|2023-04-05|11:06|1|A1|1|
1592|3002097|160|0|1|2023-04-15|13:35|1|A1|1|
1592|3002133|160|1|1|2023-04-24|13:01|1|AF|1|
1592|3002133|160|2|1|2023-04-24|10:59|1|AF|1|
1592|3002133|160|3|1|2023-04-24|11:42|1|AF|1|
1592|3002134|160|1|1|2023-04-25|17:13|1|AF|1|
1592|3002134|160|2|1|2023-04-25|16:43|1|AF|1|
1592|3002134|160|3|1|2023-04-25|11:09|1|AF|1|
1592|3002135|160|0|1|2023-04-19|14:14|1|AF|1|
1592|3002145|160|2|1|2023-04-28|22:21|1|A1|1|
1592|3002145|160|3|1|2023-04-28|17:20|1|A1|1|
1592|3002146|160|1|1|2023-04-29|11:21|1|A1|1|
1592|3002146|160|2|1|2023-04-29|08:40|1|A1|1|
1592|3002146|160|3|1|2023-04-29|15:34|1|A1|1|
1592|3002152|160|0|1|2023-04-26|13:55|1|A1|1|
3574|2004651|160|0|1|2022-12-26|14:44|1|A1|1|
3574|3000090|160|0|1|2023-01-09|10:36|1|A1|1|
3574|3000100|160|0|1|2023-01-14|07:42|1|A1|1|
3574|3000995|160|0|1|2023-04-06|10:55|1|A1|1|
3574|3001382|160|0|1|2023-04-22|14:11|1|A1|1|
3574|3001383|160|0|1|2023-04-25|17:51|1|A1|1|
3574|3001546|160|0|1|2023-04-25|16:23|1|A1|1|
