Patente|Pedimento|SeccionAduanera|NumeroGuia|TipoGuia|FechaPagoReal
3577|5102461|521|489-62160265|M|2025-11-27 14:01:04|
1925|5001424|160|EGLV143574065785|M|2025-11-19 12:00:02|
3043|5603391|523|000005993335|M|2025-11-11 18:12:02|
1925|5700342|160|EGLV143581029977|M|2025-11-22 10:56:02|
3043|5603323|520|029619454816|M|2025-11-10 18:13:00|
1925|5700349|160|EGLV143581029977|M|2025-11-24 13:18:01|
1925|5700337|160|EGLV143581029977|M|2025-11-21 12:23:01|
1925|5001422|160|EGLV143574065785|M|2025-11-19 12:00:01|
3577|5102363|521|489-62158040|M|2025-11-07 15:33:01|
3471|5600795|160|NGB500797700|M|2025-11-14 15:49:02|
3471|5600953|160|EGLV143581027877|M|2025-11-27 17:41:04|
3577|5102410|521|489-62159101|M|2025-11-18 12:09:02|
3577|5102333|521|489-62157664|M|2025-11-05 15:32:01|
1925|5700210|160|EGLV143574065823|M|2025-11-12 17:57:01|
1925|5700276|160|EGLV143574065777|M|2025-11-19 09:52:01|
1925|5700348|160|EGLV143581029977|M|2025-11-24 13:17:00|
3471|5600779|160|EGLV143574065793|M|2025-11-21 12:26:01|
3577|5102463|521|489-62160265|M|2025-11-27 12:08:01|
3471|5600792|160|NGB500797700|M|2025-11-14 17:05:01|
1925|5700277|160|EGLV143574065777|M|2025-11-19 09:58:01|
1925|5700298|160|EGLV143581027851|M|2025-11-27 10:17:00|
3043|5003534|523|000005990710|M|2025-11-14 09:51:01|
3043|5603320|523|000005982323|M|2025-11-10 18:13:01|
1925|5700211|160|EGLV143574065823|M|2025-11-12 18:07:01|
3471|5600797|160|NGB500797700|M|2025-11-14 17:05:02|
1925|5700331|160|EGLV143581029977|M|2025-11-21 12:15:02|
3577|5102433|521|2550355010|H|2025-11-20 12:23:02|
3043|5603320|523|000005990916|M|2025-11-10 18:13:01|
1925|5700218|160|EGLV143574065823|M|2025-11-13 10:05:03|
3577|5102462|521|9601733746|H|2025-11-27 14:03:01|
1925|5001428|160|EGLV143574065785|M|2025-11-19 12:00:03|
3043|5603321|523|000005982322|M|2025-11-10 18:13:01|
3577|5102319|521|4967268316|H|2025-11-03 11:59:01|
3043|5603321|523|000005987768|M|2025-11-10 18:13:01|
3043|5603320|523|000005987941|M|2025-11-10 18:13:01|
1925|5001426|160|EGLV143574065785|M|2025-11-19 12:00:02|
1925|5700293|160|EGLV143581027851|M|2025-11-27 10:15:02|
3577|5102331|521|784-41438025|M|2025-11-03 16:09:01|
1925|5700304|160|EGLV143581027869|M|2025-11-28 11:04:02|
3471|5600799|160|NGB500797700|M|2025-11-14 15:49:03|
3043|5003532|523|000005990710|M|2025-11-26 14:38:01|
3577|5102434|521|1953425692|H|2025-11-20 14:38:01|
1925|5700363|160|EGLV143581029969|M|2025-11-21 13:21:03|
3043|5603320|523|000005982324|M|2025-11-10 18:13:01|
1925|5001390|160|EGLV143574065742|M|2025-11-13 13:04:03|
1925|5700327|160|EGLV143581029977|M|2025-11-20 12:24:03|
3043|5603231|523|000005978640|M|2025-11-03 18:32:01|
1925|5700313|160|EGLV143581027869|M|2025-11-28 11:33:01|
1925|5001421|160|EGLV143574065785|M|2025-11-19 12:01:02|
1925|5001425|160|EGLV143574065785|M|2025-11-19 12:01:01|
1925|5700208|160|EGLV143559587122|M|2025-11-13 11:04:05|
3043|5603319|523|000005982325|M|2025-11-11 18:09:01|
3043|5603393|523|000005993067|M|2025-11-11 18:15:01|
3577|5102434|521|489-62159193|M|2025-11-20 14:38:01|
3577|5102337|521|784-41342442|M|2025-11-05 11:14:03|
3043|5003623|523|000006001829|M|2025-11-26 14:38:01|
3471|5600865|160|EGLV143559587024|M|2025-11-14 16:48:02|
3043|5603322|520|029622147397|M|2025-11-10 18:03:00|
3577|5102392|521|1820697760|H|2025-11-18 13:44:01|
1925|5700241|160|EGLV143559587122|M|2025-11-13 11:22:02|
1925|5700271|160|EGLV143574065777|M|2025-11-19 09:42:02|
3471|5600858|160|EGLV143559587024|M|2025-11-14 17:16:03|
3471|5600771|160|EGLV143581027559|M|2025-11-19 18:29:03|
3471|5600945|160|EGLV143581027877|M|2025-11-27 18:24:02|
3043|5603319|523|000005987183|M|2025-11-11 18:09:01|
3043|5603231|523|000005965306|M|2025-11-03 18:32:01|
3577|5102378|521|489-62158434|M|2025-11-12 14:56:01|
1925|5700311|160|EGLV143581027869|M|2025-11-28 11:14:06|
1925|5700359|160|EGLV143581029969|M|2025-11-21 11:54:06|
3043|5603323|520|029624596954|M|2025-11-10 18:13:00|
3577|5102401|521|489-62158961|M|2025-11-18 13:32:00|
3043|5603321|523|000005983001|M|2025-11-10 18:13:01|
3897|5611271|240|000005990710|M|2025-11-03 16:00:09|
3043|5603231|523|000005975695|M|2025-11-03 18:32:01|
1925|5700360|160|EGLV143581029969|M|2025-11-21 13:23:02|
3577|5102462|521|489-62160265|M|2025-11-27 14:03:01|
3043|5603320|523|000005987942|M|2025-11-10 18:13:01|
1925|5700213|160|EGLV143574065823|M|2025-11-12 18:15:00|
3577|5102429|521|489-62159101|M|2025-11-20 12:22:01|
3577|5102457|521|489-62160265|M|2025-11-26 11:09:01|
3043|5603231|523|000005978639|M|2025-11-03 18:32:01|
3897|5611632|240|000006001829|M|2025-11-13 13:30:14|
3043|5603393|523|000005993334|M|2025-11-11 18:15:01|
3043|5603320|523|000005982325|M|2025-11-10 18:13:01|
1925|5700336|160|EGLV143581029977|M|2025-11-21 12:23:00|
3577|5102460|521|9509884274|H|2025-11-26 14:06:01|
3471|5600794|160|NGB500797700|M|2025-11-14 15:50:01|
3043|5603392|523|000005993334|M|2025-11-18 18:43:01|
3577|5102363|521|5559355502|H|2025-11-07 15:33:01|
1925|5100826|160|EGLV143574065751|M|2025-11-12 16:35:01|
3471|5600803|160|EGLV143574065807|M|2025-11-19 18:35:03|
1925|5700224|160|EGLV143574065823|M|2025-11-12 18:26:02|
1925|5700207|160|EGLV143559587122|M|2025-11-13 11:02:03|
3577|5102461|521|9509863801|H|2025-11-27 14:01:04|
3043|5603391|523|000005993334|M|2025-11-11 18:12:02|
3577|5102429|521|5512684144|H|2025-11-20 12:22:01|
3043|5603319|523|000005987768|M|2025-11-11 18:09:01|
1925|5001388|160|EGLV143574065742|M|2025-11-13 13:04:02|
3043|5003622|523|000006001829|M|2025-11-26 14:38:02|
1925|5700217|160|EGLV143574065823|M|2025-11-13 09:58:01|
3577|5102390|521|489-62158681|M|2025-11-19 14:46:01|
3043|5603319|523|000005989906|M|2025-11-11 18:09:01|
1925|5700203|160|EGLV143559587122|M|2025-11-13 10:28:03|
3043|5603320|523|000005987769|M|2025-11-10 18:13:01|
3577|5102430|521|489-62159101|M|2025-11-20 13:35:01|
1925|5700353|160|EGLV143581029969|M|2025-11-20 11:39:04|
1925|5700312|160|EGLV143581027869|M|2025-11-28 11:37:01|
3043|5603321|523|000005987769|M|2025-11-10 18:13:01|
3577|5102430|521|5512688171|H|2025-11-20 13:35:01|
3043|5603321|523|000005990916|M|2025-11-10 18:13:01|
3897|5611854|240|000006014899|M|2025-11-21 11:50:17|
3043|5603321|523|000005990917|M|2025-11-10 18:13:01|
1925|5700344|160|EGLV143581029977|M|2025-11-22 10:59:01|
1925|5100855|160|EGLV143574065734|M|2025-11-19 11:25:05|
3471|5600733|160|025F795072|M|2025-11-20 21:45:02|
3471|5600785|160|EGLV143574065807|M|2025-11-19 19:35:02|
3471|5600862|160|EGLV143559587024|M|2025-11-14 16:48:01|
3471|5600788|160|EGLV143574065807|M|2025-11-20 10:54:04|
3577|5102392|521|489-62158821|M|2025-11-18 13:44:01|
3471|5600821|160|EGLV143574065637|M|2025-11-20 10:14:05|
3577|5102390|521|9879133972|H|2025-11-19 14:46:01|
3577|5102455|521|489-62160265|M|2025-11-26 14:06:01|
1925|5700317|160|EGLV143581027869|M|2025-11-28 11:25:04|
3577|5102343|521|885615625684|H|2025-11-04 15:46:01|
1925|5100857|160|EGLV143574065734|M|2025-11-19 11:27:02|
1925|5700280|160|EGLV143574065777|M|2025-11-19 10:02:01|
3043|5603321|523|000005982324|M|2025-11-10 18:13:01|
1925|5700232|160|EGLV143574065823|M|2025-11-13 09:50:05|
3043|5603231|523|000005975694|M|2025-11-03 18:32:01|
1925|5700227|160|EGLV143574065823|M|2025-11-13 09:35:04|
3043|5603320|523|000005989908|M|2025-11-10 18:13:01|
1925|5700287|160|EGLV143581027851|M|2025-11-26 17:43:03|
1925|5700334|160|EGLV143581029977|M|2025-11-21 12:48:02|
1925|5700318|160|EGLV143581027869|M|2025-11-28 11:24:02|
1925|5100881|160|EGLV143581030232|M|2025-11-01 08:54:00|
1925|5700239|160|EGLV143559587122|M|2025-11-13 11:28:01|
3471|5600768|160|EGLV143581027559|M|2025-11-19 16:47:03|
3471|5600782|160|EGLV143574065793|M|2025-11-19 15:41:01|
1925|5700214|160|EGLV143574065823|M|2025-11-12 18:15:01|
1925|5700230|160|EGLV143574065823|M|2025-11-13 09:40:03|
1925|5700366|160|EGLV143581029969|M|2025-11-21 18:25:03|
3577|5102427|521|2550348706|H|2025-11-20 11:33:02|
3577|5102332|521|3656454944|H|2025-11-06 10:54:01|
1925|5001393|160|EGLV143574065742|M|2025-11-13 11:32:03|
1925|5100823|160|EGLV143574065751|M|2025-11-12 16:31:00|
1637|5201476|521|885476938200|H|2025-11-06 23:20:01|
3577|5102456|521|489-62160265|M|2025-11-27 13:51:00|
3471|5600777|160|EGLV143574065793|M|2025-11-21 12:26:02|
3471|5600796|160|NGB500797700|M|2025-11-14 17:16:03|
3897|5611723|240|000006020095|M|2025-11-19 10:50:17|
3471|5600950|160|EGLV143581027877|M|2025-11-27 18:19:02|
3577|5102457|521|9509889826|H|2025-11-26 11:09:01|
3471|5600787|160|EGLV143574065807|M|2025-11-20 10:54:04|
3471|5600732|160|025F795072|M|2025-11-20 16:20:02|
3577|5102391|521|489-62158250|M|2025-11-13 19:28:01|
3043|5003411|523|000005977667|M|2025-11-04 16:55:01|
1925|5700278|160|EGLV143574065777|M|2025-11-19 09:58:02|
1925|5700309|160|EGLV143581027869|M|2025-11-28 11:14:04|
1925|5700201|160|EGLV143559587122|M|2025-11-13 10:26:03|
1925|5700367|160|EGLV143581029969|M|2025-11-21 18:30:05|
3577|5102374|521|2993221501|H|2025-11-12 14:55:01|
3471|5600769|160|EGLV143581027559|M|2025-11-19 16:47:04|
3043|5603319|523|000005989908|M|2025-11-11 18:09:01|
3043|5003651|523|000006018768|M|2025-11-28 16:50:03|
3043|5603321|523|000005987941|M|2025-11-10 18:13:01|
3043|5603323|520|029622366402|M|2025-11-10 18:13:00|
1925|5100828|160|EGLV143574065751|M|2025-11-12 16:35:04|
3043|5603392|523|000005993335|M|2025-11-18 18:43:01|
3577|5102369|521|6226219742|H|2025-11-12 13:58:01|
3043|5603322|520|029625642994|M|2025-11-10 18:03:00|
1925|5100825|160|EGLV143574065751|M|2025-11-12 16:35:02|
3471|5600791|160|EGLV143574065807|M|2025-11-19 18:35:03|
1637|5201476|521|023-60103481|M|2025-11-06 23:20:01|
3471|5600895|160|EGLV143559587024|M|2025-11-15 11:53:02|
1925|5700310|160|EGLV143581027869|M|2025-11-28 11:13:02|
3897|5611429|240|000005997078|M|2025-11-07 15:30:12|
3471|5600948|160|EGLV143581027877|M|2025-11-27 18:38:02|
1925|5700223|160|EGLV143574065823|M|2025-11-12 18:20:02|
1925|5001395|160|EGLV143574065742|M|2025-11-13 11:32:04|
3043|5603482|520|029890872388|M|2025-11-20 18:42:00|
3471|5600946|160|EGLV143581027877|M|2025-11-28 20:35:00|
3043|5603322|520|029617581143|M|2025-11-10 18:03:00|
3471|5600770|160|EGLV143581027559|M|2025-11-19 18:29:05|
3577|5102333|521|4220233323|H|2025-11-05 15:32:01|
3043|5003577|523|000005997078|M|2025-11-19 18:13:01|
1925|5700301|160|EGLV143581027869|M|2025-11-28 10:52:03|
1925|5700345|160|EGLV143581029977|M|2025-11-22 10:59:02|
3471|5600780|160|EGLV143574065793|M|2025-11-19 19:29:03|
3043|5003532|523|000005998491|M|2025-11-26 14:38:01|
1925|5700199|160|EGLV143559587122|M|2025-11-13 10:23:01|
3471|5600783|160|EGLV143574065793|M|2025-11-19 15:08:00|
3471|5600866|160|EGLV143559587024|M|2025-11-14 16:09:02|
3577|5102464|521|1262789732|H|2025-11-27 12:08:02|
1925|5700273|160|EGLV143574065777|M|2025-11-19 09:44:04|
3043|5603322|520|029621807336|M|2025-11-10 18:03:00|
1925|5700362|160|EGLV143581029969|M|2025-11-21 13:25:02|
1925|5700275|160|EGLV143574065777|M|2025-11-19 09:51:01|
1925|5700237|160|EGLV143559587122|M|2025-11-13 11:29:01|
1925|5700361|160|EGLV143581029969|M|2025-11-21 13:26:01|
1925|5700281|160|EGLV143574065777|M|2025-11-19 10:04:02|
1925|5700289|160|EGLV143581027851|M|2025-11-26 17:57:07|
3043|5603395|520|029774205075|M|2025-11-11 18:09:01|
3043|5603393|523|000005993073|M|2025-11-11 18:15:01|
3043|5603479|523|000006002757|M|2025-11-21 12:54:02|
1925|5700341|160|EGLV143581029977|M|2025-11-22 10:54:02|
3043|5603392|523|000005993067|M|2025-11-18 18:43:01|
3577|5102368|521|9697928225|H|2025-11-13 19:27:00|
3471|5600727|160|EGLV143557222266|M|2025-11-13 09:40:06|
3471|5600859|160|EGLV143559587024|M|2025-11-14 17:16:03|
3043|5603319|523|000005982324|M|2025-11-11 18:09:01|
3043|5603480|523|000006002753|M|2025-11-24 21:03:01|
3897|5611725|240|000006020040|M|2025-11-19 10:50:18|
1925|5700306|160|EGLV143581027869|M|2025-11-28 11:04:03|
3577|5102409|521|489-62158961|M|2025-11-18 15:59:02|
3043|5603321|523|000005989906|M|2025-11-10 18:13:01|
3471|5600734|160|025F795072|M|2025-11-20 21:45:00|
1925|5700330|160|EGLV143581029977|M|2025-11-21 12:14:01|
3471|5600778|160|EGLV143574065793|M|2025-11-21 18:31:03|
3577|5102408|521|3830163341|H|2025-11-19 12:24:01|
3043|5003532|523|000005986597|M|2025-11-26 14:38:01|
3577|5102427|521|489-62159101|M|2025-11-20 11:33:02|
1925|5100831|160|EGLV143574065751|M|2025-11-12 16:35:03|
1925|5100861|160|EGLV143574065734|M|2025-11-19 11:34:02|
1925|5700212|160|EGLV143574065823|M|2025-11-12 18:08:01|
1925|5700200|160|EGLV143559587122|M|2025-11-13 10:25:05|
1925|5700228|160|EGLV143574065823|M|2025-11-13 09:35:05|
3043|5003554|523|000005998491|M|2025-11-14 15:08:03|
1925|5700270|160|EGLV143574065777|M|2025-11-19 09:41:03|
3043|5603481|520|029888728775|M|2025-11-20 18:47:01|
1925|5001427|160|EGLV143574065785|M|2025-11-19 12:00:05|
3471|5000891|160|EGLV143581027923|M|2025-11-21 23:58:01|
3471|5600943|160|EGLV143581027877|M|2025-11-27 18:24:03|
1925|5700351|160|EGLV143581027851|M|2025-11-28 14:22:01|
1925|5001374|160|EGLV143559586834|M|2025-11-01 11:06:01|
1925|5700303|160|EGLV143581027869|M|2025-11-28 10:59:01|
3471|5600786|160|EGLV143574065807|M|2025-11-19 19:35:01|
3043|5603322|520|029623201606|M|2025-11-10 18:03:00|
1925|5700338|160|EGLV143581029977|M|2025-11-22 10:50:02|
3043|5603319|523|000005982323|M|2025-11-11 18:09:01|
1925|5700282|160|EGLV143574065777|M|2025-11-19 10:04:01|
1925|5001389|160|EGLV143574065742|M|2025-11-13 11:32:02|
3577|5102391|521|9697928225|H|2025-11-13 19:28:01|
1925|5700357|160|EGLV143581029969|M|2025-11-21 11:53:02|
3043|5003533|523|000005986597|M|2025-11-14 09:51:01|
3043|5603392|523|000005993073|M|2025-11-18 18:43:01|
3577|5102454|521|1262779350|H|2025-11-27 14:00:01|
3577|5102463|521|9509879816|H|2025-11-27 12:08:01|
1925|5700340|160|EGLV143581029977|M|2025-11-22 10:52:02|
3471|5600735|160|025F795072|M|2025-11-20 16:20:03|
3471|5600951|160|EGLV143581027877|M|2025-11-27 17:47:14|
1925|5100858|160|EGLV143574065734|M|2025-11-19 11:48:01|
3471|5600776|160|EGLV143574065793|M|2025-11-21 18:08:02|
3043|5603319|523|000005987941|M|2025-11-11 18:09:01|
3043|5603320|523|000005989907|M|2025-11-10 18:13:01|
3043|5003412|523|000005977667|M|2025-11-26 17:04:02|
3897|5611730|240|000006018768|M|2025-11-19 10:50:23|
1925|5700233|160|EGLV143559587122|M|2025-11-13 10:43:02|
1925|5700206|160|EGLV143559587122|M|2025-11-13 10:47:04|
1925|5700231|160|EGLV143574065823|M|2025-11-13 09:49:02|
3471|5600892|160|EGLV143581027923|M|2025-11-21 23:57:02|
1925|5100832|160|EGLV143574065751|M|2025-11-12 16:40:01|
1925|5700319|160|EGLV143581027869|M|2025-11-28 11:23:03|
1925|5700283|160|EGLV143574065777|M|2025-11-19 10:05:03|
1925|5700297|160|EGLV143581027851|M|2025-11-27 13:25:01|
1925|5100859|160|EGLV143574065734|M|2025-11-19 11:28:06|
3577|5102409|521|7772704995|H|2025-11-18 15:59:02|
3577|5102382|521|489-62158681|M|2025-11-19 14:44:02|
3043|5603321|523|000005989909|M|2025-11-10 18:13:01|
3043|5603321|523|000005982325|M|2025-11-10 18:13:01|
3043|5603321|523|000005982323|M|2025-11-10 18:13:01|
3577|5102433|521|489-62159392|M|2025-11-20 12:23:02|
1925|5700226|160|EGLV143574065823|M|2025-11-12 18:32:01|
1925|5700305|160|EGLV143581027869|M|2025-11-28 11:04:02|
3471|5600952|160|EGLV143581027877|M|2025-11-27 17:41:05|
3471|5600736|160|025F795072|M|2025-11-20 16:19:03|
3577|5102403|521|1820697760|H|2025-11-18 13:44:01|
3471|5600942|160|EGLV143581027877|M|2025-11-27 18:24:03|
3471|5600767|160|EGLV143581027559|M|2025-11-21 15:26:02|
3043|5603231|523|000005966581|M|2025-11-03 18:32:01|
3043|5603319|523|000005983001|M|2025-11-11 18:09:01|
1925|5700364|160|EGLV143581029969|M|2025-11-21 13:25:03|
3043|5603231|523|000005965438|M|2025-11-03 18:32:01|
3897|5611617|240|000006013035|M|2025-11-13 13:20:05|
3577|5102368|521|489-62158250|M|2025-11-13 19:27:00|
1925|5700335|160|EGLV143581029977|M|2025-11-21 12:21:01|
1925|5001386|160|EGLV143574065742|M|2025-11-13 13:04:02|
