Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3043|5003622|523|2025-11-13|COVE257UHNDI3|DAP|USD|2352.00|2352.00|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD, YUHANG ECONOMIC DEVELOPMENT ZONE||116|311100|ZHEJIANG|2025-11-26 14:38:02|
1925|5700367|160|2025-10-15|COVE257TZ1VP6|CIF|USD|54409.47|54409.47|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-21 18:30:05|
3471|5600733|160|2025-10-15|COVE257U5ANR1|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-20 21:45:02|
1925|5700315|160|2025-10-30|COVE257U6JXM7|CIF|USD|212.94|212.94|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-28 11:31:02|
1925|5700360|160|2025-10-15|COVE257TZWDX7|CIF|USD|26.08|26.08|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-21 13:23:02|
3577|5102391|521|2025-11-06|COVE257TUILZ2|DAP|USD|8.00|8.00|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD||116|311100|HANGZHOU  YUHANG ECONOMIC DEVELOPMENT ZONE|2025-11-13 19:28:01|
3577|5102463|521|2025-11-20|COVE257UGF0D6|DAP|USD|709.50|709.50|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD||116|311100|HANGZHOU  YUHANG ECONOMIC DEVELOPMENT ZONE|2025-11-27 12:08:01|
3043|5003651|523|2025-11-18|COVE257UJJ393|DAP|USD|2352.00|2352.00|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD, YUHANG ECONOMIC DEVELOPMENT ZONE||116|311100|ZHEJIANG|2025-11-28 16:50:03|
3471|5600948|160|2025-10-29|COVE257UI3HS3|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-27 18:38:02|
1925|5700312|160|2025-10-30|COVE257U2CIL3|CIF|USD|13655.82|13655.82|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-28 11:37:01|
3471|5600793|160|2025-10-21|COVE257TDBZ93|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-14 15:49:02|
3043|5003534|523|2025-11-01|COVE257TTA774|DAP|USD|2352.00|2352.00|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD, YUHANG ECONOMIC DEVELOPMENT ZONE||116|311100|ZHEJIANG|2025-11-14 09:51:01|
1925|5700303|160|2025-10-30|COVE257U7XK35|CIF|USD|519.06|519.06|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-28 10:59:01|
1925|5100854|160|2025-10-14|COVE257T9QG51|CIF|USD|78630.33|78630.33|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2025-11-19 11:25:05|
3471|5600766|160|2025-10-20|COVE257U1TV28|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-19 18:35:03|
3577|5102454|521|2025-11-20|COVE257UKCHB7|DAP|USD|709.50|709.50|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD||116|311100|HANGZHOU  YUHANG ECONOMIC DEVELOPMENT ZONE|2025-11-27 14:00:01|
3471|5600949|160|2025-10-29|COVE257UGY304|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-27 18:39:02|
3471|5600778|160|2025-10-14|COVE257U810T7|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-21 18:31:03|
3471|5600790|160|2025-10-16|COVE257TDH1F8|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2025-11-19 18:29:02|
