Patente|Pedimento|SeccionAduanera|TipoFecha|FechaOperacion|FechaValidacionPagoR
1925|5700338|160|1|2025-11-17|2025-11-22 10:50:02|
3577|5102378|521|1|2025-11-10|2025-11-12 14:56:01|
1925|5700279|160|2|2025-11-19|2025-11-19 09:58:02|
3577|5102333|521|2|2025-11-05|2025-11-05 15:32:01|
3043|5603393|523|5|2025-11-03|2025-11-11 18:15:01|
3471|5600791|160|2|2025-11-19|2025-11-19 18:35:03|
1925|5700351|160|1|2025-11-25|2025-11-28 14:22:01|
3471|5600770|160|2|2025-11-19|2025-11-19 18:29:05|
3577|5102427|521|2|2025-11-20|2025-11-20 11:33:02|
3471|5600783|160|1|2025-11-17|2025-11-19 15:08:00|
1925|5700293|160|2|2025-11-27|2025-11-27 10:15:02|
3471|5600736|160|2|2025-11-20|2025-11-20 16:19:03|
1925|5700229|160|1|2025-11-11|2025-11-13 09:40:02|
1925|5700371|160|1|2025-11-17|2025-11-21 18:43:02|
3577|5102408|521|2|2025-11-19|2025-11-19 12:24:01|
3043|5603395|520|5|2025-11-03|2025-11-11 18:09:01|
3471|5600799|160|1|2025-11-11|2025-11-14 15:49:03|
1925|5700228|160|2|2025-11-13|2025-11-13 09:35:05|
1925|5700282|160|1|2025-11-17|2025-11-19 10:04:01|
3577|5102390|521|1|2025-11-11|2025-11-19 14:46:01|
1925|5700345|160|2|2025-11-22|2025-11-22 10:59:02|
1925|5700346|160|2|2025-11-24|2025-11-24 13:12:02|
1925|5001391|160|2|2025-11-13|2025-11-13 11:32:03|
3577|5102378|521|2|2025-11-12|2025-11-12 14:56:01|
1925|5700234|160|2|2025-11-13|2025-11-13 10:44:02|
3471|5600787|160|2|2025-11-20|2025-11-20 10:54:04|
3471|5600754|160|1|2025-11-17|2025-11-19 15:03:05|
1925|5700206|160|2|2025-11-13|2025-11-13 10:47:04|
1925|5700306|160|1|2025-11-25|2025-11-28 11:04:03|
3471|5600786|160|2|2025-11-19|2025-11-19 19:35:01|
3577|5102392|521|1|2025-11-12|2025-11-18 13:44:01|
1925|5700355|160|1|2025-11-17|2025-11-20 11:41:02|
3577|5102331|521|2|2025-11-03|2025-11-03 16:09:01|
1925|5700201|160|1|2025-11-11|2025-11-13 10:26:03|
1925|5700201|160|2|2025-11-13|2025-11-13 10:26:03|
3471|5600861|160|2|2025-11-14|2025-11-14 16:09:03|
1925|5700318|160|1|2025-11-25|2025-11-28 11:24:02|
1925|5700305|160|1|2025-11-25|2025-11-28 11:04:02|
1925|5100861|160|1|2025-11-17|2025-11-19 11:34:02|
1925|5100859|160|2|2025-11-19|2025-11-19 11:28:06|
1925|5100854|160|1|2025-11-17|2025-11-19 11:25:05|
1925|5100860|160|1|2025-11-17|2025-11-19 11:28:07|
1925|5700211|160|1|2025-11-11|2025-11-12 18:07:01|
3577|5102456|521|2|2025-11-27|2025-11-27 13:51:00|
3043|5003534|523|2|2025-11-14|2025-11-14 09:51:01|
3577|5102368|521|2|2025-11-13|2025-11-13 19:27:00|
1925|5700318|160|2|2025-11-28|2025-11-28 11:24:02|
1925|5700345|160|1|2025-11-17|2025-11-22 10:59:02|
3577|5102446|521|2|2025-11-24|2025-11-24 15:27:03|
3043|5603479|523|5|2025-11-10|2025-11-21 12:54:02|
1925|5700361|160|2|2025-11-21|2025-11-21 13:26:01|
1925|5700202|160|2|2025-11-13|2025-11-13 10:26:04|
3471|5600736|160|1|2025-11-17|2025-11-20 16:19:03|
3471|5600953|160|1|2025-11-25|2025-11-27 17:41:04|
1925|5700333|160|1|2025-11-17|2025-11-21 12:20:02|
3577|5102374|521|2|2025-11-12|2025-11-12 14:55:01|
3577|5102463|521|1|2025-11-24|2025-11-27 12:08:01|
3471|5600746|160|1|2025-11-17|2025-11-20 21:45:01|
3043|5603320|523|5|2025-10-27|2025-11-10 18:13:01|
1925|5700270|160|2|2025-11-19|2025-11-19 09:41:03|
1925|5100828|160|2|2025-11-12|2025-11-12 16:35:04|
3471|5600797|160|2|2025-11-14|2025-11-14 17:05:02|
1925|5100861|160|2|2025-11-19|2025-11-19 11:34:02|
3577|5102319|521|1|2025-10-30|2025-11-03 11:59:01|
3471|5600946|160|2|2025-11-28|2025-11-28 20:35:00|
1925|5001424|160|1|2025-11-17|2025-11-19 12:00:02|
1925|5001392|160|2|2025-11-13|2025-11-13 13:04:03|
3577|5102333|521|1|2025-11-03|2025-11-05 15:32:01|
3897|5611730|240|1|2025-11-19|2025-11-19 10:50:23|
3471|5600776|160|2|2025-11-21|2025-11-21 18:08:02|
1925|5001428|160|1|2025-11-17|2025-11-19 12:00:03|
1925|5700275|160|2|2025-11-19|2025-11-19 09:51:01|
1925|5700310|160|1|2025-11-25|2025-11-28 11:13:02|
1925|5001428|160|2|2025-11-19|2025-11-19 12:00:03|
1905|5019086|160|1|2025-10-01|2025-11-13 17:17:02|
1925|5700315|160|2|2025-11-28|2025-11-28 11:31:02|
1925|5700355|160|2|2025-11-20|2025-11-20 11:41:02|
1925|5700360|160|1|2025-11-17|2025-11-21 13:23:02|
3577|5102410|521|1|2025-11-14|2025-11-18 12:09:02|
1925|5700344|160|1|2025-11-17|2025-11-22 10:59:01|
3043|5603320|523|2|2025-11-10|2025-11-10 18:13:01|
3471|5600795|160|2|2025-11-14|2025-11-14 15:49:02|
1925|5700314|160|1|2025-11-25|2025-11-28 11:33:03|
3471|5600782|160|2|2025-11-19|2025-11-19 15:41:01|
1925|5700199|160|1|2025-11-11|2025-11-13 10:23:01|
3043|5003554|523|1|2025-11-13|2025-11-14 15:08:03|
1925|5001425|160|2|2025-11-19|2025-11-19 12:01:01|
3043|5603481|520|5|2025-11-10|2025-11-20 18:47:01|
3471|5600951|160|1|2025-11-25|2025-11-27 17:47:14|
1925|5700329|160|1|2025-11-17|2025-11-20 12:28:02|
1925|5700238|160|1|2025-11-11|2025-11-13 14:41:01|
1925|5700362|160|1|2025-11-17|2025-11-21 13:25:02|
1925|5001389|160|1|2025-11-11|2025-11-13 11:32:02|
1647|5006873|240|2|2025-11-01|2025-11-01 09:27:01|
3471|5600777|160|1|2025-11-17|2025-11-21 12:26:02|
1925|5700334|160|2|2025-11-21|2025-11-21 12:48:02|
3043|5003577|523|2|2025-11-19|2025-11-19 18:13:01|
3577|5102428|521|2|2025-11-19|2025-11-19 12:27:01|
1925|5700278|160|1|2025-11-17|2025-11-19 09:58:02|
1925|5100829|160|2|2025-11-12|2025-11-12 16:35:03|
3471|5600781|160|1|2025-11-17|2025-11-19 19:29:03|
1925|5700273|160|2|2025-11-19|2025-11-19 09:44:04|
3577|5102454|521|1|2025-11-24|2025-11-27 14:00:01|
3471|5600776|160|1|2025-11-17|2025-11-21 18:08:02|
3471|5600739|160|1|2025-11-17|2025-11-20 18:29:03|
1925|5700360|160|2|2025-11-21|2025-11-21 13:23:02|
3471|5600732|160|2|2025-11-20|2025-11-20 16:20:02|
1925|5700364|160|2|2025-11-21|2025-11-21 13:25:03|
3471|5600943|160|1|2025-11-25|2025-11-27 18:24:03|
3471|5600779|160|2|2025-11-21|2025-11-21 12:26:01|
1925|5700317|160|1|2025-11-25|2025-11-28 11:25:04|
1925|5700311|160|2|2025-11-28|2025-11-28 11:14:06|
1925|5700366|160|1|2025-11-17|2025-11-21 18:25:03|
1925|5700229|160|2|2025-11-13|2025-11-13 09:40:02|
1925|5700286|160|2|2025-11-26|2025-11-26 17:34:04|
1925|5700330|160|2|2025-11-21|2025-11-21 12:14:01|
1925|5001374|160|1|2025-10-28|2025-11-01 11:06:01|
1925|5700289|160|1|2025-11-25|2025-11-26 17:57:07|
1925|5700349|160|1|2025-11-17|2025-11-24 13:18:01|
3471|5600945|160|2|2025-11-27|2025-11-27 18:24:02|
3043|5603391|523|5|2025-11-03|2025-11-11 18:12:02|
1925|5700368|160|2|2025-11-21|2025-11-21 18:47:04|
1925|5700207|160|2|2025-11-13|2025-11-13 11:02:03|
1925|5700280|160|2|2025-11-19|2025-11-19 10:02:01|
