Patente|Pedimento|SeccionAduanera|ClaveContribucion|FormaPago|ImportePago|TipoPedimento|FechaPagoReal
1925|5700303|160|15|0|290|1|2025-11-28 10:59:01|
3471|5600952|160|23|0|46|1|2025-11-27 17:41:05|
3471|5600895|160|15|0|290|2|2025-11-15 11:53:02|
1925|5700345|160|1|0|445|1|2025-11-22 10:59:02|
3043|5003651|523|23|0|46|1|2025-11-28 16:50:03|
3471|5600766|160|15|0|290|1|2025-11-19 18:35:03|
1647|5006933|240|23|0|46|1|2025-11-10 10:37:06|
1925|5700348|160|15|0|290|1|2025-11-24 13:17:00|
1905|5019086|160|11|0|2395|1|2025-11-13 17:17:02|
1925|5700275|160|15|0|290|1|2025-11-19 09:51:01|
1637|5201476|521|23|0|46|1|2025-11-06 23:20:01|
3043|5003623|523|15|0|290|1|2025-11-26 14:38:01|
1925|5700310|160|23|0|46|1|2025-11-28 11:13:02|
1925|5700274|160|1|0|445|1|2025-11-19 09:49:01|
3471|5600892|160|1|0|445|1|2025-11-21 23:57:02|
1925|5001424|160|1|0|445|1|2025-11-19 12:00:02|
1925|5700281|160|23|0|46|1|2025-11-19 10:04:02|
3471|5600792|160|23|0|46|1|2025-11-14 17:05:01|
3577|5102403|521|1|0|445|1|2025-11-18 13:44:01|
1925|5700216|160|23|0|46|1|2025-11-12 18:20:01|
1925|5700317|160|23|0|46|1|2025-11-28 11:25:04|
3577|5102460|521|23|0|46|1|2025-11-26 14:06:01|
1925|5700339|160|15|0|290|1|2025-11-22 10:51:00|
3471|5600858|160|1|0|445|1|2025-11-14 17:16:03|
1925|5700231|160|15|0|290|1|2025-11-13 09:49:02|
3471|5600768|160|23|0|46|1|2025-11-19 16:47:03|
3471|5600771|160|15|0|290|1|2025-11-19 18:29:03|
3471|5600746|160|23|0|46|1|2025-11-20 21:45:01|
1925|5700202|160|23|0|46|1|2025-11-13 10:26:04|
3043|5003534|523|1|0|445|1|2025-11-14 09:51:01|
3897|5611341|240|1|0|445|1|2025-11-05 11:01:07|
1925|5700204|160|15|0|290|1|2025-11-13 10:37:02|
1925|5700319|160|23|0|46|1|2025-11-28 11:23:03|
1925|5700335|160|1|0|445|1|2025-11-21 12:21:01|
3577|5102427|521|23|0|46|1|2025-11-20 11:33:02|
1925|5100831|160|1|0|445|1|2025-11-12 16:35:03|
1925|5700304|160|1|0|445|1|2025-11-28 11:04:02|
1925|5700314|160|15|0|290|1|2025-11-28 11:33:03|
1925|5700293|160|1|0|445|1|2025-11-27 10:15:02|
3043|5603395|520|1|9|445|1|2025-11-11 18:09:01|
1925|5700330|160|1|0|445|1|2025-11-21 12:14:01|
3471|5600865|160|15|0|290|1|2025-11-14 16:48:02|
1925|5700310|160|1|0|445|1|2025-11-28 11:13:02|
3577|5102408|521|15|0|290|1|2025-11-19 12:24:01|
3471|5600782|160|1|0|445|1|2025-11-19 15:41:01|
3471|5600791|160|1|0|445|1|2025-11-19 18:35:03|
3577|5102382|521|23|0|46|1|2025-11-19 14:44:02|
1925|5100856|160|23|0|46|1|2025-11-19 11:27:03|
1925|5100827|160|23|0|46|1|2025-11-12 16:35:05|
1925|5700231|160|23|0|46|1|2025-11-13 09:49:02|
3577|5102401|521|15|0|290|1|2025-11-18 13:32:00|
1925|5100826|160|15|0|290|1|2025-11-12 16:35:01|
3577|5102463|521|23|0|46|1|2025-11-27 12:08:01|
3471|5600777|160|1|0|445|1|2025-11-21 12:26:02|
3471|5600858|160|23|0|46|1|2025-11-14 17:16:03|
3043|5003412|523|23|0|46|1|2025-11-26 17:04:02|
1925|5100832|160|1|0|445|1|2025-11-12 16:40:01|
3471|5600754|160|15|0|290|1|2025-11-19 15:03:05|
3471|5600790|160|15|0|290|1|2025-11-19 18:29:02|
1925|5700359|160|15|0|290|1|2025-11-21 11:54:06|
3043|5603481|520|15|0|290|1|2025-11-20 18:47:01|
3043|5603231|523|23|0|46|1|2025-11-03 18:32:01|
1925|5100830|160|1|0|445|1|2025-11-12 16:35:03|
3471|5600739|160|1|0|445|1|2025-11-20 18:29:03|
1925|5700313|160|1|0|445|1|2025-11-28 11:33:01|
1925|5700236|160|23|0|46|1|2025-11-13 10:49:01|
1925|5100825|160|15|0|290|1|2025-11-12 16:35:02|
1925|5700293|160|15|0|290|1|2025-11-27 10:15:02|
1925|5700339|160|1|0|445|1|2025-11-22 10:51:00|
3471|5600949|160|23|0|46|1|2025-11-27 18:39:02|
3471|5600790|160|1|0|445|1|2025-11-19 18:29:02|
1925|5700365|160|1|0|445|1|2025-11-21 13:40:02|
1925|5700270|160|1|0|445|1|2025-11-19 09:41:03|
3471|5600799|160|23|0|46|1|2025-11-14 15:49:03|
3043|5603231|523|15|0|290|1|2025-11-03 18:32:01|
1925|5700207|160|1|0|445|1|2025-11-13 11:02:03|
1925|5001421|160|23|0|46|1|2025-11-19 12:01:02|
3043|5603231|523|1|0|3568|1|2025-11-03 18:32:01|
3471|5600893|160|15|0|290|1|2025-11-21 23:57:02|
1925|5001428|160|23|0|46|1|2025-11-19 12:00:03|
1925|5700319|160|1|0|445|1|2025-11-28 11:23:03|
3471|5600949|160|1|0|445|1|2025-11-27 18:39:02|
1925|5700292|160|1|0|445|1|2025-11-27 10:15:01|
1925|5100829|160|1|0|445|1|2025-11-12 16:35:03|
1925|5700366|160|15|0|290|1|2025-11-21 18:25:03|
1925|5700348|160|1|0|445|1|2025-11-24 13:17:00|
3897|5611730|240|1|0|445|1|2025-11-19 10:50:23|
1925|5700367|160|1|0|445|1|2025-11-21 18:30:05|
1925|5700367|160|15|0|290|1|2025-11-21 18:30:05|
3471|5600765|160|15|0|290|1|2025-11-19 19:00:02|
1925|5100854|160|23|0|46|1|2025-11-19 11:25:05|
3471|5600903|160|23|0|46|1|2025-11-21 23:57:01|
3471|5600943|160|23|0|46|1|2025-11-27 18:24:03|
3471|5600866|160|1|0|445|1|2025-11-14 16:09:02|
3577|5102446|521|15|0|290|1|2025-11-24 15:27:03|
3577|5102463|521|1|0|445|1|2025-11-27 12:08:01|
3471|5600793|160|1|0|445|1|2025-11-14 15:49:02|
3043|5003622|523|1|0|445|1|2025-11-26 14:38:02|
1925|5100832|160|15|0|290|1|2025-11-12 16:40:01|
1925|5700213|160|1|0|445|1|2025-11-12 18:15:00|
