Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|TasaContribucion|TipoTasa|FechaPagoReal
1925|5001374|160|39263002|295|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73181606|214|3|16.00000|1|2025-11-01 11:06:01|
1925|5700304|160|87082999|17|3|16.00000|1|2025-11-28 11:04:02|
1925|5700306|160|73181599|5|3|16.00000|1|2025-11-28 11:04:03|
1925|5700297|160|87087099|36|3|16.00000|1|2025-11-27 13:25:01|
1925|5001374|160|39199099|91|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|87088005|205|3|16.00000|1|2025-11-01 11:06:01|
3471|5600944|160|87082999|122|3|16.00000|1|2025-11-27 19:08:01|
3471|5600944|160|40169999|22|3|16.00000|1|2025-11-27 19:08:01|
3577|5102337|521|87089999|54|3|16.00000|1|2025-11-05 11:14:03|
1925|5001374|160|73181599|25|6|35.00000|1|2025-11-01 11:06:01|
1925|5700316|160|87089999|63|3|16.00000|1|2025-11-28 11:26:01|
1925|5700304|160|87088005|40|3|16.00000|1|2025-11-28 11:04:02|
3471|5600946|160|98020019|154|3|16.00000|1|2025-11-28 20:35:00|
1925|5001374|160|39199099|185|6|35.00000|1|2025-11-01 11:06:01|
1925|5001374|160|87082999|80|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|87082919|285|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|39199099|137|6|35.00000|1|2025-11-01 11:06:01|
1925|5700302|160|73181599|9|6|35.00000|1|2025-11-28 11:39:01|
1925|5700349|160|87082999|21|3|16.00000|1|2025-11-24 13:18:01|
1925|5700297|160|87082999|30|3|16.00000|1|2025-11-27 13:25:01|
1925|5001374|160|40169901|2|3|16.00000|1|2025-11-01 11:06:01|
3043|5003411|523|56090002|1|3|16.00000|1|2025-11-04 16:55:01|
3471|5600944|160|87082999|105|3|16.00000|1|2025-11-27 19:08:01|
3471|5600944|160|87082999|118|3|16.00000|1|2025-11-27 19:08:01|
1925|5001374|160|73181599|24|3|16.00000|1|2025-11-01 11:06:01|
1925|5001374|160|87088005|250|3|16.00000|1|2025-11-01 11:06:01|
3471|5600944|160|85365099|51|3|16.00000|1|2025-11-27 19:08:01|
1925|5700302|160|73269099|154|3|16.00000|1|2025-11-28 11:39:01|
1925|5700312|160|73072202|2|3|16.00000|1|2025-11-28 11:37:01|
1925|5001374|160|73182403|65|6|35.00000|1|2025-11-01 11:06:01|
1925|5001374|160|73181599|8|6|35.00000|1|2025-11-01 11:06:01|
