Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SecuenciaObservacion|Observaciones|FechaPagoReal
3471|5600798|160|39199099|9|1|25CFTT405375-7|2025-11-14 16:30:06|
1925|5700347|160|87089999|59|1|No. De parte: 5HYV-355080-9000|2025-11-24 13:15:00|
1925|5700238|160|73181599|32|1|No. De parte: 30024-122130110|2025-11-13 14:41:01|
1925|5700316|160|87089999|64|1|No. De parte: 5HYV-183500-6000|2025-11-28 11:26:01|
3471|5600948|160|87089999|75|3|5HYV-030020-6000|2025-11-27 18:38:02|
1925|5100854|160|85371099|268|1|No. De parte: 5SYV-169480-8300|2025-11-19 11:25:05|
1647|5006933|240|87032199|3|96|380Y-3 SH190267|2025-11-10 10:37:06|
1925|5100856|160|84879006|61|1|No. De parte: 3121400|2025-11-19 11:27:03|
1925|5700271|160|87082999|42|1|No. De parte: 5HYV-043067-9000|2025-11-19 09:42:02|
1647|5006933|240|87032199|3|144|380Y-3 SH190237|2025-11-10 10:37:06|
1925|5100854|160|87089999|204|1|No. De parte: 5HYV-183030A|2025-11-19 11:25:05|
3471|5600946|160|98020019|170|3|NO.PARTE|2025-11-28 20:35:00|
3471|5600944|160|98020019|234|2|No.Parte|2025-11-27 19:08:01|
3471|5600792|160|73181504|44|3|9AYV-804106-6700|2025-11-14 17:05:01|
1925|5700350|160|87082999|20|1|No. De parte: 5HYV-032220-6000-H1M|2025-11-24 13:18:02|
3471|5600862|160|73269099|137|3|30605-114060|2025-11-14 16:48:01|
3471|5600798|160|87082999|170|2|No.Parte|2025-11-14 16:30:06|
1925|5700349|160|49019991|39|1|No. De parte: 5SYV-380101-1500-13|2025-11-24 13:18:01|
3471|5600798|160|82060001|111|2|No.Parte|2025-11-14 16:30:06|
3471|5600944|160|87082999|115|3|5SYV-030310-8000-H1M|2025-11-27 19:08:01|
3471|5600946|160|87089999|130|3|5HYV-002014-6001|2025-11-28 20:35:00|
1925|5100854|160|73269099|136|1|No. De parte: 5HY0-223036|2025-11-19 11:25:05|
1647|5006933|240|87032199|3|175|380Y-3 SH220035|2025-11-10 10:37:06|
1925|5700271|160|87089904|58|1|No. De parte: 5HYV-120100-6000A|2025-11-19 09:42:02|
1925|5001422|160|73269099|4|1|No. De parte: TBT085-01-02|2025-11-19 12:00:01|
1647|5006933|240|87032199|3|26|380Y-3 SH070062|2025-11-10 10:37:06|
3577|5102382|521|87082999|21|1|15NO. DE PARTE : 5HYV-223022-6000-0BM00  FACTURA: 25CFTTP7152-IN|2025-11-19 14:44:02|
3471|5600942|160|87082999|5|1|25CFTT405952-1|2025-11-27 18:24:03|
3471|5600944|160|87082999|71|1|25CFTT405952-3|2025-11-27 19:08:01|
3471|5600862|160|87082999|197|3|5HYV-042055-9002|2025-11-14 16:48:01|
1925|5700349|160|85365099|15|1|No. De parte: 5HYV-169030-6000|2025-11-24 13:18:01|
1925|5700228|160|87089904|9|1|No. De parte: 5HYV-120100-6000A|2025-11-13 09:35:05|
3471|5600792|160|94019999|236|1|25CFTT405375-1|2025-11-14 17:05:01|
1925|5700347|160|73269099|1|1|No. De parte: 0180-014010|2025-11-24 13:15:00|
1925|5700218|160|40169999|80|1|No. De parte: 5HYV-043045-6001|2025-11-13 10:05:03|
3471|5600944|160|98020019|234|1|25CFTT405952-2, FRACCION ORIGINAL 8708509904|2025-11-27 19:08:01|
3471|5600946|160|87088005|113|2|No.Parte|2025-11-28 20:35:00|
3471|5600789|160|87089999|212|3|5HYV-183500-6000|2025-11-19 18:29:04|
1647|5006933|240|87032199|2|29|380Y-3 SH160014|2025-11-10 10:37:06|
3471|5600780|160|73269099|1|3|5HYV-032180-6001-H1M|2025-11-19 19:29:03|
3471|5600789|160|85365099|114|3|5HYV-169360-6001|2025-11-19 18:29:04|
1647|5006933|240|87032199|3|48|380Y-3 SH280024|2025-11-10 10:37:06|
3471|5600782|160|87089203|136|3|NO.PARTE|2025-11-19 15:41:01|
3471|5600944|160|87082999|78|3|5HYV-032110-6000-H1M|2025-11-27 19:08:01|
3471|5600948|160|85371006|15|2|No.Parte|2025-11-27 18:38:02|
1925|5100827|160|87089999|24|1|No. De parte: 5HYV-002011-6001|2025-11-12 16:35:05|
