Patente|Pedimento|SeccionAduanera|ConsecutivoRemesa|NumeroSeleccion|FechaInicioReconocimiento|HoraInicioReconocimiento|FechaFinReconocimiento|HoraFinReconocimiento|Fraccion|SecuenciaFraccion|ClaveDocumento|TipoOperacion|GradoIncidencia|FechaSeleccion
3132|5005733|160|0|1|2025-11-03|11:32|2025-11-03|15:13|00000000|0|A1|1|C|2025-11-03|
3471|5600893|160|0|1|2025-11-26|15:58|2025-11-26|18:46|00000000|0|A1|1|C|2025-11-26|
3471|5600894|160|0|1|2025-11-26|15:58|2025-11-26|18:46|00000000|0|AF|1|C|2025-11-26|
1925|5700357|160|0|1|2025-11-26|14:13|2025-11-26|17:56|00000000|0|IN|1|C|2025-11-26|
1647|5017166|240|36|1|2025-11-21|19:20|2025-11-21|21:50|00000000|0|RT|2|C|2025-11-21|
1925|5700353|160|0|1|2025-11-26|13:37|2025-11-26|16:22|00000000|0|IN|1|C|2025-11-26|
1925|5100855|160|0|1|2025-11-21|15:35|2025-11-21|17:31|00000000|0|A1|1|C|2025-11-21|
1925|5700225|160|0|1|2025-11-14|15:29|2025-11-14|20:53|00000000|0|A1|1|C|2025-11-14|
1925|5700354|160|0|1|2025-11-26|13:37|2025-11-26|16:23|00000000|0|A1|1|C|2025-11-26|
1925|5700356|160|0|1|2025-11-26|14:13|2025-11-26|17:56|00000000|0|A1|1|C|2025-11-26|
3471|5600734|160|0|1|2025-11-26|07:48|2025-11-26|11:34|00000000|0|A1|1|C|2025-11-26|
1925|5001390|160|0|1|2025-11-14|19:14|2025-11-14|22:27|00000000|0|IN|1|C|2025-11-14|
1925|5700359|160|0|1|2025-11-26|14:13|2025-11-26|17:58|00000000|0|IN|1|C|2025-11-26|
3043|5003532|520|1|1|2025-11-14|13:42|2025-11-14|14:31|00000000|0|IN|1|C|2025-11-14|
1925|5100854|160|0|1|2025-11-21|15:35|2025-11-21|17:30|00000000|0|IN|1|C|2025-11-21|
1647|5016705|240|21|1|2025-11-12|11:23|2025-11-12|14:12|00000000|0|RT|2|C|2025-11-12|
3577|5102382|521|0|1|2025-11-19|19:30|2025-11-19|20:36|00000000|0|IN|1|C|2025-11-19|
1925|5700208|160|0|1|2025-11-15|10:54|2025-11-15|12:57|00000000|0|IN|1|C|2025-11-15|
1925|5001383|160|0|1|2025-11-03|09:53|2025-11-03|12:50|00000000|0|A1|1|C|2025-11-03|
3471|5600732|160|0|1|2025-11-26|10:28|2025-11-26|15:15|00000000|0|A1|1|C|2025-11-26|
3043|5603393|520|3|1|2025-11-03|11:21|2025-11-03|12:34|00000000|0|RT|2|C|2025-11-03|
1925|5700352|160|0|1|2025-11-26|13:37|2025-11-26|16:22|00000000|0|A1|1|C|2025-11-26|
3577|5102390|521|0|1|2025-11-19|19:30|2025-11-19|20:39|00000000|0|A1|1|C|2025-11-19|
1925|5001382|160|0|1|2025-11-03|09:53|2025-11-03|12:49|00000000|0|IN|1|C|2025-11-03|
3471|5600740|160|5|1|2025-11-26|07:48|2025-11-26|11:37|00000000|0|A1|1|C|2025-11-26|
1925|5700226|160|0|1|2025-11-14|15:29|2025-11-14|20:54|00000000|0|IN|1|C|2025-11-14|
3471|5600739|160|0|1|2025-11-26|07:48|2025-11-26|11:37|00000000|0|A1|1|C|2025-11-26|
3471|5600740|160|3|1|2025-11-26|10:28|2025-11-26|15:19|00000000|0|A1|1|C|2025-11-26|
