Patente|Pedimento|SeccionAduanera|ClaveCaso|IdentificadorCaso|TipoPedimento|ComplementoCaso|FechaValidacionPagoR
3471|6400253|160|PP|20239540|1||2026-01-22 17:27:05|
1647|6004627|240|ED|0428260GW7WL5|1||2026-01-30 19:58:02|
1925|6100028|160|ED|0436250MZ8X26|1||2026-01-22 17:03:05|
1647|6004627|240|ED|0428260GWJJP3|1||2026-01-30 19:58:02|
3471|6400215|160|ED|0436260ND51V8|1||2026-01-20 12:39:02|
1647|6004627|240|ED|0428260GW1XB7|1||2026-01-30 19:58:02|
3471|6400062|160|ED|0438261C6PVV1|1||2026-01-09 16:01:02|
3471|6400249|160|ED|0436260NEVMS1|1||2026-01-28 14:24:02|
3471|6400292|160|CR|40|1||2026-01-30 20:27:01|
3471|6400094|160|ED|0438261C9ZIH2|1||2026-01-15 08:44:02|
1647|6004627|240|ED|0428260GXFT53|1||2026-01-30 19:58:02|
3178|6000535|160|ED|0436260ND9KB1|1||2026-01-19 13:00:04|
1647|6004627|240|ED|0428260GWRPE8|1||2026-01-30 19:58:02|
3471|6400219|160|ED|01702618AV1R2|1||2026-01-20 12:40:05|
1647|6004627|240|ED|0428260GW1QN5|1||2026-01-30 19:58:02|
3043|6600118|520|PC||1||2026-01-19 18:30:04|
3471|6400253|160|IM|482023|1||2026-01-22 17:27:05|
1647|6004627|240|ED|0428260GW9Q67|1||2026-01-30 19:58:02|
3471|6400027|160|ED|0436260N8CPR1|1||2026-01-02 13:47:02|
1647|6004627|240|ED|0428260GX9KA4|1||2026-01-30 19:58:02|
1925|6100026|160|ED|0436260NC4311|1||2026-01-22 11:33:02|
1647|6004627|240|ED|0428260GWHTT6|1||2026-01-30 19:58:02|
3471|6400094|160|ED|017026185RF58|1||2026-01-15 08:44:02|
3043|6600188|520|ED|01702618LBC88|1||2026-01-31 13:50:02|
3471|6400325|160|ED|01702618PGII7|1||2026-01-30 10:05:05|
3471|6400094|160|PP|20239540|1||2026-01-15 08:44:02|
1647|6004627|240|ED|0428260GW0771|1||2026-01-30 19:58:02|
3471|6400215|160|ED|0436260ND5Y03|1||2026-01-20 12:39:02|
1647|6004627|240|ED|0428260GW1OL6|1||2026-01-30 19:58:02|
1925|6000047|160|PP|20239540|1||2026-01-22 14:05:04|
1925|6000113|160|ED|0436250MVK7Z3|1||2026-01-29 11:24:03|
1647|6004560|240|ED|0428260GUXC35|1||2026-01-23 16:17:10|
3043|6000076|523|CR|45|1||2026-01-08 14:19:02|
1647|6004627|240|ED|0428260GWX1L6|1||2026-01-30 19:58:02|
1614|6000514|160|SO|AA|1||2026-01-28 13:34:06|
1647|6004627|240|ED|0428260GW7YR5|1||2026-01-30 19:58:02|
3178|6000240|160|ED|01702618FFY15|1||2026-01-15 18:27:05|
1925|6000118|160|ED|01702618Q22W5|1||2026-01-29 11:23:02|
3471|6400129|160|ED|0436250N80OU3|1||2026-01-02 16:00:06|
3471|6400292|160|ED|0438261CI8305|1||2026-01-30 20:27:01|
1647|6004627|240|IM|482023|1||2026-01-30 19:58:02|
3471|6400253|160|ED|0436260NENWF1|1||2026-01-22 17:27:05|
1925|6000114|160|CR|40|1||2026-01-29 11:24:03|
3178|6000917|160|ED|01702618LOD46|1||2026-01-23 13:03:05|
1647|6004627|240|ED|0428260GW6G74|1||2026-01-30 19:58:02|
3178|6000150|160|ED|0436260NA5B85|1||2026-01-08 17:37:04|
1925|6000113|160|PP|20239540|1||2026-01-29 11:24:03|
3471|6400096|160|CR|241|1||2026-01-15 09:00:04|
3471|6400253|160|ED|0438261CHX6C4|1||2026-01-22 17:27:05|
1647|6004627|240|ED|0428260GW9N02|1||2026-01-30 19:58:02|
3471|6400026|160|ED|017026185QFP1|1||2026-01-02 17:51:03|
1647|6004627|240|ED|0428260GW4OX7|1||2026-01-30 19:58:02|
3471|6400096|160|ED|0438261CA6K56|1||2026-01-15 09:00:04|
1925|6000115|160|ED|0438261CN2RJ7|1||2026-01-29 11:23:04|
3471|6400253|160|ED|01702618FMFY6|1||2026-01-22 17:27:05|
3471|6400381|160|ED|01702618PUYV7|1||2026-01-30 09:49:05|
1647|6006708|240|ED|01702618R4NZ8|1||2026-01-30 21:12:02|
1925|6100041|160|PP|20239540|1||2026-01-24 12:36:03|
1647|6004627|240|ED|0428260GWLRW1|1||2026-01-30 19:58:02|
3471|6400215|160|ED|0436260ND5237|1||2026-01-20 12:39:02|
3043|6600188|520|ED|01702618LBC97|1||2026-01-31 13:50:02|
3178|6000154|160|ED|0436260NADAA7|1||2026-01-09 12:32:04|
1925|6000113|160|ED|0436250N783I6|1||2026-01-29 11:24:03|
1925|6700025|160|ED|0438251BYD341|2||2026-01-13 10:52:07|
1925|6700025|160|PP|20239540|2||2026-01-13 10:52:07|
1925|6000113|160|ED|0436250MVK586|1||2026-01-29 11:24:03|
3471|6400164|160|PD|6|1|1|2026-01-05 12:38:08|
1647|6004627|240|ED|0428260GXAVF7|1||2026-01-30 19:58:02|
1925|6100037|160|ED|01702618MCNY6|1||2026-01-24 12:30:02|
1925|6000109|160|ED|0436250N2PK08|1||2026-01-29 11:24:04|
3178|6000156|160|ED|0438261C77XY3|1||2026-01-08 18:45:03|
1647|6004627|240|ED|0428260GXG0U6|1||2026-01-30 19:58:02|
3043|6600188|520|ED|01702618K9QR8|1||2026-01-31 13:50:02|
1647|6004560|240|ED|0428260GUQ0L1|1||2026-01-23 16:17:10|
3043|6600189|520|RC|1-14|1||2026-01-31 13:51:01|
3471|6400215|160|ED|0436260ND51D6|1||2026-01-20 12:39:02|
1647|6004627|240|ED|0428260GWX1E2|1||2026-01-30 19:58:02|
1614|6000084|160|PP|20239540|1||2026-01-20 11:18:03|
1925|6000111|160|ED|0436250MVK7Z3|1||2026-01-29 11:24:04|
3471|6400207|160|PP|20239540|1||2026-01-17 11:39:02|
3471|6400096|160|ED|0436260N9UZF1|1||2026-01-15 09:00:04|
3043|6600188|520|ED|01702618K9QP1|1||2026-01-31 13:50:02|
3471|6400232|160|ED|01702618AWHU4|1||2026-01-28 15:10:03|
1647|6004627|240|ED|0428260GW9T64|1||2026-01-30 19:58:02|
1925|6100026|160|ED|0436250MVK6H4|1||2026-01-22 11:33:02|
3043|6600188|520|AT||1||2026-01-31 13:50:02|
3471|6400158|160|IM|482023|1||2026-01-08 17:22:06|
3043|6600188|520|ED|01702618LBC77|1||2026-01-31 13:50:02|
3471|6400249|160|ED|0436260NEVWQ5|1||2026-01-28 14:24:02|
1647|6004560|240|ED|0428260GVA6L8|1||2026-01-23 16:17:10|
1647|6004627|240|ED|0428260GX40P1|1||2026-01-30 19:58:02|
1925|6100026|160|ED|0428250E9O9N6|1||2026-01-22 11:33:02|
1647|6004627|240|ED|0428260GWKGC2|1||2026-01-30 19:58:02|
3471|6400162|160|ED|01922616WKMO1|1||2026-01-28 14:30:03|
3043|6600188|520|ED|01702618K9QL3|1||2026-01-31 13:50:02|
3471|6400103|160|ED|0438261CA3R44|1||2026-01-14 11:40:04|
3178|6000871|160|IM|482023|1||2026-01-22 14:02:03|
1925|6000115|160|ED|0436250MVK814|1||2026-01-29 11:23:04|
3178|6000520|160|IM|482023|1||2026-01-13 22:28:01|
1647|6004627|240|ED|0428260GW9LY5|1||2026-01-30 19:58:02|
1614|6000073|160|ED|0438251C2QTT1|1||2026-01-08 09:59:00|
1925|6000109|160|ED|0436260NC43I3|1||2026-01-29 11:24:04|
1614|6000515|160|CR|40|1||2026-01-28 13:35:02|
3043|6600189|520|ST|22|1||2026-01-31 13:51:01|
3043|6600189|520|PC||1||2026-01-31 13:51:01|
3577|6300022|521|ED|01922616GCKM7|1||2026-01-06 11:18:00|
