Patente|Pedimento|SeccionAduanera|SecuenciaObservacion|Observaciones|TipoPedimento|FechaValidacionPagoR
3178|6000917|160|2|3.1.8., SE ANEXA LOS SIGUIENTES DOCUMENTOS ELECTRONICOS:|1|2026-01-23 13:03:05|
3471|6400103|160|2|-CONOCIMIENTO DE EMBARQUE|1|2026-01-14 11:40:04|
1614|6000071|160|1|DE CONFORMIDAD CON LOS ART.36 Y 36A FRACCION I DE LA LEY ADUANERA EN VIGOR Y REGLA 3.1.8.DE LASR.G.C.E.|1|2026-01-07 20:03:02|
1614|6000072|160|3|COMERCIAL, REGLAS OCTAVAS POR PARTE DE SERETARIA DE ECONOMIA Y LISTA DE EMPAQUE.|1|2026-01-07 20:04:00|
1925|6000120|160|7|DEL REGLAMENTO DELA LEY ADUANERA, SIENDO ESTA LA 12VA. SUBDIVISION DE 12 SUBDIVISIONES, TENIENDO RELACIÓN CON|1|2026-01-29 11:23:04|
3178|6000534|160|5|*LISTA DE EMPAQUE|1|2026-01-15 16:40:06|
3471|6000246|160|6|PROPORCIONADOS POR EL CLIENTE.|1|2026-01-28 12:50:05|
3178|6000232|160|3|ANEXOS:|1|2026-01-15 22:15:01|
3471|6400025|160|14|PROPORCIONADOS POR EL CLIENTE.|1|2026-01-02 17:50:08|
3471|6400243|160|12|COMERCIAL, SIENDO ESTA LA SEGUNDA Y ULTIMA OPERACION DE LA QUE SE IMPORTA UN VALOR DE 361.2 USD, LA PRESENTE OPERACION S|1|2026-01-22 15:02:02|
3471|6400017|160|8|CONOCIMIENTO DE EMBARQUE, SIENDO ESTA LA OCTAVA OPERACION DE LA QUE SE IMPORTAN 5 BULTOS, CON UN|1|2026-01-08 11:16:03|
1925|6100038|160|8|SIENDO ESTA LA 9NA. SUBDIVISION DE 12 SUBDIVISIONES, TENIENDO RELACIÓN CON LOSPEDIMENTOS: 6100030, 6100031, 6100032,|1|2026-01-24 13:04:01|
3471|6400017|160|17|PROPORCIONADOS POR EL CLIENTE.|1|2026-01-08 11:16:03|
3178|6000235|160|2|3.1.8., SE ANEXA LOS SIGUIENTES DOCUMENTOS ELECTRONICOS:|1|2026-01-15 20:38:02|
3471|6400099|160|7|CONOCIMIENTO DE EMBARQUE SIENDO ESTA LA SEXTA OPERACION DE LA QUE SE IMPORTAN 2 BULTOS CON|1|2026-01-15 09:13:01|
1925|6100103|160|8|ESTA LA 1RA. SUBDIVISION DE 8 SUBDIVISIONES, TENIENDO RELACIÓN CON LOSPEDIMENTOS: 610022, 610023, 610024, 610025,|2|2026-01-22 18:55:02|
3471|6400448|160|17|Clave Contribucion Importe      F.P. Importe      F.P. A Pagar   A Favor|2|2026-01-31 10:44:02|
1614|6000091|160|7|500.00 KILOGRAMOS Y DEL CONTENEDOR TIIU6529594 1 BULTO CON PESO DE 1,200.00 KILOGRAMOS, SIENDO ESTA LA|1|2026-01-19 17:38:04|
3178|6000535|160|17|1931R825050424|1|2026-01-19 13:00:04|
3178|6000235|160|5|*LISTA DE EMPAQUE.|1|2026-01-15 20:38:02|
1614|6001098|160|6|SUBDIVIDE EL CONOCIMIENTO MARITIMO REVALIDADO, SE LIBERAN DEL CONTENEDOR EISU8546111 LA CANTIDAD DE 1|2|2026-01-28 16:24:01|
3471|6400165|160|5|EL CONTENEDOR: DFOU5005025 SE DESPACHA SIN NUMERO DE SELLO|1|2026-01-08 16:37:01|
1925|6100022|160|2|DE CONFORMIDAD CON EL ARTICULO 36, 36-A DE LA LEY ADUANERA EN VIGOR Y ASI COMO LO DISPUESTO EN LAS REGLAS DE CARACTER|1|2026-01-22 16:58:03|
3178|6000515|160|8|IMERA OPERACION, QUEDANDO PENDIENTE UN DESPACHO 178 BULTOS, CON UN PESO BRUTO DE 110,411.563 KGS.|1|2026-01-13 21:53:00|
3471|6400096|160|1|DE CONFORMIDAD CON EL ARTICULO 36, 36-A, FRACCION I DE LA LEY ADUANERA EN VIGOR, SE ANEXAN:|1|2026-01-15 09:00:04|
3471|6400219|160|9|EL CLIENTE.|1|2026-01-20 12:40:05|
3577|6300069|521|2|RELACIONA CON PEDIMENTO 26 52 3577 6300039|1|2026-01-15 13:55:01|
1925|6100032|160|6|NUMEROS DE SELLOS: EMCWUR2194 Y EMCWVJ1994 OPERACION DE LA QUE SE IMPORTAN 43 BULTOS, CON UN PESO DE 22,028.00 KGSEL|1|2026-01-24 12:13:01|
3471|6400166|160|4|-REGLA SEGUNDA|1|2026-01-07 14:52:01|
3178|6000231|160|4|*FACTURA: 25CFTT406510-A1,25CFTT406510-2-A1|1|2026-01-15 20:38:01|
3471|6400184|160|1|DE CONFORMIDAD CON EL ARTICULO 36, 36-A, FRACCION I DE LA LEY ADUANERA EN VIGOR, SE ANEXAN:|1|2026-01-07 15:07:03|
1614|6000514|160|8|BULTOS CON PESO DE 9,924.00 KILOGRAMOS, SIENDO ESTA LA SEGUNDA Y ULTIMA OPERACION QUE SE REALIZA PARA|1|2026-01-28 13:34:06|
1925|6000051|160|3|EN MATERIA DE COMERCIO EXTERIOR 1.9.18 EN VIGOR.-CONOCIMIENTO MARITIMO REVALIDADO-CARTA|1|2026-01-22 14:05:05|
3471|6400070|160|8|3471 6400062,26 16 3471 6400063,26 16 3471 6400064,26 16 3471 6400065,26 16 3471 6400066,26 16 3471 6400067,26 16 3471 6|1|2026-01-09 09:46:02|
3471|6400086|160|5|EL CONTENEDOR: TRHU7265130 SE DESPACHA CON NUMERO DE SELLO: EMCWUR0624|1|2026-01-08 17:14:04|
1614|6000069|160|6|SUBDIVIDE EL CONOCIMIENTO MARITIMO REVALIDADO, SE LIBERA DEL CONTENEDOR TRHU7133410, 1 BULTO CON PESO DE|1|2026-01-07 20:03:00|
3471|6400216|160|11|DE CONFORMIDAD CON EL ARTICULO 65 DEL REGLAMENTO DE LA LEY ADUANERA VIGENTE, SE SUBDIVIDE LA FACTURA COMERCIAL, SIENDO E|1|2026-01-20 12:39:01|
3471|6400070|160|6|CONOCIMIENTO DE EMBARQUE, SIENDO ESTA LA SEXTA OPERACION DE LA QUE SE IMPORTAN 2  BULTOS, CON UN|1|2026-01-09 09:46:02|
1925|6000044|160|3|EN MATERIA DE COMERCIO EXTERIOR 1.9.18 EN VIGOR.-CONOCIMIENTO MARITIMO REVALIDADO-CARTA 3.1.8-FACTURAOPERACION DE|1|2026-01-22 14:06:01|
3471|6400220|160|1|DE CONFORMIDAD CON EL ARTICULO 36, 36-A, FRACCION I DE LA LEY ADUANERA EN VIGOR, SE ANEXAN:|1|2026-01-20 12:40:04|
3471|6400065|160|11|COMERCIAL, SIENDO ESTA LA PRIMERA OPERACION DE LA QUE SE IMPORTA UN VALOR DE 26517.53 USD.|1|2026-01-08 17:13:05|
1925|6100106|160|1|SE PRESENTA COMPROBANTE DE VALOR ELECTRONICO CON LOS DATOS CONTENIDOS EN FACTURA COMERCIAL CUMPLIENDO CON LOS REQUISITOS|2|2026-01-22 18:58:04|
3471|6400011|160|6|EL CONTENEDOR: EGSU9903014 SE DESPACHA CON NUMERO DE SELLO: EMCWUQ5584|1|2026-01-08 11:16:03|
3471|6400243|160|8|PRESENTE OPERACION SE RELACIONA CON LOS PEDIMENTOS 26 16 3471 6400234,26 16 3471 6400235,26 16 3471 6400236, 26 16 3471|1|2026-01-22 15:02:02|
3471|6400080|160|11|COMERCIAL, SIENDO ESTA LA SEGUNDA Y ULTIMA OPERACION DE LA QUE SE IMPORTA UN VALOR DE 342.12 USD,NO QUEDANDO SALDO PENDI|1|2026-01-08 16:17:05|
1614|6000088|160|2|R.G.C.E.PARA 2026, SE DIGITALIZA LA SIGUIENTE DOCUMENTACION: CONOCIMIENTO MARITIMO REVALIDADO, FACTURA|1|2026-01-19 17:37:05|
3471|6400165|160|7|OPERACION DE CONFORMIDAD CON EL ARTICULO 54 DE LA LEY ADUANERA EN VIGOR, CON DOCUMENTOS E INFORMACION|1|2026-01-08 16:37:01|
1925|6000119|160|8|SUBDIVISIONES, TENIENDO RELACIÓN CON LOSPEDIMENTOS 6000109,6000110,6000111,6000112,6000113,6000114,6000115,6000116,|1|2026-01-29 11:46:00|
3178|6000865|160|9|MARITIMO, SIENDO ESTA LA SEGUNDA OPERACION, QUEDANDO PENDIENTE UN DESPACHO 120 BULTOS, CON UN PESO|1|2026-01-22 17:22:03|
3471|6400004|160|1|DE CONFORMIDAD CON EL ARTICULO 36, 36-A, FRACCION I DE LA LEY ADUANERA EN VIGOR, SE ANEXAN:|1|2026-01-08 11:02:04|
1614|6000070|160|10|LA PRESENTE OPERACION SE REALIZA DE CONFORMIDAD CON EL ART. 108 DE LA LEY ADUANERA VIGENTE AL AMPARO DEL|1|2026-01-07 20:03:02|
3471|6400015|160|10|3471 6400011, 25 16 3471 6400012,25 16 3471 6400013, 25 16 3471 6400014, 25 16 3471 6400016, 25 16|1|2026-01-09 18:05:07|
3178|6000561|160|12|IMPORTACION TEMPORAL DE CONFORMIDAD CON EL ART. 108 DE LA LEY ADUANERA EN VIGOR AL AMPARO DEL|1|2026-01-22 17:22:04|
3178|6000147|160|7|DE CONFORMIDAD CON EL ART. 65 DEL REGLAMENTO DE LA LEY ADUANERA SE SUBDIVIDE EL CONOCIMIENTO MARITIMO, SIENDO ESTA LA SE|1|2026-01-08 16:23:03|
3178|6000909|160|9|OPERACION BAJO EL AMPARO DEL PROGRAMA PROSEC NO. 2023-9540|1|2026-01-23 18:25:01|
3471|6400020|160|7|CONOCIMIENTO DE EMBARQUE, SIENDO ESTA LA SEGUNDA OPERACION DE LA QUE SE IMPORTAN 4 BULTOS, CON UN|1|2026-01-02 19:42:02|
3471|6400012|160|15|COMERCIAL 25CFTT406514-3, SIENDO ESTA LA PRIMERA OPERACION DE LA QUE SE IMPORTA UN VALOR DE 76,007.42 USD.|1|2026-01-08 16:38:09|
3471|6400232|160|4|-REGLA SEGUNDA|1|2026-01-28 15:10:03|
3471|6400078|160|9|UN PESO DE 2,137.2 KG, LA PRESENTE OPERACION SE RELACIONA CON EL PEDIMENTO 26 16 3471 6400077 DE FECHA 08 DE ENERO DE 20|1|2026-01-08 16:17:04|
3577|6300042|521|1|SEGUNDA Y ULTIMA SUBDIVISION DE GUIA 3448476415 SALE 1 BULTO DE 696.4KG, SE RELACIONA CON PEDIMENTO 26 52 3577 6300060,|1|2026-01-23 16:53:01|
3178|6000236|160|2|UIENTES DOCUMENTOS ELECTRONICOS:|1|2026-01-16 19:17:03|
3178|6000518|160|5|*LISTA DE EMPAQUE.|1|2026-01-13 22:28:02|
3471|6400087|160|11|DE CONFORMIDAD CON EL ARTICULO 65 DEL REGLAMENTO DE LA LEY ADUANERA VIGENTE, SE SUBDIVIDE LA FACTURA|1|2026-01-08 15:45:02|
