Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SubdivisionFraccion|DescripcionMercancia|PrecioUnitario|ValorAduana|ValorComercial|ValorDolares|CantidadUMComercial|UnidadMedidaComercial|CantidadUMTarifa|UnidadMedidaTarifa|ValorAgregado|ClaveVinculacion|MetodoValorizacion|CodigoMercanciaProducto|MarcaMercanciaProducto|ModeloMercanciaProducto|PaisOrigenDestino|PaisCompradorVendedor|EntidadFedOrigen|EntidadFedDestino|EntidadFedComprador|EntidadFedVendedor|TipoOperacion|ClaveDocumento|FechaPagoReal
3471|6400061|160|85044099|31|00|RECTIFICADOR DE CORRIENTE|348.80000|1744|1744|97.55|5.000|6|5.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
1925|6700024|160|87082999|134|99|PLACA DE SOPORTE PARA LOS PIES|10.01042|961|961|52.80|96.000|6|96.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-13 10:50:03|
3043|6000115|523|73269099|1|99|PLATAFORMA MOVIL (RACK)  DE ACERO PARA EL TRANSPORTE DE MERCANCIA CON ACCESORIOS PARA SU FUNCIONAMIENTO SIN ENSAMBLAR|2.57143|18|18|1.00|7.000|6|15262.87000|1||1|6||INNOVATIVE LOGISTICS|MP9219|USA|CHN| | | | |1|IN|2026-01-21 12:11:01|
3471|6400249|160|98020019|180|00|PARTES PARA AUTO|6.86250|549|549|31.20|80.000|6|1.60000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:02|
3471|6400061|160|98020019|129|00|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.35735|243|243|13.60|680.000|6|13.60000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
3471|6400247|160|98020019|67|00|PERNO|0.70375|1126|1126|64.00|1600.000|6|32.00000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-26 11:44:04|
1614|6000508|160|87089999|40|99|TUBOS PREFORMADOS PARA REFRIGERANTE|115.27500|13833|13833|786.00|120.000|6|120.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:34:05|
3043|6000076|523|56090002|1|99|BANDA DE SEGURIDAD DE MATERIAL TEXTIL|375.48214|42054|42054|2352.00|112.000|6|41.74000|1||1|6||||CHN|CHN| | | | |1|A1|2026-01-08 14:19:02|
3471|6400070|160|73269099|2|99|EMBALAJE METALICO|1069.00000|2138|2138|119.56|2.000|6|100.00000|1||1|6||||CHN|CHN| | | | |1|A1|2026-01-09 09:46:02|
3471|6400249|160|98020019|181|00|PARTE PARA ASIENTO|26.57500|2126|2126|120.80|80.000|6|1.60000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:02|
3577|6300120|521|87082999|52|99|PARTE PARA CARROCERIA|23.00000|460|460|25.76|20.000|6|20.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-26 14:38:00|
3471|6400069|160|98020019|26|00|TUERCA|1.25128|976|976|54.60|780.000|6|15.60000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 11:58:02|
1614|6000516|160|85071099|3|00|BATERIA DE PLOMO ACIDO DE GEL|648.17500|77781|77781|4419.60|120.000|6|120.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:35:03|
1614|6000518|160|87089999|9|99|TUBERIA PREFORMADA|16.90000|676|676|38.40|40.000|6|40.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:35:05|
3178|6000516|160|87082999|91|99|PARTE PARA CARROCERIA|8.76000|1752|1752|98.00|200.000|6|200.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-13 21:54:01|
3471|6400014|160|98020019|297|00|ABRAZADERA DE ACERO|3.04167|438|438|24.48|144.000|6|2.88000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
3178|6000154|160|87089999|141|99|TUBERIA PERFORMADA PARA AUTOMOVIL|44.99306|6479|6479|361.44|144.000|6|144.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 12:32:04|
1925|6700024|160|98020019|82|00|PERNOS ROSCADOS DE USO AUTOMOTRIZ|4.91453|1150|1150|63.18|234.000|6|115.29000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-13 10:50:03|
3577|6300109|521|98020019|7|00|TORNILLO DE USO AUTOMOTRIZ|0.53450|5345|5345|300.00|10000.000|6|130.00000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-27 11:03:01|
1614|6000518|160|98020019|74|00|ABRAZADERA DE ACERO|4.22500|1014|1014|57.60|240.000|6|1.44000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:35:05|
3471|6400014|160|87089999|156|99|TUBERIA PREFORMADA|48.27778|3476|3476|194.40|72.000|6|72.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:05:09|
3471|6400247|160|83023091|10|00|HERRAJE PARA VEHICULO|1.40750|1126|1126|64.00|800.000|6|16.00000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-26 11:44:04|
3471|6400249|160|87082999|137|99|PARTE DE CARROCERIA|15.31250|1225|1225|69.60|80.000|6|80.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:02|
3471|6400072|160|87089999|72|99|CUBIERTA DE ESQUINA DE VIGA LATERAL TRASERA IZQUIERDA|8.27500|331|331|18.40|40.000|6|40.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 18:35:07|
3178|6000154|160|84253101|95|00|CABRESTANTE|1271.93750|20351|20351|1135.36|16.000|6|16.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 12:32:04|
1614|6000518|160|87089999|185|99|TUBOS PREFORMADOS PARA REFRIGERANTE|21.65000|2598|2598|147.60|120.000|6|120.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:35:05|
3471|6400247|160|98020019|57|00|PARTES PARA AUTO|1.76000|704|704|40.00|400.000|6|8.00000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-26 11:44:04|
3471|6400067|160|87082999|39|99|PARTE PARA CARROCERIA|197.75000|3955|3955|221.20|20.000|6|20.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 09:45:04|
1614|6000508|160|98020019|58|00|TORNILLO DE ACERO DE USO AUTOMOTRIZ|0.52708|253|253|14.40|480.000|6|8.16000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 13:34:05|
3471|6400249|160|87082999|118|99|PARTE DE LA CARROCERIA PARA VEHICULOS AUTOMOTORES|20.76563|6645|6645|377.60|320.000|6|320.00000|6||1|6||||CHN|CHN| | | | |1|IN|2026-01-28 14:24:02|
1925|6700024|160|39263002|38|99|GUARNICION PARA CARROCERIA DE PLASTICO|48.97917|2351|2351|129.12|48.000|6|79.43000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-13 10:50:03|
3471|6400061|160|39269099|10|06|EMPAQUE|2.68235|456|456|25.50|170.000|6|3.40000|1||1|6||||CHN|CHN| | | | |1|IN|2026-01-09 16:01:03|
