Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClavePermiso|FirmaDescargo|NumeroPermiso|ValorComercialDolares|CantidadMUMTarifa|FechaPagoReal
1925|6100040|160|98020019|57|C1||1931R825050547|76.80|960.00000|2026-01-24 12:58:04|
3471|6400249|160|98020019|239|C1||1931R825050385|1.60|160.00000|2026-01-28 14:24:02|
1925|6100109|160|98020019|13|C1||1931R825050575|43.52|272.00000|2026-01-22 19:03:01|
1925|6100040|160|98020019|73|C1||1931R825050424|9.60|960.00000|2026-01-24 12:58:04|
3471|6400002|160|98020019|145|C1||1931R825051346|6.00|200.00000|2026-01-08 15:17:03|
3471|6400081|160|98020019|149|C1||1931R825050616|72.96|384.00000|2026-01-08 15:44:02|
3471|6400146|160|98020019|197|C1||1931R825050385|70.40|640.00000|2026-01-03 00:54:01|
1925|6100022|160|98020019|164|C1||1931R825051346|5.44|68.00000|2026-01-22 16:58:03|
3471|6400249|160|98020019|260|C1||1931R825050547|1.60|160.00000|2026-01-28 14:24:02|
3471|6400146|160|98020019|143|C1||1931R825050575|25.20|360.00000|2026-01-03 00:54:01|
3471|6400146|160|98020019|148|C1||1931R825050575|32.00|320.00000|2026-01-03 00:54:01|
1925|6100022|160|98020019|60|C1||1931R825053462|1.36|68.00000|2026-01-22 16:58:03|
1614|6000084|160|98020019|81|C1||1931R826001628|68.40|120.00000|2026-01-20 11:18:03|
3471|6400148|160|98020019|135|C1||1931R825050423|135.16|2.00000|2026-01-02 17:08:05|
1925|6100107|160|98020019|209|C1||1931R826001628|54.40|68.00000|2026-01-22 19:00:05|
1614|6000084|160|98020019|86|C1||1931R826001628|220.80|120.00000|2026-01-20 11:18:03|
1925|6000119|160|98020019|87|C1||1931R825050575|30.00|600.00000|2026-01-29 11:46:00|
3471|6400249|160|98020019|223|C1||1931R825050575|22.40|160.00000|2026-01-28 14:24:02|
1925|6100109|160|98020019|67|C1||1931R826001628|165.92|136.00000|2026-01-22 19:03:01|
1925|6000049|160|98020019|80|C1||1931R825050612|2.40|240.00000|2026-01-22 14:05:05|
3178|6000954|160|98020019|197|C1||1931R825050575|9.60|320.00000|2026-01-24 13:42:01|
1925|6700024|160|98020019|62|C1||1931R825050612|38.40|192.00000|2026-01-13 10:50:03|
3471|6400146|160|98020019|179|C1||1931R825053462|3.20|160.00000|2026-01-03 00:54:01|
3471|6400240|160|98020019|8|C1||1931R826001314|31.20|1560.00000|2026-01-26 09:17:02|
3471|6400100|160|98020019|202|C1||1931R825050385|44.00|400.00000|2026-01-15 09:26:01|
3471|6400061|160|98020019|211|C1||1931R825050575|13.60|340.00000|2026-01-09 16:01:03|
3471|6400081|160|98020019|125|C1||1931R825050385|11.52|1152.00000|2026-01-08 15:44:02|
3471|6400236|160|98020019|152|C1||1931R825050424|26.40|240.00000|2026-01-22 15:02:01|
1925|6000043|160|98020019|134|C1||1931R825050493|146.70|30.00000|2026-01-22 14:06:03|
3178|6000561|160|98020019|133|C1||1931R825050385|2.88|288.00000|2026-01-22 17:22:04|
1925|6100107|160|98020019|153|C1||1931R826001628|38.08|272.00000|2026-01-22 19:00:05|
1614|6000072|160|98020019|208|C1||1931R825051346|15.84|44.00000|2026-01-07 20:04:00|
3471|6400050|160|98020019|118|C1||1931R825050423|18286.56|272.00000|2026-01-07 17:58:03|
3577|6300042|521|98020019|100|C1||1931R826000899|1.35|1.00000|2026-01-23 16:53:01|
1614|6000082|160|98020019|66|C1||1931R825050424|4.80|480.00000|2026-01-20 11:18:02|
1614|6000090|160|98020019|269|C1||1931R825050575|5.76|288.00000|2026-01-19 17:38:06|
1925|6100022|160|98020019|64|C1||1931R825050424|4.08|408.00000|2026-01-22 16:58:03|
3471|6400008|160|98020019|99|C1||1931R825050575|126.00|4200.00000|2026-01-08 15:45:04|
3471|6400061|160|98020019|180|C1||1931R825050608|54.00|150.00000|2026-01-09 16:01:03|
3471|6400249|160|98020019|266|C1||1931R825051346|5.60|80.00000|2026-01-28 14:24:02|
3178|6000561|160|98020019|142|C1||1931R825050550|34.56|144.00000|2026-01-22 17:22:04|
3178|6000841|160|98020019|82|C1||1931R825051346|3.60|72.00000|2026-01-22 13:43:05|
3471|6400174|160|98020019|218|C1||1931R825051346|1.36|136.00000|2026-01-16 10:44:03|
1925|6700025|160|98020019|44|C1||1931R825050575|23.04|1152.00000|2026-01-13 10:52:07|
1614|6000088|160|98020019|172|C1||1931R825038867|3670.56|144.00000|2026-01-19 17:37:05|
1925|6100038|160|98020019|106|C1||1931R825050547|3.20|320.00000|2026-01-24 13:04:01|
3471|6400014|160|98020019|194|C1||1931R825050575|86.40|2880.00000|2026-01-09 18:05:09|
1925|6100040|160|98020019|9|C1||1931R825050575|12.80|640.00000|2026-01-24 12:58:04|
3471|6400185|160|98020019|131|C1||1931R825050385|20.00|200.00000|2026-01-20 18:24:04|
3178|6000518|160|98020019|26|C1||1931R825050575|37.50|250.00000|2026-01-13 22:28:02|
3471|6400027|160|98020019|31|C1||1931R825050575|11.60|232.00000|2026-01-02 13:47:02|
3471|6400185|160|98020019|137|C1||1931R825050385|13.00|100.00000|2026-01-20 18:24:04|
1614|6000518|160|98020019|196|C1||1931R825050530|86.40|480.00000|2026-01-28 13:35:05|
3471|6400174|160|98020019|178|C1||1931R825050575|2.72|272.00000|2026-01-16 10:44:03|
3471|6400146|160|98020019|215|C1||1931R825051346|8.00|160.00000|2026-01-03 00:54:01|
