Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveCaso|IdentificadorCaso|ComplementoCaso|FechaPagoReal
3471|6400240|160|98020019|142|EC|1||2026-01-26 09:17:02|
3178|6000954|160|98020019|293|EC|1||2026-01-24 13:42:01|
3471|6400240|160|39269099|14|XP|S1|U|2026-01-26 09:17:02|
1925|6100040|160|39211991|242|EC|1||2026-01-24 12:58:04|
3471|6400178|160|98020019|159|EC|1||2026-01-16 10:11:03|
1614|6000090|160|39269099|64|XP|S1|U|2026-01-19 17:38:06|
3471|6400178|160|87082999|60|PS|XIX||2026-01-16 10:11:03|
3471|6400240|160|98020019|176|EC|1||2026-01-26 09:17:02|
3471|6400247|160|73181504|8|EN|X|NOM-050-SCFI-2004|2026-01-26 11:44:04|
1905|6006286|160|98020019|21|EC|1||2026-01-15 18:02:18|
3471|6400185|160|87084099|91|PS|XIX||2026-01-20 18:24:04|
3471|6400178|160|85269299|37|PS|XIX||2026-01-16 10:11:03|
3471|6400240|160|98020019|141|EC|1||2026-01-26 09:17:02|
1925|6100034|160|39269099|119|XP|A1|U|2026-01-24 12:24:04|
1925|6100034|160|87082999|22|PS|XIX||2026-01-24 12:24:04|
1925|6100034|160|87082999|51|PS|XIX||2026-01-24 12:24:04|
1925|6100034|160|87082999|53|PS|XIX||2026-01-24 12:24:04|
1925|6100033|160|73269099|3|XP|T1|U|2026-01-24 12:24:02|
3471|6400240|160|98020019|124|EC|1||2026-01-26 09:17:02|
3471|6400247|160|98020019|31|EC|1||2026-01-26 11:44:04|
3471|6400102|160|98020019|128|EC|1||2026-01-14 11:08:04|
1614|6000090|160|87088007|141|PS|XIX||2026-01-19 17:38:06|
3471|6400176|160|87082999|63|PS|XIX||2026-01-16 10:44:01|
3178|6000954|160|87082999|112|PS|XIX||2026-01-24 13:42:01|
1925|6100032|160|85122099|44|EN|X|NOM-024-SCFI-2013|2026-01-24 12:13:01|
3471|6400100|160|87089999|132|EN|X|NOM-050-SCFI-2004|2026-01-15 09:26:01|
1614|6000087|160|73269099|2|XP|T9|U|2026-01-19 17:37:01|
3471|6400174|160|87082999|57|PS|XIX||2026-01-16 10:44:03|
3471|6400240|160|98020019|154|EC|1||2026-01-26 09:17:02|
3471|6400240|160|39269099|13|EN|U|NOM-002-CONAGUA-2021|2026-01-26 09:17:02|
1925|6100040|160|39269099|244|XP|S3|U|2026-01-24 12:58:04|
1925|6100034|160|84833004|113|EN|X|NOM-050-SCFI-2004|2026-01-24 12:24:04|
1925|6100036|160|87088007|63|EN|X|NOM-050-SCFI-2004|2026-01-24 12:28:02|
3471|6400247|160|98020019|55|EC|1||2026-01-26 11:44:04|
1925|6100034|160|87089999|41|EN|X|NOM-050-SCFI-2004|2026-01-24 12:24:04|
3178|6000954|160|87082999|47|PS|XIX||2026-01-24 13:42:01|
3471|6400176|160|87089999|88|EN|X|NOM-050-SCFI-2004|2026-01-16 10:44:01|
1614|6000080|160|87082999|28|PS|XIX||2026-01-20 11:17:06|
3471|6400100|160|87089203|114|EN|X|NOM-050-SCFI-2004|2026-01-15 09:26:01|
3577|6300120|521|87082999|53|PS|XIX||2026-01-26 14:38:00|
3471|6400240|160|87089999|94|EN|X|NOM-050-SCFI-2004|2026-01-26 09:17:02|
3178|6000237|160|87082201|30|PS|XIX||2026-01-16 20:15:01|
3178|6000535|160|98020019|98|EC|1||2026-01-19 13:00:04|
3471|6400100|160|87089999|127|EN|X|NOM-050-SCFI-2004|2026-01-15 09:26:01|
3178|6000954|160|87089203|88|EN|X|NOM-050-SCFI-2004|2026-01-24 13:42:01|
3471|6400240|160|98020019|159|EC|1||2026-01-26 09:17:02|
3471|6400247|160|98020019|43|EC|1||2026-01-26 11:44:04|
1925|6100041|160|73181599|10|EC|1||2026-01-24 12:36:03|
1925|6100036|160|87082999|103|PS|XIX||2026-01-24 12:28:02|
3178|6000971|160|73269099|4|XP|T3|U|2026-01-24 12:02:13|
3471|6400240|160|98020019|112|EC|1||2026-01-26 09:17:02|
1925|6100038|160|40169901|45|PS|XIX||2026-01-24 13:04:01|
3178|6000534|160|73269099|2|XP|T1|U|2026-01-15 16:40:06|
3471|6400124|160|73269099|25|XP|T3|U|2026-01-19 15:06:02|
3471|6400099|160|73269099|2|XP|T3|U|2026-01-15 09:13:01|
1925|6100041|160|73269099|3|XP|T9|U|2026-01-24 12:36:03|
1925|6100040|160|39269099|188|EN|X|NOM-050-SCFI-2004|2026-01-24 12:58:04|
3471|6400178|160|39269099|7|XP|S1|U|2026-01-16 10:11:03|
3178|6000535|160|87089999|114|EN|X|NOM-050-SCFI-2004|2026-01-19 13:00:04|
3471|6400102|160|39269099|16|XP|S1|U|2026-01-14 11:08:04|
3577|6300120|521|87082999|50|PS|XIX||2026-01-26 14:38:00|
3471|6400247|160|98020019|59|EC|1||2026-01-26 11:44:04|
3471|6400247|160|98020019|39|EC|1||2026-01-26 11:44:04|
3577|6300120|521|87082999|23|PS|XIX||2026-01-26 14:38:00|
3471|6400240|160|98020019|149|EC|1||2026-01-26 09:17:02|
3178|6000971|160|73269099|1|XP|T3|U|2026-01-24 12:02:13|
3471|6400240|160|87089412|87|EN|X|NOM-050-SCFI-2004|2026-01-26 09:17:02|
3178|6000954|160|87082999|93|PS|XIX||2026-01-24 13:42:01|
3178|6000314|160|73269099|4|XP|T3|U|2026-01-15 18:27:04|
3471|6400185|160|73182102|14|EN|X|NOM-050-SCFI-2004|2026-01-20 18:24:04|
