Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|FormaPago|ImportePago|FechaPagoReal
3471|6400102|160|98020019|138|3|0|64|2026-01-14 11:08:04|
3471|6400100|160|39269099|16|3|0|636|2026-01-15 09:26:01|
1614|6000082|160|39191001|128|3|0|7|2026-01-20 11:18:02|
3471|6400217|160|39191001|5|3|0|74|2026-01-19 18:01:03|
3178|6000518|160|98020019|180|3|0|17|2026-01-13 22:28:02|
3471|6400029|160|40169304|32|3|0|76|2026-01-02 16:54:02|
3178|6000230|160|40169999|61|3|0|620|2026-01-16 08:31:01|
3471|6400061|160|87082999|80|3|0|92|2026-01-09 16:01:03|
3178|6000520|160|87082999|24|3|0|35|2026-01-13 22:28:01|
1614|6000078|160|87089999|13|3|0|393|2026-01-20 11:17:04|
3471|6400105|160|73269099|4|3|0|756|2026-01-05 14:54:04|
3178|6000154|160|98020019|116|3|0|17|2026-01-09 12:32:04|
3178|6000535|160|39269099|77|3|0|56|2026-01-19 13:00:04|
3471|6400213|160|98020019|5|3|0|1266|2026-01-20 16:17:03|
3471|6400178|160|94019999|113|6|0|183|2026-01-16 10:11:03|
3471|6400014|160|98020019|284|3|0|17|2026-01-09 18:05:09|
3471|6400014|160|98020019|268|3|0|4|2026-01-09 18:05:09|
3471|6400100|160|87082901|64|3|0|236|2026-01-15 09:26:01|
3471|6400185|160|73182291|15|3|0|371|2026-01-20 18:24:04|
3471|6400217|160|84123199|47|3|0|1076|2026-01-19 18:01:03|
3178|6000154|160|87089999|68|3|0|475|2026-01-09 12:32:04|
3471|6400146|160|87082999|64|3|0|689|2026-01-03 00:54:01|
3471|6400217|160|98020019|196|3|0|3|2026-01-19 18:01:03|
3577|6300031|521|98020019|30|3|0|19|2026-01-09 11:36:01|
3178|6000154|160|85371099|172|3|0|17884|2026-01-09 12:32:04|
1614|6000082|160|98020019|193|3|0|14|2026-01-20 11:18:02|
1614|6000070|160|98020019|46|3|0|34|2026-01-07 20:03:02|
3178|6000154|160|83100099|112|3|0|58|2026-01-09 12:32:04|
3471|6400217|160|40091102|23|3|0|76|2026-01-19 18:01:03|
3471|6400174|160|98020019|205|3|0|189|2026-01-16 10:44:03|
3471|6400185|160|98020019|107|3|0|158|2026-01-20 18:24:04|
3471|6400014|160|98020019|240|3|0|25|2026-01-09 18:05:09|
3471|6400069|160|87089999|13|3|0|29|2026-01-09 11:58:02|
3471|6400185|160|98020019|139|3|0|86|2026-01-20 18:24:04|
1614|6000092|160|94019999|45|6|0|196|2026-01-19 17:38:06|
3471|6400101|160|63079099|1|6|0|562|2026-01-15 09:13:03|
3471|6400072|160|87089999|80|3|0|856|2026-01-09 18:35:07|
3471|6400146|160|87089999|112|3|0|842|2026-01-03 00:54:01|
1614|6000088|160|87082999|94|3|0|757|2026-01-19 17:37:05|
3471|6400061|160|87082999|52|3|0|206|2026-01-09 16:01:03|
1925|6700024|160|87082999|103|3|0|58|2026-01-13 10:50:03|
1614|6000082|160|98020019|249|3|0|403|2026-01-20 11:18:02|
3471|6400029|160|87089412|141|3|0|4260|2026-01-02 16:54:02|
3178|6000518|160|39174001|140|6|0|116|2026-01-13 22:28:02|
3471|6400211|160|87082999|40|3|0|1371|2026-01-17 11:17:03|
3471|6400178|160|94019999|125|6|0|73|2026-01-16 10:11:03|
3471|6400178|160|98020019|169|3|0|126|2026-01-16 10:11:03|
3471|6400102|160|98020019|157|3|0|6|2026-01-14 11:08:04|
3471|6400014|160|98020019|192|3|0|54|2026-01-09 18:05:09|
1614|6000084|160|87089999|59|3|0|645|2026-01-20 11:18:03|
3471|6400176|160|94019999|98|3|0|10|2026-01-16 10:44:01|
1614|6000090|160|87088005|214|3|0|331|2026-01-19 17:38:06|
1925|6700024|160|87082999|125|3|0|256|2026-01-13 10:50:03|
3471|6400146|160|98020019|144|3|0|23|2026-01-03 00:54:01|
1614|6000082|160|84152001|43|3|0|816|2026-01-20 11:18:02|
3178|6000516|160|87082999|8|3|0|225|2026-01-13 21:54:01|
3471|6400062|160|73269099|4|6|0|151|2026-01-09 16:01:02|
3178|6000232|160|87082999|19|3|0|66|2026-01-15 22:15:01|
3471|6400146|160|98020019|188|3|0|7|2026-01-03 00:54:01|
3471|6400067|160|98020019|79|3|0|1199|2026-01-09 09:45:04|
1614|6000090|160|98020019|246|3|0|25|2026-01-19 17:38:06|
3577|6300041|521|87089999|7|3|0|30|2026-01-19 18:30:01|
3178|6000238|160|73269099|3|6|0|489|2026-01-15 18:27:05|
3471|6400014|160|87082999|72|3|0|141|2026-01-09 18:05:09|
3471|6400102|160|87089203|85|3|0|342|2026-01-14 11:08:04|
3471|6400178|160|94019999|133|6|0|280|2026-01-16 10:11:03|
3178|6000239|160|87082919|82|3|0|17040|2026-01-17 12:44:03|
1614|6000084|160|98020019|53|3|0|124|2026-01-20 11:18:03|
3471|6400067|160|40169901|9|3|0|29|2026-01-09 09:45:04|
3471|6400029|160|98020019|213|3|0|166|2026-01-02 16:54:02|
1614|6000082|160|87082999|83|3|0|610|2026-01-20 11:18:02|
1925|6700024|160|39269099|51|3|0|19|2026-01-13 10:50:03|
3178|6000154|160|98020019|5|3|0|316|2026-01-09 12:32:04|
1614|6000082|160|87089999|125|3|0|164|2026-01-20 11:18:02|
3471|6400146|160|98020019|151|3|0|259|2026-01-03 00:54:01|
3178|6000518|160|85365099|116|3|0|539|2026-01-13 22:28:02|
3178|6000236|160|70091099|50|3|0|1087|2026-01-16 19:17:03|
1614|6000078|160|87082999|32|3|0|379|2026-01-20 11:17:04|
3178|6000314|160|73269099|4|3|0|320|2026-01-15 18:27:04|
3471|6400102|160|84213199|33|3|0|658|2026-01-14 11:08:04|
3471|6400014|160|39269099|12|3|0|40|2026-01-09 18:05:09|
3471|6400209|160|87082999|32|3|0|2059|2026-01-17 11:17:02|
3471|6400094|160|87089999|64|3|0|278|2026-01-15 08:44:02|
3178|6000236|160|87082999|53|3|0|311|2026-01-16 19:17:03|
1925|6700024|160|87082999|154|3|0|308|2026-01-13 10:50:03|
3178|6000148|160|98020019|171|3|0|387|2026-01-08 17:08:02|
3471|6400217|160|87088007|100|3|0|3690|2026-01-19 18:01:03|
3471|6400061|160|98020019|207|3|0|20|2026-01-09 16:01:03|
1925|6700025|160|87082999|10|3|0|164|2026-01-13 10:52:07|
1614|6000082|160|98020019|234|3|0|7|2026-01-20 11:18:02|
3471|6400156|160|94019999|8|6|0|8892|2026-01-08 17:21:04|
3178|6000516|160|87087099|77|3|0|35383|2026-01-13 21:54:01|
3178|6000539|160|87089412|42|3|0|2584|2026-01-16 17:25:05|
1614|6000084|160|70091099|33|3|0|436|2026-01-20 11:18:03|
3471|6400178|160|94019999|109|3|0|279|2026-01-16 10:11:03|
3471|6400014|160|98020019|243|3|0|4|2026-01-09 18:05:09|
3471|6400067|160|98020019|72|3|0|5|2026-01-09 09:45:04|
3471|6400211|160|87082999|32|3|0|169|2026-01-17 11:17:03|
3471|6400215|160|40093106|24|3|0|156|2026-01-20 12:39:02|
3178|6000230|160|87082999|71|3|0|53|2026-01-16 08:31:01|
1925|6700024|160|87082999|56|3|0|1195|2026-01-13 10:50:03|
3471|6400173|160|85168004|21|3|0|406|2026-01-07 15:07:03|
1614|6000088|160|85122099|102|3|0|1574|2026-01-19 17:37:05|
3471|6400061|160|98020019|143|3|0|15|2026-01-09 16:01:03|
1925|6700025|160|87082999|32|3|0|1618|2026-01-13 10:52:07|
3178|6000230|160|98020019|143|3|0|23|2026-01-16 08:31:01|
3471|6400050|160|87089999|98|3|0|47|2026-01-07 17:58:03|
3471|6400014|160|98020019|250|3|0|25|2026-01-09 18:05:09|
1614|6000082|160|98020019|209|3|0|7|2026-01-20 11:18:02|
3471|6400182|160|87082101|32|3|0|5071|2026-01-16 11:23:05|
1614|6000082|160|87089999|137|3|0|204|2026-01-20 11:18:02|
3178|6000518|160|39173999|108|3|0|86|2026-01-13 22:28:02|
3471|6400014|160|87089999|175|3|0|1354|2026-01-09 18:05:09|
3178|6000236|160|85182202|90|3|0|2467|2026-01-16 19:17:03|
3471|6400211|160|87082999|35|3|0|241|2026-01-17 11:17:03|
1614|6000084|160|87089199|90|3|0|3548|2026-01-20 11:18:03|
1925|6700024|160|40169901|41|3|0|23|2026-01-13 10:50:03|
3471|6400146|160|85122002|39|3|0|775|2026-01-03 00:54:01|
3471|6400174|160|85443099|45|6|0|292|2026-01-16 10:44:03|
3471|6400061|160|87082999|79|3|0|96|2026-01-09 16:01:03|
3471|6400203|160|63079099|1|6|0|186|2026-01-09 12:45:04|
3471|6400219|160|87089999|30|3|0|7|2026-01-20 12:40:05|
1614|6000072|160|98020019|118|3|0|53|2026-01-07 20:04:00|
3471|6400067|160|98020019|69|3|0|15|2026-01-09 09:45:04|
3178|6000539|160|87082999|82|3|0|1398|2026-01-16 17:25:05|
3471|6400094|160|87088007|56|3|0|1489|2026-01-15 08:44:02|
3178|6000237|160|84253101|65|3|0|13096|2026-01-16 20:15:01|
3471|6400067|160|87082101|30|3|0|3027|2026-01-09 09:45:04|
3471|6400014|160|98020019|283|3|0|5908|2026-01-09 18:05:09|
1614|6000082|160|87089412|27|3|0|8202|2026-01-20 11:18:02|
3178|6000231|160|73269099|4|3|0|16|2026-01-15 20:38:01|
3178|6000539|160|98020019|46|3|0|311|2026-01-16 17:25:05|
1925|6700024|160|39269099|4|3|0|6|2026-01-13 10:50:03|
3471|6400008|160|39269099|11|6|0|257|2026-01-08 15:45:04|
3471|6400217|160|87082999|72|3|0|66|2026-01-19 18:01:03|
3471|6400061|160|98020019|135|3|0|29|2026-01-09 16:01:03|
3178|6000154|160|98020019|36|3|0|8|2026-01-09 12:32:04|
3178|6000239|160|85122099|207|3|0|373|2026-01-17 12:44:03|
1614|6000072|160|39263002|62|3|0|186|2026-01-07 20:04:00|
3471|6400014|160|98020019|245|3|0|100|2026-01-09 18:05:09|
3471|6400217|160|39269099|19|6|0|37|2026-01-19 18:01:03|
3471|6400207|160|98020019|5|3|0|5776|2026-01-17 11:39:02|
1614|6000082|160|40169304|51|6|0|75|2026-01-20 11:18:02|
3178|6000518|160|85122002|199|3|0|241|2026-01-13 22:28:02|
3471|6400014|160|87082999|111|3|0|199|2026-01-09 18:05:09|
1614|6000082|160|98020019|79|3|0|13447|2026-01-20 11:18:02|
3471|6400094|160|84152001|20|3|0|6586|2026-01-15 08:44:02|
1614|6000092|160|87089203|5|3|0|6105|2026-01-19 17:38:06|
1925|6700024|160|87082999|108|3|0|158|2026-01-13 10:50:03|
3471|6400008|160|98020019|123|3|0|6|2026-01-08 15:45:04|
3471|6400180|160|87082999|68|3|0|98|2026-01-16 10:11:02|
3471|6400069|160|87089412|12|3|0|823|2026-01-09 11:58:02|
3178|6000154|160|98020019|134|3|0|21223|2026-01-09 12:32:04|
3471|6400180|160|87082999|56|3|0|342|2026-01-16 10:11:02|
1614|6000072|160|87089999|22|3|0|77|2026-01-07 20:04:00|
1925|6700025|160|39269099|39|3|0|124|2026-01-13 10:52:07|
1614|6000080|160|87082999|19|3|0|755|2026-01-20 11:17:06|
3471|6400094|160|90262003|68|3|0|55|2026-01-15 08:44:02|
1614|6000078|160|40169999|12|3|0|124|2026-01-20 11:17:04|
3471|6400014|160|98020019|264|3|0|299|2026-01-09 18:05:09|
3471|6400014|160|98020019|252|3|0|517|2026-01-09 18:05:09|
1614|6000082|160|98020019|182|3|0|35|2026-01-20 11:18:02|
3471|6400176|160|40093106|14|3|0|495|2026-01-16 10:44:01|
3178|6000239|160|85122002|157|3|0|965|2026-01-17 12:44:03|
3471|6400067|160|87082999|37|3|0|461|2026-01-09 09:45:04|
3471|6400006|160|87082999|40|3|0|375|2026-01-08 14:49:01|
1614|6000082|160|98020019|68|3|0|621|2026-01-20 11:18:02|
3178|6000154|160|87088005|136|3|0|802|2026-01-09 12:32:04|
3178|6000154|160|87083099|154|3|0|129|2026-01-09 12:32:04|
1614|6000088|160|98020019|58|3|0|87|2026-01-19 17:37:05|
3471|6400016|160|87082999|39|3|0|365|2026-01-08 11:16:04|
3471|6400067|160|39269099|4|6|0|11|2026-01-09 09:45:04|
3471|6400213|160|87088099|55|3|0|1631|2026-01-20 16:17:03|
3471|6400207|160|87082999|25|3|0|183|2026-01-17 11:39:02|
1614|6000082|160|98020019|206|3|0|17|2026-01-20 11:18:02|
3178|6000518|160|87089999|194|3|0|1113|2026-01-13 22:28:02|
3471|6400069|160|87088005|9|3|0|8207|2026-01-09 11:58:02|
1614|6000082|160|98020019|185|3|0|303|2026-01-20 11:18:02|
3178|6000237|160|85371006|66|3|0|4545|2026-01-16 20:15:01|
1614|6000087|160|73269099|3|6|0|488|2026-01-19 17:37:01|
3178|6000518|160|98020019|167|3|0|623|2026-01-13 22:28:02|
3471|6400173|160|84213999|7|3|0|176|2026-01-07 15:07:03|
3471|6400180|160|87082999|36|3|0|7876|2026-01-16 10:11:02|
3178|6000154|160|98020019|156|3|0|25|2026-01-09 12:32:04|
1925|6700024|160|87082999|106|3|0|164|2026-01-13 10:50:03|
3471|6400178|160|94019999|122|3|0|230|2026-01-16 10:11:03|
3471|6400081|160|87082999|84|3|0|711|2026-01-08 15:44:02|
3471|6400015|160|73181599|2|6|0|10|2026-01-09 18:05:07|
1614|6000082|160|98020019|205|3|0|676|2026-01-20 11:18:02|
3471|6400182|160|87089999|88|3|0|1779|2026-01-16 11:23:05|
1614|6000082|160|40169999|101|3|0|745|2026-01-20 11:18:02|
3178|6000518|160|87089203|186|3|0|418|2026-01-13 22:28:02|
1925|6700024|160|70091099|31|3|0|1123|2026-01-13 10:50:03|
1614|6000082|160|83023091|133|3|0|247|2026-01-20 11:18:02|
3471|6400098|160|87082999|56|3|0|3173|2026-01-15 09:13:02|
1614|6000080|160|87082999|11|3|0|393|2026-01-20 11:17:06|
3471|6400014|160|85444299|53|3|0|2863|2026-01-09 18:05:09|
3471|6400027|160|87088099|22|3|0|9357|2026-01-02 13:47:02|
3178|6000535|160|98020019|39|3|0|6|2026-01-19 13:00:04|
3471|6400102|160|39191001|4|3|0|6|2026-01-14 11:08:04|
3178|6000154|160|82060001|124|3|0|1145|2026-01-09 12:32:04|
3471|6400094|160|98020019|81|3|0|377|2026-01-15 08:44:02|
3178|6000148|160|98020019|18|3|0|1037|2026-01-08 17:08:02|
1925|6700024|160|87088007|53|3|0|319|2026-01-13 10:50:03|
1614|6000082|160|87088005|153|3|0|402|2026-01-20 11:18:02|
3471|6400182|160|84253101|15|3|0|13116|2026-01-16 11:23:05|
1614|6000082|160|98020019|201|3|0|14|2026-01-20 11:18:02|
3471|6400067|160|40169304|8|3|0|95|2026-01-09 09:45:04|
3471|6400072|160|87082999|18|3|0|75|2026-01-09 18:35:07|
1614|6000082|160|98020019|237|3|0|3|2026-01-20 11:18:02|
3178|6000237|160|87082201|18|3|0|88|2026-01-16 20:15:01|
1614|6000082|160|83100099|129|3|0|52|2026-01-20 11:18:02|
3471|6400014|160|40093106|17|3|0|181|2026-01-09 18:05:09|
1614|6000072|160|87088007|36|3|0|1622|2026-01-07 20:04:00|
3178|6000535|160|39269099|43|6|0|38|2026-01-19 13:00:04|
3178|6000154|160|84833004|93|3|0|150|2026-01-09 12:32:04|
3471|6400014|160|98020019|233|3|0|320|2026-01-09 18:05:09|
1614|6000090|160|87082999|217|3|0|149|2026-01-19 17:38:06|
1614|6000072|160|40169304|92|6|0|55|2026-01-07 20:04:00|
3471|6400069|160|40093106|1|3|0|588|2026-01-09 11:58:02|
1614|6000082|160|98020019|177|3|0|21|2026-01-20 11:18:02|
1614|6000084|160|87082999|94|3|0|179|2026-01-20 11:18:03|
1614|6000082|160|98020019|181|3|0|97|2026-01-20 11:18:02|
3178|6000518|160|87082919|218|3|0|21411|2026-01-13 22:28:02|
3178|6000154|160|98020019|38|3|0|17|2026-01-09 12:32:04|
3471|6400182|160|40093106|10|3|0|751|2026-01-16 11:23:05|
1614|6000088|160|98020019|165|3|0|4|2026-01-19 17:37:05|
1614|6000727|160|73269099|1|3|0|198|2026-01-20 18:31:03|
3178|6000516|160|87082999|40|3|0|1079|2026-01-13 21:54:01|
3471|6400021|160|84073304|1|3|0|200233|2026-01-02 11:46:03|
3471|6400211|160|87082999|20|3|0|4798|2026-01-17 11:17:03|
3178|6000154|160|85365099|100|3|0|1744|2026-01-09 12:32:04|
3471|6400061|160|98020019|166|3|0|10|2026-01-09 16:01:03|
1614|6000082|160|87082999|105|3|0|345|2026-01-20 11:18:02|
3471|6400083|160|87083099|45|3|0|86|2026-01-08 17:14:05|
1925|6700024|160|40169304|5|3|0|82|2026-01-13 10:50:03|
3178|6000239|160|87082999|75|3|0|3838|2026-01-17 12:44:03|
3178|6000239|160|85371099|88|3|0|2030|2026-01-17 12:44:03|
3178|6000237|160|87088099|53|3|0|1358|2026-01-16 20:15:01|
3178|6000154|160|87089203|73|3|0|937|2026-01-09 12:32:04|
3178|6000154|160|98020019|81|3|0|150|2026-01-09 12:32:04|
3178|6000237|160|87082999|13|3|0|484|2026-01-16 20:15:01|
1614|6000088|160|98020019|137|3|0|12|2026-01-19 17:37:05|
1614|6000078|160|87082999|30|3|0|2786|2026-01-20 11:17:04|
3178|6000517|160|73181599|5|3|0|19|2026-01-13 21:54:01|
3178|6000148|160|87082999|114|3|0|416|2026-01-08 17:08:02|
1614|6000082|160|87082999|7|3|0|290|2026-01-20 11:18:02|
3471|6400102|160|98020019|124|3|0|130|2026-01-14 11:08:04|
3471|6400072|160|87089999|59|3|0|1180|2026-01-09 18:35:07|
1614|6000090|160|94012001|150|3|0|14|2026-01-19 17:38:06|
3178|6000156|160|87082999|12|3|0|100|2026-01-08 18:45:03|
3178|6000520|160|87082999|20|3|0|346|2026-01-13 22:28:01|
1614|6000090|160|84253101|31|3|0|13050|2026-01-19 17:38:06|
1614|6000090|160|98020019|107|3|0|29|2026-01-19 17:38:06|
3471|6400178|160|87082999|69|3|0|2276|2026-01-16 10:11:03|
3178|6000154|160|87089412|85|3|0|539|2026-01-09 12:32:04|
3471|6400072|160|87089999|74|3|0|151|2026-01-09 18:35:07|
1614|6000094|160|87082999|175|3|0|116|2026-01-19 17:38:08|
3178|6000237|160|39263002|69|3|0|1664|2026-01-16 20:15:01|
1614|6000094|160|87082999|42|3|0|288|2026-01-19 17:38:08|
3178|6000154|160|98020019|44|3|0|816|2026-01-09 12:32:04|
1614|6000070|160|87089999|16|3|0|112|2026-01-07 20:03:02|
3471|6400217|160|87089999|116|3|0|106|2026-01-19 18:01:03|
3471|6400014|160|98020019|297|3|0|71|2026-01-09 18:05:09|
3471|6400061|160|87082999|84|3|0|583|2026-01-09 16:01:03|
3471|6400209|160|87082999|36|3|0|2670|2026-01-17 11:17:02|
3471|6400010|160|87088007|67|3|0|2654|2026-01-08 11:27:03|
3178|6000516|160|87082999|25|3|0|173|2026-01-13 21:54:01|
3178|6000535|160|87082201|166|3|0|20550|2026-01-19 13:00:04|
1614|6000088|160|85122002|101|6|0|2686|2026-01-19 17:37:05|
1614|6000094|160|98020019|195|3|0|149|2026-01-19 17:38:08|
3178|6000154|160|98020019|121|3|0|208|2026-01-09 12:32:04|
3178|6000154|160|98020019|13|3|0|25|2026-01-09 12:32:04|
