Patente|Pedimento|SeccionAduanera|ClaveDocumento|FechaPago|PedimentoAnterior|PatenteAnterior|SeccionAduaneraAnterior|DocumentoAnterior|FechaOperacionAnterior|PedimentoOriginal|PatenteAduanalOrig|SeccionAduaneraDespOrig|FechaPagoReal
1614|6000727|160|A1|2026-01-20|6000081|1614|160|A1|2026-01-20|0|0| |2026-01-20 18:31:03|
1925|6100105|160|IN|2026-01-22|6610024|1925|160|IN|2026-01-22|0|0| |2026-01-22 18:57:02|
1925|6700025|160|IN|2026-01-13|5700489|1925|160|IN|2025-12-23|0|0| |2026-01-13 10:52:07|
3897|6600372|240|T3|2026-01-12|5613024|3897|240|T3|2025-12-31|0|0| |2026-01-12 12:16:02|
1925|6100104|160|A1|2026-01-22|6100023|1925|160|A1|2026-01-22|0|0| |2026-01-22 18:56:01|
1614|6001099|160|A1|2026-01-28|6000515|1614|160|A1|2026-01-28|0|0| |2026-01-28 16:34:05|
1925|6100103|160|IN|2026-01-22|6100022|1925|160|IN|2026-01-22|0|0| |2026-01-22 18:55:02|
1614|6001098|160|A1|2026-01-28|6000507|1614|160|A1|2026-01-28|0|0| |2026-01-28 16:24:01|
3471|6400160|160|IN|2026-01-03|5601206|3471|160|IN|2025-12-31|0|0| |2026-01-03 12:28:01|
1925|6100108|160|A1|2026-01-22|6100027|1925|160|A1|2026-01-22|0|0| |2026-01-22 19:01:03|
1925|6100109|160|IN|2026-01-22|6100028|1925|160|IN|2026-01-22|0|0| |2026-01-22 19:03:01|
1614|6001100|160|IN|2026-01-28|6000516|1614|160|IN|2026-01-28|0|0| |2026-01-28 16:48:06|
3897|6600501|240|T3|2026-01-15|6600372|3897|240|T3|2026-01-12|0|0| |2026-01-15 14:30:04|
3471|6400448|160|IN|2026-01-31|5601125|3471|160|IN|2025-12-31|0|0| |2026-01-31 10:44:02|
1925|6100107|160|IN|2026-01-22|6100026|1925|160|IN|2026-01-22|0|0| |2026-01-22 19:00:05|
1925|6100106|160|A1|2026-01-22|6100025|1925|160|A1|2026-01-22|0|0| |2026-01-22 18:58:04|
1925|6700024|160|IN|2026-01-13|5700487|1925|160|IN|2025-12-24|0|0| |2026-01-13 10:50:03|
1925|6100610|160|A1|2026-01-22|6100029|1925|160|A1|2026-01-22|0|0| |2026-01-22 19:04:01|
