CFP ORDER,CFC ORDER,Issue,CFP Contract No.,CFC Contract No.,Invoice No.,Model,Color,Qty,Truck,Product No.,Destination,EPA,PRODUCTION DATE,LOADING DATE,ETD,ETA to door,TRAILER No.,CARRIER,Remarks,,,,
"2025
Nov.Order
PO251101",,,CFM-25MX-CFM402938C-14,25MX-CFM402938C,CFM-25CFTT406468-14,CM1000UZ-8L,Nebula Black,8,1*53'Truck,U26BZABBMUSE0,Kansas,49 STATES,2026/2/13,2026-03-02,2026-03-02,2026-03-14,,,10252311,2026-02-13,0,,
,,,CFM-25MX-CFM402938C-15,25MX-CFM402938C,CFM-25CFTT406468-15,CM1000UZ-8L,Nebula Black,8,1*53'Truck,U26BZABBMUSE0,Kansas,49 STATES,2026/2/13,2026-03-02,2026-03-02,2026-03-14,,,10252312,2026-02-13,0,,
,,,CFM-25MX-CFM402938C-16,25MX-CFM402938C,CFM-25CFTT406468-16,CM1000UZ-8L,Nebula Black,8,1*53'Truck,U26BZABBMUSE0,Kansas,49 STATES,2026/2/13,2026-03-02,2026-03-02,2026-03-14,,,10252313,2026-02-13,0,,
,,,CFM-25MX-CFM402938C-17,25MX-CFM402938C,CFM-25CFTT406468-17,CM1000UZ-8L,Nebula Black,8,1*53'Truck,U26BZABBMUSE0,Kansas,49 STATES,2026/2/13,2026-03-02,2026-03-02,2026-03-14,,,10252314,2026-02-13,0,,
,,,CFM-25MX-CFM402945C-12,25MX-CFM402945C,CFM-25CFTT406476-12,CM1000UZ-8L,TT Kanati,8,1*53'Truck,U26BZABK1USE0,Kansas,49 STATES,2026/2/12,2026-03-02,2026-03-02,2026-03-14,,,10252363,2026-02-12,0,,
,,,CFM-25MX-CFM402945C-14,25MX-CFM402945C,CFM-25CFTT406476-14,CM1000UZ-8L,TT Kanati,8,1*53'Truck,U26BZABK1USE0,Kansas,49 STATES,2026/2/12,2026-03-02,2026-03-02,2026-03-14,,,10252365,2026-02-12,0,,
,,,CFM-25MX-CFM402945C-15,25MX-CFM402945C,CFM-25CFTT406476-15,CM1000UZ-8L,TT Kanati,8,1*53'Truck,U26BZABK1USE0,Kansas,49 STATES,2026/2/12,2026-03-02,2026-03-02,2026-03-14,,,10252366,2026-02-12,0,,
,,,CFM-25MX-CFM402945C-16,25MX-CFM402945C,CFM-25CFTT406476-16,CM1000UZ-8L,TT Kanati,8,1*53'Truck,U26BZABK1USE0,Kansas,49 STATES,2026/2/12,2026-03-02,2026-03-02,2026-03-14,,,10252367,2026-02-12,0,,
,,,CFM-26PIM-170122,26PIM-170122,CFM-25CFTT176696,CM1000SZ-3L,Magma Red,8,1*53'Truck,Z26AVA5RMUSE0,Kansas,49 STATES,2026/1/23,2026-03-03,2026-03-03,2026-03-15,,,10253826,2026-01-23,0,,
,,,CFM-26PIM-170122-1,26PIM-170122-1,CFM-25CFTT176696-1,CM1000SZ-3L,Granite Ridge,8,1*53'Truck,Z26AVA5BQUSE0,Kansas,49 STATES,2026/1/23,2026-03-03,2026-03-03,2026-03-15,,,10253827,2026-01-23,0,,
