INVOICE NO,DATE,ITEM,MODEL,PART NO,ENGLISH NAME,SPANISH DESCRIPTION,HTS,PROSEC,RB,QTY,UM,NETWEIGHT,UNIT PRICE,TOTAL AMOUNT,REGIMEN
25CFTT179202-6,"Apr-12th,2026",1,CM1000UZ-8LK,0NYV-111000-3000,AIR FILTER INLET PIPE ASSY,TUBERIA PREFORMADA,8708999999,,,108,PZA,1.1260,6.4500,696.60,IN
25CFTT179202-6,"Apr-12th,2026",2,CM1000UZ-8LK,0NYV-113000-3000,AIR FILTER EXHAUST PIPE ASSY,TUBERIA PREFORMADA,8708999999,,,108,PZA,0.7200,4.6100,497.88,IN
25CFTT179202-6,"Apr-12th,2026",3,CM1000UZ-8LK,5ASV-132000-6000-23,Seat Buffer,BASE DE GOMA,4016999907,,,216,PZA,1.0000,0.0400,8.64,IN
25CFTT179202-6,"Apr-12th,2026",4,CM1000UZ-8LK,5HYV-002009-6001,INTAKE CAVITY,TUBERIA PREFORMADA,8708999999,,,108,PZA,0.5510,2.7500,297.00,IN
25CFTT179202-6,"Apr-12th,2026",5,CM1000UZ-8LK,5HYV-002012-6001,CVT FRONT INTAKE PIPE CONNECTOR,TUBERIA PREFORMADA,8708999999,,,108,PZA,0.1840,0.9700,104.76,IN
25CFTT179202-6,"Apr-12th,2026",6,CM1000UZ-8LK,5HYV-002013-6001,CVT FRONT INTAKE PIPE,TUBERIA PREFORMADA,8708999999,,,108,PZA,0.3700,1.8900,204.12,IN
25CFTT179202-6,"Apr-12th,2026",7,CM1000UZ-8LK,5HYV-043062-6000,DRIVER SEAT LH LOWER FENDER,GUARDABARROS,8708290100,,,108,PZA,0.5670,1.6500,178.20,IN
25CFTT179202-6,"Apr-12th,2026",8,CM1000UZ-8LK,5HYV-132000-4500-20,100x150 Waterproofing Bag,BOLSA DE PLASTICO,3923299101,,,216,PZA,0.0120,0.1600,34.56,A1
25CFTT179202-6,"Apr-12th,2026",9,CM1000UZ-8LK,5HYV-134000-4500-23,M6x13 Hexagon Socket Column Head Cap Screw,TORNILLO DE ACERO DE USO AUTOMOTRIZ,7318150400,Ex.,,108,PZA,0.0020,0.0100,1.08,IN
25CFTT179202-6,"Apr-12th,2026",10,CM1000UZ-8LK,5HYV-134100-6001,Mid-Seat Installation Bracket,HERRAJE PARA VEHICULO,8302309100,Ex.,,108,PZA,0.3600,0.4600,49.68,IN
25CFTT179202-6,"Apr-12th,2026",11,CM1000UZ-8LK,5HYV-135000-4500-20,100x100 Waterproofing Bag,BOLSA DE PLASTICO,3923299101,,,432,PZA,0.0100,0.1600,69.12,A1
25CFTT179202-6,"Apr-12th,2026",12,CM1000UZ-8LK,5HYV-135000-4500-26,5HYV Annular Buffer Rubber Pad,GOMA ANTIVIBRACI0N,4016999907,,,1080,PZA,0.0020,0.1000,108.00,IN
25CFTT179202-6,"Apr-12th,2026",13,CM1000UZ-8LK,5HYV-135000-4500-27,Buffer Rubber Pad 35x15,GOMA ANTIVIBRACI0N,4016999907,,,540,PZA,0.0010,0.1400,75.60,IN
25CFTT179202-6,"Apr-12th,2026",14,CM1000UZ-8LK,5HYV-135000-4500-28,M6x16 Hexagon Socket Column Head Cap Screw,TORNILLO DE ACERO DE USO AUTOMOTRIZ,7318150400,Ex.,,432,PZA,0.0020,0.0100,4.32,IN
25CFTT179202-6,"Apr-12th,2026",15,CM1000UZ-8LK,5HYV-151000-6000,REGULATOR,RECTIFCADOR DE CORRIENTE,8504409900,Ex.,,16,PZA,0.9540,19.7400,315.84,IN
25CFTT179202-6,"Apr-12th,2026",16,CM1000UZ-8LK,5HYV-160116-6000,RH HIGH-BEAM,REFLECTOR DE USO AUTOMOTRIZ,3926300299,Ex.,,96,PZA,0.3000,12.2300,1174.08,IN
25CFTT179202-6,"Apr-12th,2026",17,CM1000UZ-8LK,5HYV-184030-6000,ENGINE EXPANSION BOX,DEPOSITO,8708999999,,,108,PZA,0.3940,3.2000,345.60,IN
25CFTT179202-6,"Apr-12th,2026",18,CM1000UZ-8LK,5HYV-222080-4100,HUDRAULIC LIFT,GATO HIDRAHULICO,8425429900,,,96,PZA,5.8720,139.9800,13438.08,IN
25CFTT179202-6,"Apr-12th,2026",19,CM1000UZ-8LK,5HYV-450150-6000,FRONT LH SUSPENSION ASSY,PARTE DE LA SUSPENSION,8708800500,,,48,PZA,0.6530,5.2300,251.04,IN
25CFTT179202-6,"Apr-12th,2026",20,CM1000UZ-8LK,5SYV-081000-8003,HYDRAULIC BRAKE ASSY,SISTEMA PARA FRENO HIDRAULICO,8708309901,,,30,PZA,12.9200,147.3500,4420.50,IN
25CFTT179202-6,"Apr-12th,2026",21,CM1000UZ-8LK,5SYV-132100-8000-20-H1,Front Installation Bracket,HERRAJE PARA VEHICULO,8302309100,Ex.,,216,PZA,1.0000,0.1000,21.60,IN
