expo,modelo,pesoNetoUnitarioKg,pesoBrutoUnitarioKg,pesoNetoUnitarioLb,pesoBrutoUnitarioLb,volumenUnitario,valorUsdUnitario,ValAcero,Peso unit Net / Gross Acero,objetoImpuestoSat,unidadMedidaSat,usoCfdiSat,claveProductoSat,fraccionArancelaria,HTSUS,unidadAduana,cantidadAduana,puAduana,clavePedimento,incoterm,materialPeligroso,claveMaterialPeligroso,tipoDeMateria,mid,testGroupNameNo
U26BZABRTUSEH,1000CC UTV CM1000UZ-8LK,1126,1126,2482.40212,2482.40212,12,10110,440,585,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX.998U1Y
U26BZABBMUSEH,1000CC UTV CM1000UZ-8LK,1126,1126,2482.40212,2482.40212,12,10110,440,585,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX.998U1Y
U26BZABK1USEH,1000CC UTV CM1000UZ-8LK,1126,1126,2482.40212,2482.40212,12,10110,440,585,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX.998U1Y
U26ALA1BMUSE0,1000CC UTV CM1000UZ,710,869,1565.2802,1915.81478,8.67,7081.8,372,563,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX0.96U2Y
U26ALA1ETUSE0,1000CC UTV CM1000UZ,710,869,1565.2802,1915.81478,8.67,7081.8,372,563,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX0.96U2Y
U26ALA1K1USE0,1000CC UTV CM1000UZ,710,869,1565.2802,1915.81478,8.67,7081.8,372,563,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX0.96U2Y
U26AMA1BMUSE0,1000CC UTV CM1000UZ-2,835,835,1840.8577,1840.8577,7.54,7326,345,471,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX0.96U3Y
U26AMA1ETUSE0,1000CC UTV CM1000UZ-2,835,835,1840.8577,1840.8577,7.54,7326,345,471,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX0.96U3Y
U26AMA1K1USE0,1000CC UTV CM1000UZ-2,835,835,1840.8577,1840.8577,7.54,7326,345,471,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX0.96U3Y
Z26AUA5BMUSE0,1000CC UTV CM1000SZ-3A,660,831.8,1455.0492,1833.802916,8.63,7171.27,368,535,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX0.96S3Y
Z26AUA5RMUSE0,1000CC UTV CM1000SZ-3A,660,831.8,1455.0492,1833.802916,8.63,7171.27,368,535,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX0.96S3Y
Z26AUA5BQUSE0,1000CC UTV CM1000SZ-3A,660,831.8,1455.0492,1833.802916,8.63,7171.27,368,535,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX0.96S3Y
Z26AVA5BMUSE0,1000CC UTV CM1000SZ-3L,784.3,784.3,1729.083466,1729.083466,7.11,7391.27,341,443,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX0.96S4Y
Z26AVA5RMUSE0,1000CC UTV CM1000SZ-3L,784.3,784.3,1729.083466,1729.083466,7.11,7391.27,341,443,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX0.96S4Y
Z26AVA5BQUSE0,1000CC UTV CM1000SZ-3L,784.3,784.3,1729.083466,1729.083466,7.11,7391.27,341,443,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX0.96S4Y
U26BWABBMUSEH,1000CC UTV CM1000UZ-8K,953.9,953.9,2102.987018,2102.987018,9.49,9300,381,493,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX.998U1Y
U26BWABRTUSEH,1000CC UTV CM1000UZ-8K,953.9,953.9,2102.987018,2102.987018,9.49,9300,381,493,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX.998U1Y
U26BWABK1USEH,1000CC UTV CM1000UZ-8K,953.9,953.9,2102.987018,2102.987018,9.49,9300,381,493,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX.998U1Y
U26BV88YGUSE0,800CC UTV CM800UZ-4,752,752,1657.87424,1657.87424,7.09,6500,329,436,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX0.80U3W
U26BV88ETUSE0,800CC UTV CM800UZ-4,752,752,1657.87424,1657.87424,7.09,6500,329,436,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX0.80U3W
U26BV88K1USE0,800CC UTV CM800UZ-4,752,752,1657.87424,1657.87424,7.09,6500,329,436,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX0.80U3W
U26BWABBMUSE0,1000CC UTV CM1000UZ-8,823,986,1814.40226,2173.75532,8.67,7630,443,623,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX.998U1Y
U26BWABRTUSE0,1000CC UTV CM1000UZ-8,823,986,1814.40226,2173.75532,8.67,7630,443,623,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX.998U1Y
U26BWABK1USE0,1000CC UTV CM1000UZ-8,823,986,1814.40226,2173.75532,8.67,7630,443,623,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX.998U1Y
U26BZABBMUSE0,1000CC UTV CM1000UZ-8L,949.5,949.5,2093.28669,2093.28669,7.71,8060,418,544,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX.998U1Y
U26BZABRTUSE0,1000CC UTV CM1000UZ-8L,949.5,949.5,2093.28669,2093.28669,7.71,8060,418,544,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX.998U1Y
U26BZABK1USE0,1000CC UTV CM1000UZ-8L,949.5,949.5,2093.28669,2093.28669,7.71,8060,418,544,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX.998U1Y
Z26ATA5BMUSE0,1000CC UTV CM1000SZ-3,619,790.8,1364.65978,1743.413496,8.63,7061.27,351,518,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX0.96S3Y
Z26ATA5RMUSE0,1000CC UTV CM1000SZ-3,619,790.8,1364.65978,1743.413496,8.63,7061.27,351,518,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX0.96S3Y
Z26CAAMBMUSE0,CF1000SZ ZFORCE Z10,845,845,1862.9039,1862.9039,9.26,11500,429,533,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX.998S3Y
Z26CAAMYDUSE0,CF1000SZ ZFORCE Z10,845,845,1862.9039,1862.9039,9.26,11500,429,533,01- No objeto de impuesto,H87 Pieza,S01 Sin Efectos fiscales,25101503,8703219900,8703210150,06 PIEZA,1,,RT,FCA,false,no aplica,3,MXCFMMEX107APO,TCMAX.998S3Y
