PART_NUMBER,REGIMEN,TypeMaterial,DESCRIPTION_EN,DESCRIPCION_ES,UMC,UMT,HTSMX,HTSMXBASE,HTSMXNICO,IGI_DUTY,PROSEC,R8,DESCRIPCION_R8,RRYNA_NON_DUTY_REQUIREMENTS,REMARKS,NETWEIGHT,IMPORTED_OR_NOT,SENSIBLE,HTS_SerialNo,CLAVESAT,DESCRIPCION_CN,MATERIAL_CN,MATERIAL_EN,FUNCTION_CN,FUNCTION_EN,COMPANY,ESTIMATED,UPDATE_TIME
5HYV-021140-6000,IN,,EXHAUST PIPE HEAT INSULATOR GUARD 3,PARTE DEL ESCAPE,PZA,PZA,8708920399,87089203,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.201,1,,,25191700,,,,,,,,
5HYV-182540-6001,IN,KD,CONNECTING TUBE 5,TUBO DE CONEXION,PZA,PZA,8708999999,87089999,99,0,,,,,,0.13,1,,,25174800,,,,,,,,
6BMV-161000-1000,A1,KD?,FLASHER,RELEVADOR,PZA,,8536419904,85364199,4,0,NA,,,NOM-024-SCFI-2013,,0.019,Y,N,CF_SALE_MXHTS2025120026,25174000,,,,,,,0,2026-01-24T23:51:22.229Z
940010-13857,A1,,Welding power supply board,FUENTE DE ALIMENTACION,PZA,,8504409900,85044099,,10,Ex.,,,"NOM-024-SCFI-2013, NOM-058-SCFI-2017, NOM-001-SCFI-2018",,1.06,Y,N,CF_SALE_MXHTS2025100018,25171500,?????,???????,Glass fiber and metal,??????????,Provide multiple outputs with different voltages,?? four wheeler,0,
5HY0-103400,IN,,EPS BRACKET,SOPORTE DE LA COLUMNA DE DIRECCION,PZA,KG,8708941291,87089412,91,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,1.5,1,,,25181604,,,,,,,,
5HYV-182520-6000,IN,,CONNECTING TUBE 3,TUBO DE CAUCHO,PZA,KG,4009310602,40093106,2,0,,,,NO RRNA,,0.345,1,,,31162312,,,,,,,,
380Y-3_CF1000UU-8_ENGINE,IN,,#N/D,MOTOR,#N/D,,84073304,,Ex.,0,,,,N/A,N/A,0,1,,,24101600,,,,,,,,
30102-060025810,IN,,SCREW,TORNILLO DE ACERO DE USO AUTOMOTRIZ,PZA,KG,7318159903,73181599,3,35,,1931R825050575,TORNILLO DE ACERO DE USO AUTOMOTRIZ  PERNOS ROSCADOS DE USO AUTOMOTRIZ  MONTAJE DE LA PLACA DE PROTECCION 7318159903,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.009,1,,,31161502,,,,,,,,
89123406,A1,,UPVC 90 degree elbow,CONECTOR,PZA,,39174001,,Ex.,0,,,,,,0.15,1,,,31163100,,,,,,,,
5SYV-044042-6002-11,IN,,RH UPPER PANEL FRONT SEAT,PANEL SUPERIOR DELANTERO,PZA,KG,8708299999,87082999,99,35,Ex.,,,NO RRNA,,0.2,1,,,25181604,,,,,,,,
5HY0-031422-0MP0M,IN,,REAR ROCKER ARM VERTICAL BEAM a...,ELEVADOR DE BASCULANTE I,PZA,KG,8708299999,87082999,99,35,Ex.,,,NO RRNA,,0.712,1,,,25181604,,,,,,,,
5SYV-046011-8300,IN,KD,B-COLUMN SEAL FOAM,SELLO,PZA,KG,3926909906,39269099,6,0,,1931R826001314,SELLO,NOM-050-SCFI-2004,,0.021,1,,,25174800,,,,,,,,2026-01-12T19:17:44.113Z
940010-12536,A1,Equipo,UPVC Straight Connector,ACCESORIO PARA TUBERIA DE PVC,PZA,KG,3917400100,39174001,,0,,,,,,0.25,1,,CF SALE MXHTS2025070030,25174800,,,,,,,,
89123403,A1,,UPVC water pipe (4 meters each),CONECTOR,PZA,,39172304,99,Ex.,0,,,,,,1.61,1,,,31163100,,,,,,,,
940010-01530,A1,Equipo,Pliers,HERRAMIENTA DE MANO (PINZAS),PZA,PZA,8203209900,82032099,,15,Ex.,,,NOM-050-SCFI-2004,,0.5,1,,CF SALE MXHTS2025110007,,e eTMZe 3,steel,Steel,e 3 4a c a,Equipment Maintenance,four wheeler,,
5KWV-190102-1000-11,IN,,CARGO BOX LH SIDE PLATE DECAL,ETIQUETA AUTOADHESIVA,PZA,KG,3919909900,39199099,,35,,1931R825051346,ETIQUETA AUTOADHESIVA 3919909900 REFLEJANTE AUTOADHESIVO 3919909900 CALCOMANIA 3919909900,NO RRNA,,0.018,1,,,55121606,,,,,,,,
5HY0-043073,IN,,BUCKLE TOOL BOX,GUARNICION PARA CARROCERIA DE PLASTICO,PZA,KG,3926300299,39263002,99,15,Ex.,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.41,1,,,25181600,,,,,,,,
601401-01137,A1,Embalaje,12.5MM Series 6-Point Long Socket (21MM)   13312 - Sata,DADOS INTERCAMBIALES,PZA,PZA,8204209900,82042099,,10,Ex.,,,,,0.074,1,,CF SALE MXHTS2025110028,,12 5MMc3 a 6e e a c 21MM 13312 a e3 43 4,steel,Steel,Assembly and use,For assembly use,two wheeler,,
5GYV-042021-1000,IN,KD,LH SIDE PANEL,PARTE DE CARROCERIA,PZA,,8708299999,85044100,99,35,Ex.,,,N/A,,0.106,Y,N,CF_SALE_MXHTS2025110065,25171500,?????,??,Plastic,????,Vehicle decoration,?? four wheeler,0,
9DRV-160111-B800,IN,,LH HEADLIGHT,FARO IZQUIERDO,PZA,PZA,8512209900,85122099,,5,Ex.,,,NOM-024-SCFI-2013,Need to label specific NOM-024 shipment mark,1.352,1,,,39111500,,,,,,,,
0SQV-010001-1001,IN,KD?,Oil seal of counter shaft,SELLO,PZA,,8487909900,84879099,,5,Ex.,,,N/A,N/A,0.227,Y,N,CF_SALE_MXHTS2025050009,25174800,,,,,,,0,2026-01-24T23:51:22.229Z
940010-10160,A1,Equipo,Drive controller,CONTROLADOR DE VELOCIDAD,PZA,PZA,8504401300,85044013,,5,Ex.,,,,,0.49,1,,,26111544,,,,,,,,
960010-030375,A1,,Water-soluble tackifier,pending of classification,PZA,pending of classification,pending,of,#N/D,0,,,,,20,0,,,25171500,??????,???????,Resin-based waterborne coating,????????,Adhere to dust in the air,?? four wheeler,,,
960010-01589,A1,Equipo,Piston Seal,EMPAQUE DE CAUCHO,PZA,KG,4016930499,40169304,99,0,,,,,,0.022,1,,,25174800,,,,,,,,
5BWV-190107-5800-10,IN,,CFMOTO DECAL,CALCOMANIA,PZA,KG,3919909900,39199099,,35,,1931R825051346,ETIQUETA AUTOADHESIVA 3919909900 REFLEJANTE AUTOADHESIVO 3919909900 CALCOMANIA 3919909900,NO RRNA,,0.001,1,,,55121600,,,,,,,,
5GYV-230130-1000-H1,IN,KD,Roof Bar C-Pillar Left Assembly,PILAR C IZQUIERDO,PZA,,87082999,7,35,0,,,,,2.51,0,,,25171500,??C????,??,steel,??????????????????????,The components on the frame are welded together with other parts of the frame.,?? four wheeler,,,
5BY0-131102,IN,KD,Hook Latch,HERRAJES,PZA,,83023091,,15,0,,,NA,NA,0.1,0,,,25191700,??,?,STEEL,??????,To build a seat frame,?? four wheeler,202512,,
5BYV-230300-6001-0BP00,IN,,MIDDLE CAB BEAM,SOPORTE MEDIO DE LA CABINA,PZA,KG,8708299908,87082999,8,35,Ex.,,,NO RRNA,,3.72,1,,,25181604,,,,,,,,
