Patente|Pedimento|SeccionAduanera|RfcTransportista|CurpTransportista|NombreTransportista|PaisTransporte|IdentificadorTransporte|FechaPagoReal
1614|6002123|160|||XIN OU ZHOU|CHN|077E|2026-04-14 12:20:05|
1614|6002245|160|||ZIM MOUNT DENALI|SGP|13E|2026-04-21 10:02:04|
1925|6100310|160|||EVER FASHION|LBR|EVERFASHION|2026-04-17 13:48:09|
1614|6002308|160|||EVER LISSOME|GBR|0776-073E|2026-04-20 14:08:03|
3471|6400760|160|||ZIM MEXICO INTEGRATED SHIPPING SERVICES|LBR|TIANJIN|2026-04-01 16:33:04|
1614|6002168|160|||EVER FASHION|GBR|026E|2026-04-20 16:19:01|
1614|6001816|160|||ZIM MOUNT BLANC|SGP|12E|2026-04-07 12:20:07|
1925|6000480|160|||EVER LISSOME|GBR|EVERLISSOME|2026-04-24 17:08:02|
1614|6002049|160|||EVER FAME|PAN|0672-028E|2026-04-14 14:55:03|
1614|6002189|160|||EVER FASHION|LBR|026E|2026-04-16 14:21:01|
1759|6000775|160|||PACIFIC INTERNATIONAL LINES (PTE) LTD|LBR|KOTASANTOS|2026-04-10 16:39:02|
3471|6400946|160|||EVERGREEN LINE|LBR|EVERFASHION|2026-04-17 14:11:01|
3471|6401077|160|||PACIFIC INTERNATIONAL LINES|LBR|KOTAPEONY|2026-04-18 13:40:01|
1614|6002011|160|||ZIM MOUNT BLANC|SGP|12E|2026-04-08 09:16:03|
3471|6401017|160|||EVERGREEN LINE|GBR|EVERLISSOME|2026-04-23 11:33:03|
1614|6001820|160|||ZIM MOUNT BLANC|SGP|12E|2026-04-07 12:20:07|
1614|6003582|160|||EVER FASHION|GBR|026E|2026-04-22 20:47:02|
1614|6002110|160|||EVER FRAME|PAN|0672-028E|2026-04-15 11:37:06|
1925|6100311|160|||EVER FASHION|LBR|EVERFASHION|2026-04-17 14:09:05|
3471|6400944|160|||EVERGREEN LINE|LBR|EVERFASHION|2026-04-17 13:57:04|
3471|6400987|160|||EVERGREEN LINE|GBR|EVERLISSOME|2026-04-22 19:32:01|
3471|6401089|160|||YANG MING|TWN|EVERLOYAL|2026-04-29 10:20:05|
3897|6603110|240|KCS970506DQ3||KANSAS CITY SOUTHERN DE MEXICO S.A. DE C.V.|MEX|SNLU196279|2026-04-04 12:11:02|
3471|6401139|160|||COSCO SHIPPING LINES CO.,LTD|CHN|COSCOPACIFIC|2026-04-28 12:19:07|
1925|6000396|160|||EVER LIBERAL|GBR|EVERLIBERAL|2026-04-01 12:57:03|
1614|6002323|160|||WAN HAI A02|SGP|E016|2026-04-23 17:51:05|
1614|6002014|160|||ZIM MOUNT BLANC|SGP|12E|2026-04-08 09:17:04|
1614|6002319|160|||EVER LISSOME|GBR|0776-073E|2026-04-20 15:18:03|
3471|6400842|160|||ZIM MEXICO INTEGRATED SHIPPING SERVICES|LBR|TIANJIN|2026-04-01 16:34:01|
1614|6002238|160|||ZIM MOUNT DENALI|SGP|13E|2026-04-20 16:43:04|
3471|6400996|160|||EVERGREEN LINE|GBR|EVERLISSOME|2026-04-22 23:30:02|
1614|6003566|160|||EVER LISSOME|GBR|073E|2026-04-22 20:06:02|
3471|6400753|160|||ZIM MEXICO INTEGRATED SHIPPING SERVICES|LBR|TIANJIN|2026-04-01 16:33:03|
1925|6700243|160|||ZIM MOUNT FUJI|HKG|ZIMMOUNTFUJI|2026-04-28 16:25:03|
1925|6000478|160|||EVER LISSOME|GBR|EVERLISSOME|2026-04-24 17:09:03|
3471|6400954|160|||PACIFIC INTERNATIONAL LINES (PRIVATE) LIMITED|SGP|WANHAIA16|2026-04-06 15:15:01|
1925|6700260|160|||CSCL SPRING|HKG|CSCLSPRING|2026-04-29 13:55:04|
1925|6700213|160|||EVER LISSOME|GBR|EVERLISSOME|2026-04-23 14:19:01|
1614|6002193|160|||EVER FASHION|LBR|026E|2026-04-16 14:22:01|
1925|6100253|160|||TIANJIN|LBR|TIANJIN|2026-04-08 16:00:02|
1925|6700252|160|||ZIM MOUNT FUJI|HKG|ZIMMOUNTFUJI|2026-04-28 18:17:02|
3471|6400870|160|||ZIM MEXICO INTEGRATED SHIPPING SERVICES S.DE.R.L. DE C.V|SGP|ZIMMOUNTBLANC|2026-04-08 09:57:03|
1614|6002195|160|||EVER FASHION|LBR|026E|2026-04-16 14:22:01|
