Patente|Pedimento|SeccionAduanera|NumeroGuia|TipoGuia|FechaPagoReal
3471|6400897|160|NGB600206500|M|2026-04-15 00:27:01|
3577|6300693|521|023-51662085|M|2026-04-29 14:01:01|
3043|6700006|520|032846616106|M|2026-04-06 17:29:01|
1925|6000396|160|EGLV143674060688|M|2026-04-01 12:57:03|
3471|6401082|160|YMJAC232150007|M|2026-04-29 18:13:05|
3471|6400841|160|ZIMUNGB1342709|M|2026-04-01 18:25:04|
1614|6002115|160|COSU6446669280|M|2026-04-14 12:19:04|
1614|6002008|160|ZIMUNGB1342869|M|2026-04-08 08:43:03|
1925|6100276|160|EGLV143659512867|M|2026-04-15 20:55:02|
1925|6700207|160|ZIMUNGB1342876|M|2026-04-23 16:44:02|
3471|6400754|160|ZIMUNGB1342429|M|2026-04-01 23:19:01|
1614|6003578|160|EGLV143674060769|M|2026-04-22 20:05:02|
3043|6700005|520|032763486764|M|2026-04-06 17:28:01|
3043|6700006|520|032752124470|M|2026-04-06 17:29:01|
3577|6300630|521|023-51549153|M|2026-04-07 12:05:02|
3471|6400968|160|COSU6447099050|M|2026-04-17 19:49:02|
1614|6002297|160|EGLV143674063521|M|2026-04-20 16:04:02|
3577|6300693|521|889999395049|H|2026-04-29 14:01:01|
1614|6002013|160|ZIMUNGB1342869|M|2026-04-08 10:42:05|
3043|6700008|523|000006214890|M|2026-04-06 17:29:02|
1925|6700246|160|ZIMUNGB1343185|M|2026-04-28 20:00:02|
3471|6401012|160|EGLV143674060807|M|2026-04-22 19:32:04|
1614|6002169|160|EGLV143674060769|M|2026-04-20 14:21:06|
3577|6300641|521|489-62176402|M|2026-04-14 18:30:01|
1614|6001963|160|COSU6445970710|M|2026-04-06 10:12:03|
3043|6700008|523|000006216270|M|2026-04-06 17:29:02|
1614|6002323|160|NGB600264100|M|2026-04-23 17:51:05|
1614|6002239|160|ZIMUNGB1343173|M|2026-04-21 10:02:05|
3577|6300814|521|784-83129060|M|2026-04-27 16:28:01|
1759|6000613|160|NGB600176900|M|2026-04-10 16:30:07|
1925|6700208|160|ZIMUNGB1342876|M|2026-04-23 20:27:02|
1614|6002363|160|EGLV143659514355|M|2026-04-27 07:56:01|
3471|6400849|160|ZIMUNGB1342709|M|2026-04-01 23:18:01|
3043|6700006|520|032843096251|M|2026-04-06 17:29:01|
1925|6000477|160|EGLV143674060980|M|2026-04-24 17:09:02|
3043|6700008|523|000006211947|M|2026-04-06 17:29:02|
3471|6400801|160|EGLV143674060637|M|2026-04-02 00:49:01|
3577|6300631|521|489-62175400|M|2026-04-08 11:46:02|
1614|6002103|160|EGLV143659512875|M|2026-04-16 16:30:04|
