Patente|Pedimento|SeccionAduanera|FechaFacturacion|NumeroFactura|TerminoFacturacion|MonedaFacturacion|ValorDolares|ValorMonedaExtranjera|PaisFacturacion|EntidadFedFacturacion|IndentFiscalProveedor|ProveedorMercancia|CalleProveedor|NumInteriorProveedor|NumExteriorProveedor|CpProveedor|MunicipioProveedor|FechaPagoReal
3471|6401051|160|2026-04-02|COVE2682AJ8U7|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 12:32:03|
3471|6401089|160|2026-04-06|COVE26823I902|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 10:20:05|
1614|6002245|160||COVE26820ZF63|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-21 10:02:04|
1925|6700258|160|2026-04-07|COVE2682C41P7|CIF|USD|19790.40|19790.40|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-29 13:55:03|
3471|6401100|160|2026-03-29|COVE26825IGJ8|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 18:53:02|
1614|6001825|160||COVE26819C5X5|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-07 12:21:03|
1925|6700243|160|2026-03-31|COVE26828HPB2|CIF|USD|141.96|141.96|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-28 16:25:03|
1925|6700246|160|2026-03-31|COVE2682DOHX5|CIF|USD|53372.72|53372.72|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-28 20:00:02|
1614|6002338|160||COVE268277A07|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-27 08:43:05|
3471|6401100|160|2026-03-29|COVE2682GPL56|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 18:53:02|
1925|6100252|160|2026-02-28|COVE2680ENJ41|CIF|USD|50887.08|50887.08|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-08 17:26:01|
3043|6001074|523|2026-04-16|COVE2682HE3T8|DPU|USD|2352.00|2352.00|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD, YUHANG ECONOMIC DEVELOPMENT ZONE||116|311100|ZHEJIANG|2026-04-28 16:27:02|
3471|6401084|160|2026-04-06|COVE26823FDA8|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 11:55:04|
3471|6400948|160|2026-03-21|COVE26815OL37|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-17 17:35:02|
3043|6001075|523|2026-04-16|COVE2682HLCZ3|DPU|USD|2352.00|2352.00|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD, YUHANG ECONOMIC DEVELOPMENT ZONE||116|311100|ZHEJIANG|2026-04-28 16:27:01|
1614|6002339|160||COVE2682779U2|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-27 09:16:02|
3043|6001073|523|2026-04-07|COVE2682H7NQ7|DPU|USD|2352.00|2352.00|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD, YUHANG ECONOMIC DEVELOPMENT ZONE||116|311100|ZHEJIANG|2026-04-28 16:28:01|
3471|6401098|160|2026-03-29|COVE268253JT7|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 18:53:01|
1925|6700204|160|2026-03-24|COVE2681LSEK5|CIF|USD|62840.51|62840.51|CHN| |91330100757206158|ZHEJIANG CFMOTO POWER CO.,LTD|WUZHOU ROAD|SN|116|311100|YUHANG ECONOMIC DEVELOPMENT ZONE  HANGZHOU ZHEJIANG|2026-04-24 10:16:02|
3471|6401089|160|2026-04-06|COVE26823I063|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 10:20:05|
3471|6401099|160|2026-03-29|COVE26824ZT42|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-30 10:39:05|
3471|6400877|160|2026-02-26|COVE2680QP026|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-08 09:56:04|
3471|6401103|160|2026-03-29|COVE26826J5K1|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-30 09:31:01|
3471|6401081|160|2026-04-06|COVE26823DLR3|CIF| ||| | |91330100757206158|ZHEJIANG CFMOTO POWER CO., LTD||||||2026-04-29 10:20:04|
