Patente|Pedimento|SeccionAduanera|ClaveCaso|IdentificadorCaso|TipoPedimento|ComplementoCaso|FechaValidacionPagoR
1614|6002235|160|ED|MNVA26006I612|1||2026-04-21 10:01:03|
1647|6008844|240|ED|0428260HETLI1|1||2026-04-24 20:02:08|
1925|6700254|160|ED|04432600BD2Z6|1||2026-04-29 17:20:04|
1925|6700262|160|ED|0428260HG0X53|1||2026-04-29 14:06:02|
1925|6700242|160|ED|0428260HHNMW7|1||2026-04-28 18:17:04|
1925|6000480|160|ED|0436250MVK4M1|1||2026-04-24 17:08:02|
1925|6700248|160|ED|0428260HHNM74|1||2026-04-28 20:00:02|
3471|6400988|160|ED|0436260O834K5|1||2026-04-22 21:37:02|
3471|6401054|160|ED|0170261AQELU1|1||2026-04-29 13:11:04|
3471|6401098|160|ED|0438261EM9N88|1||2026-04-29 18:53:01|
3471|6400940|160|PP|20239540|1||2026-04-17 12:39:03|
1647|6008844|240|ED|0428260HEKQA4|1||2026-04-24 20:02:08|
1647|6008843|240|ED|0428260HEE8N8|1||2026-04-24 20:02:07|
3471|6400996|160|ED|0436260O8BA04|1||2026-04-22 23:30:02|
3496|6000482|850|ED|0170261AWZY06|1||2026-04-28 19:23:03|
1925|6100315|160|ED|01702513WKYT5|1||2026-04-17 14:33:03|
1614|6002232|160|ED|01922618GM183|1||2026-04-20 16:43:01|
1647|6008844|240|ED|0428260HF74L3|1||2026-04-24 20:02:08|
1614|6003572|160|ED|MNVA26006IN75|2||2026-04-22 20:06:03|
3471|6401100|160|IM|482023|1||2026-04-29 18:53:02|
1925|6700242|160|IM|482023|1||2026-04-28 18:17:04|
1925|6000480|160|ED|MNVA260071VL5|1||2026-04-24 17:08:02|
3471|6401015|160|ED|0436260O8B8C7|1||2026-04-23 11:15:03|
3471|6400988|160|PP|20239540|1||2026-04-22 21:37:02|
3043|6001077|523|CR|45|1||2026-04-28 16:27:01|
1647|6008805|240|RC|45-75|1||2026-04-17 20:02:04|
1925|6000394|160|ED|04432600B24E3|1||2026-04-01 12:58:01|
3471|6401013|160|ED|0436260O8B8O6|1||2026-04-23 11:15:02|
3471|6400990|160|ED|0436260O7Z3Q7|1||2026-04-22 22:33:02|
3471|6400997|160|ED|0170261AHXQB5|1||2026-04-22 19:32:03|
3471|6401057|160|ED|0436260OA0I83|1||2026-04-29 13:11:05|
3577|6300773|521|PP|20239540|1||2026-04-28 14:17:01|
1925|6700256|160|ED|0428260HFWBF8|1||2026-04-29 13:55:03|
3471|6401157|160|PP|20239540|1||2026-04-28 09:53:06|
1925|6700254|160|ED|0428260HHTZJ4|1||2026-04-29 17:20:04|
3471|6400942|160|ED|0436260O6F784|1||2026-04-17 13:44:03|
1925|6700260|160|ED|0428260HGB9P8|1||2026-04-29 13:55:04|
3471|6400940|160|ED|0436260O5EDG4|1||2026-04-17 12:39:03|
1647|6008805|240|ED|0428260HCQ6K4|1||2026-04-17 20:02:04|
3043|6001077|523|ED|0170261AW9ID7|1||2026-04-28 16:27:01|
3471|6400967|160|ED|0436260O62WK7|1||2026-04-17 19:49:03|
1647|6008805|240|ED|0428260HCVN58|1||2026-04-17 20:02:04|
3471|6400940|160|ED|0436260O5EP37|1||2026-04-17 12:39:03|
1925|6700242|160|ED|0428260HHNMY3|1||2026-04-28 18:17:04|
3471|6400942|160|ED|0436260O6F9U1|1||2026-04-17 13:44:03|
1925|6700254|160|ED|0428260HHU1Z6|1||2026-04-29 17:20:04|
1647|6008844|240|ED|0428260HEL1N2|1||2026-04-24 20:02:08|
1647|6008844|240|ED|0428260HEKSY4|1||2026-04-24 20:02:08|
1614|6002245|160|PP|20239540|1||2026-04-21 10:02:04|
3496|6000321|850|ED|0428260HG5NU5|1||2026-04-21 12:53:07|
3471|6401059|160|ED|0436260OA0J27|1||2026-04-29 12:33:03|
1614|6003563|160|ED|0438261EDHXI2|2||2026-04-23 09:18:02|
3471|6401082|160|ED|0436260OAHX03|1||2026-04-29 18:13:05|
3471|6400869|160|PD|3|1|1|2026-04-08 09:57:02|
1925|6100311|160|ED|0436250MVK814|1||2026-04-17 14:09:05|
3471|6400967|160|ED|0438261ECN4E4|1||2026-04-17 19:49:03|
1925|6700258|160|ED|04432600BD2Z6|1||2026-04-29 13:55:03|
1647|6008805|240|ED|0428260HD2FJ5|1||2026-04-17 20:02:04|
