Patente|Pedimento|SeccionAduanera|SecuenciaObservacion|Observaciones|TipoPedimento|FechaValidacionPagoR
1614|6002343|160|7|BULTO CON PESO DE 11,789 KILOGRAMOS Y SE SUBDIVIDE DEL CONTENEDOR CSNU5524844 LA CANTIDAD DE 23 BULTOS|1|2026-04-27 09:17:01|
3471|6401087|160|1|DE CONFORMIDAD CON EL ARTICULO 36, 36-A, FRACCION I DE LA LEY ADUANERA EN VIGOR, SE ANEXAN:|1|2026-04-29 11:42:04|
1925|6700262|160|8|DOCUMENTOS E INFORMACIONPROPORCIONADOS POR EL CLIENTE.|1|2026-04-29 14:06:02|
3471|6400806|160|3|-FACTURA COMERCIAL|1|2026-04-02 00:47:01|
3471|6401083|160|10|OPERACION DE CONFORMIDAD CON EL ARTICULO 54 DE LA LEY ADUANERA EN VIGOR, CON DOCUMENTOS E INFORMACION|1|2026-04-29 17:30:04|
1614|6002246|160|5|SUBDIVISION PARCIAL DE CONFORMIDAD CON EL ARTICULO 65 DEL REGLAMENTO DE LA LEY ADUANERA EN VIGOR SE|1|2026-04-20 18:37:04|
1925|6100315|160|3|GENERAL EN MATERIA DE COMERCIO EXTERIOR 1.9.18 EN VIGOR.-CONOCIMIENTO MARITIMO REVALIDADO-CARTA|1|2026-04-17 14:33:03|
1614|6002234|160|1|DE CONFORMIDAD CON LOS ART.36 Y 36A FRACCION I DE LA LEY ADUANERA EN VIGOR Y REGLA 3.1.8. DE LAS|1|2026-04-20 16:43:02|
3471|6400997|160|2|-CONOCIMIENTO DE EMBARQUE|1|2026-04-22 19:32:03|
1614|6002105|160|12|LA PRESENTE OPERACION SE REALIZA DE CONFORMIDAD CON EL ART. 108 DE LA LEY ADUANERA VIGENTE AL AMPARO DEL|1|2026-04-16 16:30:04|
3471|6401024|160|4|-CARTA NOM|1|2026-04-22 19:32:04|
3471|6401106|160|2|-CONOCIMIENTO DE EMBARQUE|1|2026-04-29 19:45:01|
3471|6400750|160|1|DE CONFORMIDAD CON EL ARTICULO 36, 36-A, FRACCION I DE LA LEY ADUANERA EN VIGOR, SE ANEXAN:|1|2026-04-01 18:25:04|
1925|6700258|160|7|BULTOS, CON UN PESO DE 18,907.45 5KG.OPERACION DE CONFORMIDAD CON EL ARTICULO 54 DE LA LEY ADUANERA EN VIGOR, CON|1|2026-04-29 13:55:03|
3471|6401059|160|7|EL CONTENEDOR: TXGU7241754 SE DESPACHA CON NUMERO DE SELLO: EMCELS8195|1|2026-04-29 12:33:03|
1614|6002234|160|9|CONTENEDORES.|1|2026-04-20 16:43:02|
1614|6002237|160|1|DE CONFORMIDAD CON LOS ART.36 Y 36A FRACCION I DE LA LEY ADUANERA EN VIGOR Y REGLA 3.1.8.DE LAS R.G.C.E.|1|2026-04-21 10:02:02|
3471|6401106|160|9|6 16 3471 6401099,26 16 3471 6401100,26 16 3471 6401101,26 16 3471 6401102,26 16 3471 6401103,26 16 3471 6401104,26 16 3|1|2026-04-29 19:45:01|
3471|6401090|160|4|-REGLA OCTAVA|1|2026-04-29 10:20:05|
1614|6002115|160|8|CON PESO DE 6,832.00 KILOGRAMOS, SIENDO ESTA LA SEGUNDA Y ULTIMA OPERACION QUE SE REALIZA PARA ESTOS|1|2026-04-14 12:19:04|
1890|6071823|750|17|RFC: TSW971210A96|1|2026-04-29 14:25:00|
1905|6009723|160|5|VENDEDOR: TYW MANUFACTURING MEXICO, S DE RL DE CV|1|2026-04-20 18:03:03|
