Patente|Pedimento|SeccionAduanera|PatenteAduanalOrig|PedimentoOriginal|SeccionAduaneraDespOrig|DocumentoOriginal|FechaOperacionOrig|FraccionOriginal|UnidadMedida|MercanciaDescargada|TipoPedimento|FechaPagoReal
3043|6001115|523|3897|6603510|240|T3|2026-04-27|73269099|6|7.000|1|2026-04-30 11:13:02|
3043|6001075|523|3897|6603590|240|T3|2026-04-23|56090002|6|112.000|1|2026-04-28 16:27:01|
3043|6001042|523|3897|6603227|240|T3|2026-04-20|56090002|6|112.000|1|2026-04-22 16:20:02|
3043|6001078|523|3897|6603590|240|T3|2026-04-23|73269099|6|7.000|1|2026-04-28 16:27:01|
3577|6300621|521|3416|6013989|850|T3|2026-03-25|||0.000|1|2026-04-22 17:02:01|
3043|6001077|523|3897|6603591|240|T3|2026-04-22|73269099|6|112.000|1|2026-04-28 16:27:01|
3043|6000967|523|3897|6603111|240|T3|2026-04-10|56090002|6|112.000|1|2026-04-14 18:10:02|
3043|6000990|523|3897|6603220|240|T3|2026-04-13|56090002|6|112.000|1|2026-04-15 21:01:20|
3577|6300619|521|3416|6014036|850|T3|2026-03-27|||0.000|1|2026-04-08 15:29:02|
3043|6000968|523|3897|6603110|240|T3|2026-04-10|73269099|6|7.000|1|2026-04-24 12:01:01|
3043|6000968|523|3897|6603103|240|T3|2026-04-10|73269099|6|7.000|1|2026-04-24 12:01:01|
3043|6001043|523|3897|6603334|240|T3|2026-04-17|73269099|6|7.000|1|2026-04-29 12:36:01|
3043|6001040|523|3897|6603334|240|T3|2026-04-17|56090002|6|112.000|1|2026-04-22 16:21:02|
3043|6000968|523|3897|6603111|240|T3|2026-04-10|73269099|6|7.000|1|2026-04-24 12:01:01|
3043|6000965|523|3897|6603103|240|T3|2026-04-10|56090002|6|112.000|1|2026-04-15 08:59:01|
3043|6001114|523|3897|6603510|240|T3|2026-04-27|56090002|6|112.000|1|2026-04-30 11:14:01|
3043|6000966|523|3897|6603110|240|T3|2026-04-10|56090002|6|112.000|1|2026-04-15 08:59:01|
3043|6001076|523|3897|6603239|240|T3|2026-04-15|73269099|6|7.000|1|2026-04-28 16:27:01|
3043|6001074|523|3897|6603591|240|T3|2026-04-22|56090002|6|112.000|1|2026-04-28 16:27:02|
3577|6300622|521|3416|6013989|850|T3|2026-03-25|||0.000|1|2026-04-08 11:47:01|
3043|6001043|523|3897|6603336|240|T3|2026-04-20|73269099|6|7.000|1|2026-04-29 12:36:01|
3043|6000968|523|3897|6603220|240|T3|2026-04-13|73269099|6|7.000|1|2026-04-24 12:01:01|
3043|6001041|523|3897|6603336|240|T3|2026-04-20|56090002|6|112.000|1|2026-04-22 16:21:01|
3043|6001073|523|3897|6603239|240|T3|2026-04-15|56090002|6|112.000|1|2026-04-28 16:28:01|
3043|6001043|523|3897|6603227|240|T3|2026-04-20|73269099|6|7.000|1|2026-04-29 12:36:01|
