Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClavePermiso|FirmaDescargo|NumeroPermiso|ValorComercialDolares|CantidadMUMTarifa|FechaPagoReal
1925|6100277|160|98020019|136|C1||1931R825050547|6.40|640.00000|2026-04-16 18:17:02|
3471|6400835|160|98020019|189|C1||1931R826001314|38.40|640.00000|2026-04-01 16:33:05|
1925|6100307|160|98020019|67|C1||1931R825050575|132.00|1320.00000|2026-04-17 13:29:09|
1614|6002115|160|98020019|159|C1||1931R825050612|29.00|20.00000|2026-04-14 12:19:04|
3471|6401017|160|98020019|57|C1||1931R825050355|160.48|16.00000|2026-04-23 11:33:03|
3471|6400900|160|98020019|180|C1||1931R825050547|25.92|864.00000|2026-04-15 10:55:04|
1614|6002060|160|98020019|164|C1||1931R825051346|6.48|216.00000|2026-04-14 09:42:04|
1614|6002164|160|98020019|88|C1||1931R826001314|81.60|8160.00000|2026-04-20 16:19:02|
1614|6001962|160|98020019|61|C1||1931R825056047|893.76|56.00000|2026-04-06 10:12:02|
1925|6100269|160|98020019|116|C1||1931R825038867|5457.60|160.00000|2026-04-16 15:12:02|
3471|6400900|160|98020019|238|C1||1931R825050547|207.00|900.00000|2026-04-15 10:55:04|
1614|6002299|160|98020019|71|C1||1931R826031342|208.00|160.00000|2026-04-20 16:04:01|
3471|6400946|160|98020019|19|C1||1931R825050575|18.00|600.00000|2026-04-17 14:11:01|
1614|6002125|160|98020019|251|C1||1931R826001314|7.20|120.00000|2026-04-14 12:20:06|
3471|6400764|160|98020019|79|C1||1931R825050424|15.30|510.00000|2026-04-03 22:59:00|
1614|6002337|160|98020019|134|C1||1931R825050385|19.20|1920.00000|2026-04-27 09:15:03|
1614|6002337|160|98020019|127|C1||1931R825050547|57.60|720.00000|2026-04-27 09:15:03|
3471|6400992|160|98020019|113|C1||1931R825051346|12.80|160.00000|2026-04-22 22:33:02|
1925|6000394|160|98020019|94|C1||1931R825050575|11.20|160.00000|2026-04-01 12:58:01|
