Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveCaso|IdentificadorCaso|ComplementoCaso|FechaPagoReal
3471|6400798|160|83023091|6|PS|XIX||2026-04-02 00:49:02|
3471|6401057|160|98020019|171|EC|1||2026-04-29 13:11:05|
3471|6401088|160|87082999|20|PS|XIX||2026-04-29 10:20:05|
3471|6401086|160|87089904|14|PS|XIX||2026-04-29 11:42:03|
3471|6401080|160|98020019|218|EC|1||2026-04-29 11:55:03|
3471|6401057|160|39263002|118|PS|XIX||2026-04-29 13:11:05|
3471|6401084|160|87089999|90|EN|X|NOM-050-SCFI-2004|2026-04-29 11:55:04|
1925|6700262|160|87082999|61|PS|XIX||2026-04-29 14:06:02|
1925|6700262|160|98020019|176|EC|1||2026-04-29 14:06:02|
3043|6001115|523|73269099|1|EO|1||2026-04-30 11:13:02|
3043|6700022|520|87032199|1|PT| ||2026-04-30 16:23:01|
3471|6401057|160|98020019|133|EC|1||2026-04-29 13:11:05|
1925|6700262|160|85365099|135|EN|U|NOM-003-SCFI-2014|2026-04-29 14:06:02|
3471|6401052|160|73269099|1|XP|T3|U|2026-04-29 12:32:03|
3471|6401057|160|98020019|130|EC|1||2026-04-29 13:11:05|
3496|6000302|850|98020019|117|EC|1||2026-04-01 13:03:12|
3496|6000302|850|87082999|53|PS|XIX||2026-04-01 13:03:12|
3471|6401098|160|98020019|101|EC|1||2026-04-29 18:53:01|
3471|6401057|160|87088007|39|EN|X|NOM-050-SCFI-2004|2026-04-29 13:11:05|
3471|6401096|160|87088007|101|PS|XIX||2026-04-29 18:13:02|
3471|6401057|160|98020019|228|EC|1||2026-04-29 13:11:05|
3471|6401102|160|85122099|198|EN|X|NOM-024-SCFI-2013|2026-04-29 18:54:01|
3471|6401097|160|73269099|7|XP|T3|U|2026-04-29 18:13:02|
3471|6401090|160|87082999|61|PS|XIX||2026-04-29 10:20:05|
3471|6401090|160|87082999|21|PS|XIX||2026-04-29 10:20:05|
3471|6401080|160|87089199|110|PS|XIX||2026-04-29 11:55:03|
3471|6401088|160|87087099|6|EN|ENOM|NOM-086-SCFI-2018|2026-04-29 10:20:05|
3471|6401052|160|73181599|8|EN|ENOM|NOM-050-SCFI-2004|2026-04-29 12:32:03|
3471|6401051|160|98020019|118|EC|1||2026-04-29 12:32:03|
3471|6401057|160|98020019|238|EC|1||2026-04-29 13:11:05|
3471|6401098|160|84152001|40|EN|X|NOM-050-SCFI-2004|2026-04-29 18:53:01|
3471|6400837|160|87082999|25|PS|XIX||2026-04-01 18:25:03|
3471|6400841|160|87088007|36|PS|XIX||2026-04-01 18:25:04|
3471|6401057|160|98020019|186|EC|1||2026-04-29 13:11:05|
3471|6401057|160|98020019|162|EC|1||2026-04-29 13:11:05|
3471|6401080|160|84213199|72|PS|XIX||2026-04-29 11:55:03|
1925|6700260|160|87082999|52|PS|XIX||2026-04-29 13:55:04|
3471|6401084|160|87089412|117|EN|X|NOM-050-SCFI-2004|2026-04-29 11:55:04|
3471|6401080|160|98020019|202|EC|1||2026-04-29 11:55:03|
3471|6401102|160|85365099|40|EN|X|NOM-024-SCFI-2013|2026-04-29 18:54:01|
1925|6700254|160|84253101|188|PS|XIX||2026-04-29 17:20:04|
3471|6401080|160|39269020|80|PS|XIX||2026-04-29 11:55:03|
3471|6401061|160|87082999|46|PS|XIX||2026-04-29 17:30:05|
3471|6401100|160|87089999|81|EN|X|NOM-050-SCFI-2004|2026-04-29 18:53:02|
3471|6401097|160|73269099|4|XP|T3|U|2026-04-29 18:13:02|
3471|6401057|160|98020019|179|EC|1||2026-04-29 13:11:05|
1925|6700260|160|87083099|70|EN|X|NOM-050-SCFI-2004|2026-04-29 13:55:04|
3471|6400798|160|87082999|49|PS|XIX||2026-04-02 00:49:02|
3471|6400798|160|87089199|86|PS|XIX||2026-04-02 00:49:02|
