Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|TasaContribucion|TipoTasa|FechaPagoReal
3471|6401059|160|87082999|54|3|16.00000|1|2026-04-29 12:33:03|
1614|6002174|160|98020019|121|3|16.00000|1|2026-04-20 16:19:02|
1925|6700204|160|87082999|147|3|16.00000|1|2026-04-24 10:16:02|
3471|6401100|160|98020019|139|3|16.00000|1|2026-04-29 18:53:02|
1614|6002329|160|98020019|92|3|16.00000|1|2026-04-23 18:49:03|
1925|6700244|160|87082999|144|3|16.00000|1|2026-04-28 20:00:01|
1925|6700262|160|98020019|184|3|16.00000|1|2026-04-29 14:06:02|
1614|6002333|160|98020019|124|3|16.00000|1|2026-04-27 09:15:03|
3471|6401015|160|87088099|146|3|16.00000|1|2026-04-23 11:15:03|
3471|6401098|160|87082999|30|3|16.00000|1|2026-04-29 18:53:01|
1925|6700256|160|87089999|26|3|16.00000|1|2026-04-29 13:55:03|
1925|6700208|160|98020019|60|3|16.00000|1|2026-04-23 20:27:02|
3471|6401051|160|87082999|24|3|16.00000|1|2026-04-29 12:32:03|
1614|6003573|160|87089412|21|3|16.00000|1|2026-04-23 09:10:02|
1925|6700202|160|87082999|72|3|16.00000|1|2026-04-23 20:27:02|
3471|6401053|160|84152001|12|3|16.00000|1|2026-04-29 12:32:05|
3471|6401090|160|87082999|9|3|16.00000|1|2026-04-29 10:20:05|
1614|6003574|160|73269099|5|6|35.00000|1|2026-04-23 08:47:03|
1614|6002170|160|87082999|101|3|16.00000|1|2026-04-20 16:19:01|
1925|6700258|160|87082999|9|3|16.00000|1|2026-04-29 13:55:03|
1614|6002329|160|98020019|90|3|16.00000|1|2026-04-23 18:49:03|
1925|6700259|160|73269099|7|3|16.00000|1|2026-04-29 12:49:03|
3471|6401106|160|87082999|10|3|16.00000|1|2026-04-29 19:45:01|
1614|6002174|160|98020019|100|3|16.00000|1|2026-04-20 16:19:02|
1614|6002174|160|87089999|49|3|16.00000|1|2026-04-20 16:19:02|
1925|6700262|160|40093106|138|3|16.00000|1|2026-04-29 14:06:02|
3471|6401083|160|73269099|1|6|35.00000|1|2026-04-29 17:30:04|
1614|6002329|160|39199099|172|6|35.00000|1|2026-04-23 18:49:03|
1925|6700243|160|73181599|5|3|16.00000|1|2026-04-28 16:25:03|
1614|6002297|160|98020019|39|3|16.00000|1|2026-04-20 16:04:02|
1614|6002297|160|39263002|16|3|16.00000|1|2026-04-20 16:04:02|
1925|6700242|160|87082999|52|3|16.00000|1|2026-04-28 18:17:04|
3471|6401102|160|85365099|46|3|16.00000|1|2026-04-29 18:54:01|
1614|6002305|160|87082999|31|3|16.00000|1|2026-04-20 16:05:03|
1614|6002305|160|87089999|10|3|16.00000|1|2026-04-20 16:05:03|
1925|6700254|160|98020019|216|3|16.00000|1|2026-04-29 17:20:04|
1614|6002329|160|87088005|51|3|16.00000|1|2026-04-23 18:49:03|
1925|6700246|160|98020019|148|3|16.00000|1|2026-04-28 20:00:02|
