Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|ClaveContribucion|FormaPago|ImportePago|FechaPagoReal
1614|6002336|160|73269099|2|6|0|2940|2026-04-25 13:02:01|
1614|6002016|160|84099199|1|3|0|1022|2026-04-08 09:17:06|
1925|6700246|160|98020019|208|3|22|70|2026-04-28 20:00:02|
3471|6401102|160|98020019|99|3|22|94|2026-04-29 18:54:01|
1614|6003571|160|87082999|38|3|22|943|2026-04-23 09:09:05|
1614|6003565|160|98020019|124|3|22|120|2026-04-23 09:18:03|
3471|6401051|160|85371006|26|3|22|2230|2026-04-29 12:32:03|
3471|6401011|160|40091102|80|3|22|762|2026-04-23 10:26:05|
1614|6003571|160|87089999|37|3|22|2670|2026-04-23 09:09:05|
1925|6700254|160|87089999|57|3|22|294|2026-04-29 17:20:04|
1614|6003559|160|40169901|71|3|22|27|2026-04-23 10:28:02|
3471|6401023|160|98020019|84|3|22|534|2026-04-23 11:58:03|
3471|6401051|160|87082999|102|3|22|323|2026-04-29 12:32:03|
1925|6700246|160|98020019|30|3|22|1420|2026-04-28 20:00:02|
1759|6000777|160|87088099|53|3|0|1279|2026-04-10 16:39:03|
1614|6002336|160|73269099|4|3|0|201|2026-04-25 13:02:01|
1614|6002336|160|73181599|11|6|0|45|2026-04-25 13:02:01|
3471|6400783|160|87082999|11|3|0|10|2026-04-01 11:53:02|
3471|6401100|160|87082999|74|3|22|873|2026-04-29 18:53:02|
1925|6700262|160|87082999|115|3|22|124|2026-04-29 14:06:02|
3471|6400994|160|98020019|52|3|22|9557|2026-04-22 23:30:01|
1614|6002327|160|87082201|94|3|22|265|2026-04-23 17:52:02|
1925|6700246|160|85371099|93|3|22|979|2026-04-28 20:00:02|
1614|6003571|160|87082999|53|3|22|596|2026-04-23 09:09:05|
1614|6002312|160|73269099|1|3|0|388|2026-04-20 14:09:04|
1925|6700246|160|98020019|195|3|22|351|2026-04-28 20:00:02|
1614|6002335|160|82060001|37|3|22|705|2026-04-27 09:15:02|
1925|6700204|160|98020019|233|3|22|102|2026-04-24 10:16:02|
1925|6700250|160|98020019|11|3|22|236|2026-04-28 20:01:01|
1925|6700254|160|87089999|167|3|22|269|2026-04-29 17:20:04|
1759|6000777|160|40091102|61|3|0|76|2026-04-10 16:39:03|
1614|6002339|160|87082901|21|3|22|554|2026-04-27 09:16:02|
