Patente|Pedimento|SeccionAduanera|Fraccion|SecuenciaFraccion|SecuenciaObservacion|Observaciones|FechaPagoReal
1925|6700213|160|87082999|107|1|25CFTT179042No. De parte: 5GYV-041044-1000|2026-04-23 14:19:01|
3471|6401023|160|87089412|71|1|25CFTT179041-14|2026-04-23 11:58:03|
3577|6300793|521|76090002|10|1|D20260327 26CFMABTT28061|2026-04-23 12:32:01|
3471|6401055|160|87089999|11|3|5HYV-030008-6000|2026-04-29 13:11:05|
3471|6401100|160|87089412|44|3|5HYV-050801A|2026-04-29 18:53:02|
3471|6400894|160|87089999|106|1|25CFTT178989-3|2026-04-14 23:52:01|
1647|6008844|240|87032199|87|3|380Y-2C TA060234|2026-04-24 20:02:08|
3471|6400837|160|98020019|73|2|No.Parte|2026-04-01 18:25:03|
1925|6000394|160|87082999|199|1|No. De parte: 5GYV-043014-1001|2026-04-01 12:58:01|
1647|6008844|240|87032199|79|1|ORDEN No. 1,2,3|2026-04-24 20:02:08|
3471|6400894|160|87088005|131|1|25CFTT178989-3|2026-04-14 23:52:01|
3471|6401100|160|82060001|70|2|No.Parte|2026-04-29 18:53:02|
3471|6401059|160|87082999|38|2|No.Parte|2026-04-29 12:33:03|
1925|6000480|160|98020019|261|1|FA ORIGINAL: 3926909906No. De parte: 5HYV-188004-6000 Factura: 25CFTT178982: Partida: 190|2026-04-24 17:08:02|
3471|6401011|160|87089999|21|2|No.Parte|2026-04-23 10:26:05|
1614|6003561|160|87082999|41|2|25CFTT178986-2|2026-04-23 09:17:04|
1925|6700213|160|87089999|15|1|25CFTT179042No. De parte: 0NYV-353000-4100|2026-04-23 14:19:01|
3471|6401015|160|84833004|24|1|25CFTT179041-6|2026-04-23 11:15:03|
1925|6000480|160|98020019|284|1|FA ORIGINAL: 4908909999No. De parte: 5SYV-190010-1900-10 Factura: 25CFTT178982: Partida: 213|2026-04-24 17:08:02|
3471|6401082|160|98020019|160|3|30110-480190070|2026-04-29 18:13:05|
3471|6401055|160|98020019|80|1|25CFTT178999-5,FRACCION ORIGINAL 9401999901|2026-04-29 13:11:05|
1614|6002054|160|87088005|97|1|5FYV-031100-1002-H1|2026-04-14 14:55:04|
3471|6401021|160|87089999|122|2|No.Parte|2026-04-23 11:58:04|
1925|6000394|160|98020019|151|1|FA ORIGINAL: 7318159903No. De parte: 5GYV-120105-1000|2026-04-01 12:58:01|
1925|6000394|160|87082999|71|1|No. De parte: 703A-200103|2026-04-01 12:58:01|
