Patente|Pedimento|SeccionAduanera|ClaveDocumento|FechaPago|PedimentoAnterior|PatenteAnterior|SeccionAduaneraAnterior|DocumentoAnterior|FechaOperacionAnterior|PedimentoOriginal|PatenteAduanalOrig|SeccionAduaneraDespOrig|FechaPagoReal
1614|6003571|160|IN|2026-04-23|6002301|1614|160|IN|2026-04-20|0|0| |2026-04-23 09:09:05|
1614|6003558|160|A1|2026-04-23|6002312|1614|160|A1|2026-04-20|0|0| |2026-04-23 08:47:05|
1614|6003581|160|IN|2026-04-23|6002166|1614|160|IN|2026-04-20|0|0| |2026-04-23 09:09:02|
1614|6003560|160|A1|2026-04-22|6002314|1614|160|A1|2026-04-20|0|0| |2026-04-22 20:46:01|
1614|6003573|160|IN|2026-04-23|6002303|1614|160|IN|2026-04-20|0|0| |2026-04-23 09:10:02|
1614|6003563|160|IN|2026-04-23|6002317|1614|160|IN|2026-04-20|0|0| |2026-04-23 09:18:02|
1614|6003562|160|A1|2026-04-22|6002316|1614|160|A1|2026-04-20|0|0| |2026-04-22 20:46:02|
1614|6003567|160|IN|2026-04-23|6002297|1614|160|IN|2026-04-20|0|0| |2026-04-23 11:04:03|
1614|6003576|160|A1|2026-04-22|6002306|1614|160|A1|2026-04-20|0|0| |2026-04-22 20:06:04|
1614|6003554|160|A1|2026-04-22|6002308|1614|160|A1|2026-04-20|0|0| |2026-04-22 20:06:05|
1614|6003579|160|IN|2026-04-23|6002164|1614|160|IN|2026-04-20|0|0| |2026-04-23 09:09:01|
1614|6003584|160|A1|2026-04-22|6002169|1614|160|A1|2026-04-20|0|0| |2026-04-22 20:06:01|
1614|6003556|160|A1|2026-04-23|6002310|1614|160|A1|2026-04-20|0|0| |2026-04-23 08:47:04|
1614|6003572|160|A1|2026-04-22|6002302|1614|160|A1|2026-04-20|0|0| |2026-04-22 20:06:03|
1614|6003555|160|IN|2026-04-23|6002309|1614|160|IN|2026-04-20|0|0| |2026-04-23 09:17:02|
3471|6401067|160|IN|2026-04-25|6400907|3471|160|IN|2026-03-27|0|0| |2026-04-25 13:50:03|
1614|6003557|160|IN|2026-04-23|6002311|1614|160|IN|2026-04-20|0|0| |2026-04-23 09:17:03|
1614|6003561|160|IN|2026-04-23|6002315|1614|160|IN|2026-04-20|0|0| |2026-04-23 09:17:04|
1614|6003578|160|A1|2026-04-22|6002163|1614|160|A1|2026-04-20|0|0| |2026-04-22 20:05:02|
1647|6009383|240|A1|2026-04-15|6009376|1647|240|A1|2026-04-15|0|0| |2026-04-15 18:53:02|
1614|6003565|160|IN|2026-04-23|6002319|1614|160|IN|2026-04-20|0|0| |2026-04-23 09:18:03|
1614|6003582|160|A1|2026-04-22|6002167|1614|160|A1|2026-04-20|0|0| |2026-04-22 20:47:02|
1614|6003569|160|IN|2026-04-23|6002299|1614|160|IN|2026-04-20|0|0| |2026-04-23 10:28:03|
1614|6003570|160|A1|2026-04-23|6002300|1614|160|A1|2026-04-20|0|0| |2026-04-23 08:47:02|
1614|6003559|160|IN|2026-04-23|6002313|1614|160|IN|2026-04-20|0|0| |2026-04-23 10:28:02|
3577|6300793|521|A1|2026-04-23|6300737|3577|521|A1|2026-04-22|0|0| |2026-04-23 12:32:01|
3577|6300646|521|IN|2026-04-04|6300620|3577|521|IN|2026-04-03|0|0| |2026-04-04 09:50:01|
1614|6003568|160|A1|2026-04-23|6002298|1614|160|A1|2026-04-20|0|0| |2026-04-23 08:47:01|
1614|6003577|160|IN|2026-04-23|6002307|1614|160|IN|2026-04-20|0|0| |2026-04-23 09:10:06|
1614|6003574|160|A1|2026-04-23|6002304|1614|160|A1|2026-04-20|0|0| |2026-04-23 08:47:03|
1925|6700294|160|IN|2026-04-29|6700246|1925|160|IN|2026-04-28|0|0| |2026-04-29 10:50:04|
1614|6003580|160|A1|2026-04-22|6002165|1614|160|A1|2026-04-20|0|0| |2026-04-22 20:47:01|
1614|6003566|160|A1|2026-04-22|6002296|1614|160|A1|2026-04-20|0|0| |2026-04-22 20:06:02|
1614|6003585|160|IN|2026-04-23|6002170|1614|160|IN|2026-04-20|0|0| |2026-04-23 09:09:04|
1614|6003583|160|IN|2026-04-23|6002168|1614|160|IN|2026-04-20|0|0| |2026-04-23 09:09:03|
1614|6003575|160|IN|2026-04-23|6002305|1614|160|IN|2026-04-20|0|0| |2026-04-23 09:10:05|
1614|6003564|160|A1|2026-04-23|6002318|1614|160|A1|2026-04-20|0|0| |2026-04-23 08:48:01|
