Patente|Pedimento|SeccionAduanera|ClaveContribucion|FormaPago|ImportePago|TipoPedimento|FechaPagoReal
3577|6300646|521|1|0|444|2|2026-04-04 09:50:01|
1614|6003563|160|1|0|444|2|2026-04-23 09:18:02|
3471|6401067|160|1|0|444|2|2026-04-25 13:50:03|
1614|6003583|160|1|0|444|2|2026-04-23 09:09:03|
1614|6003574|160|1|0|444|2|2026-04-23 08:47:03|
1614|6003554|160|1|0|444|2|2026-04-22 20:06:05|
1614|6003562|160|1|0|444|2|2026-04-22 20:46:02|
1614|6003575|160|1|0|444|2|2026-04-23 09:10:05|
1614|6003584|160|1|0|444|2|2026-04-22 20:06:01|
1614|6003559|160|1|0|444|2|2026-04-23 10:28:02|
1614|6003581|160|1|0|444|2|2026-04-23 09:09:02|
1614|6003579|160|1|0|444|2|2026-04-23 09:09:01|
1614|6003571|160|1|0|444|2|2026-04-23 09:09:05|
1614|6003582|160|1|0|444|2|2026-04-22 20:47:02|
1614|6003556|160|1|0|444|2|2026-04-23 08:47:04|
1614|6003578|160|1|0|444|2|2026-04-22 20:05:02|
1614|6003568|160|1|0|444|2|2026-04-23 08:47:01|
1614|6003560|160|1|0|444|2|2026-04-22 20:46:01|
1647|6009383|240|1|0|444|2|2026-04-15 18:53:02|
1614|6003570|160|1|0|444|2|2026-04-23 08:47:02|
1614|6003577|160|1|0|444|2|2026-04-23 09:10:06|
1614|6003558|160|1|0|444|2|2026-04-23 08:47:05|
1614|6003580|160|1|0|444|2|2026-04-22 20:47:01|
3577|6300793|521|1|0|444|2|2026-04-23 12:32:01|
1614|6003555|160|1|0|444|2|2026-04-23 09:17:02|
1614|6003573|160|1|0|444|2|2026-04-23 09:10:02|
1614|6003565|160|1|0|444|2|2026-04-23 09:18:03|
1614|6003557|160|1|0|444|2|2026-04-23 09:17:03|
1614|6003572|160|1|0|444|2|2026-04-22 20:06:03|
1925|6700294|160|1|0|444|2|2026-04-29 10:50:04|
1614|6003564|160|1|0|444|2|2026-04-23 08:48:01|
1614|6003561|160|1|0|444|2|2026-04-23 09:17:04|
1614|6003585|160|1|0|444|2|2026-04-23 09:09:04|
1614|6003576|160|1|0|444|2|2026-04-22 20:06:04|
1614|6003566|160|1|0|444|2|2026-04-22 20:06:02|
1614|6003569|160|1|0|444|2|2026-04-23 10:28:03|
1614|6003567|160|1|0|444|2|2026-04-23 11:04:03|
