Patente|Pedimento|SeccionAduanera|ConsecutivoRemesa|NumeroSeleccion|FechaInicioReconocimiento|HoraInicioReconocimiento|FechaFinReconocimiento|HoraFinReconocimiento|Fraccion|SecuenciaFraccion|ClaveDocumento|TipoOperacion|GradoIncidencia|FechaSeleccion
1647|6008912|240|30|1|2026-04-22|14:55|2026-04-22|17:06|00000000|0|RT|2|C|2026-04-22|
1925|6000357|160|0|1|2026-04-04|09:20|2026-04-04|12:07|00000000|0|IN|1|C|2026-04-04|
3471|6400946|160|0|1|2026-04-21|09:09|2026-04-21|12:28|00000000|0|IN|1|C|2026-04-21|
1614|6002012|160|0|1|2026-04-09|21:47|2026-04-09|22:58|00000000|0|IN|1|C|2026-04-09|
1647|6008844|240|4|1|2026-04-14|14:32|2026-04-14|15:29|00000000|0|RT|2|C|2026-04-14|
1925|6100253|160|0|1|2026-04-11|09:04|2026-04-11|11:04|00000000|0|A1|1|C|2026-04-11|
1614|6002190|160|0|1|2026-04-20|11:10|2026-04-20|14:05|00000000|0|IN|1|C|2026-04-20|
3471|6400837|160|0|1|2026-04-07|16:35|2026-04-07|21:06|00000000|0|IN|1|C|2026-04-07|
1647|6008805|240|38|1|2026-04-08|20:42|2026-04-08|22:10|00000000|0|RT|2|C|2026-04-08|
3043|6001115|523|0|1|2026-04-30|13:09|2026-04-30|13:47|00000000|0|IN|1|C|2026-04-30|
1614|6002218|160|0|1|2026-04-20|12:09|2026-04-20|15:28|00000000|0|A1|1|C|2026-04-20|
1925|6000362|160|0|1|2026-04-04|15:21|2026-04-04|18:16|00000000|0|A1|1|C|2026-04-04|
3577|6300762|520|3|1|2026-04-21|17:41|2026-04-21|18:28|00000000|0|IN|1|C|2026-04-21|
1647|6008805|240|7|1|2026-04-07|14:26|2026-04-07|17:16|00000000|0|RT|2|C|2026-04-07|
3577|6300762|520|5|1|2026-04-21|17:41|2026-04-21|18:29|00000000|0|IN|1|C|2026-04-21|
3577|6300660|521|0|1|2026-04-09|16:39|2026-04-09|17:15|00000000|0|IN|1|C|2026-04-09|
1614|6001964|160|0|1|2026-04-07|18:45|2026-04-07|22:36|00000000|0|IN|1|C|2026-04-07|
1925|6000361|160|0|1|2026-04-04|15:21|2026-04-04|18:16|00000000|0|IN|1|C|2026-04-04|
