Patente|Pedimento|SeccionAduanera|ConsecutivoRemesa|NumeroSeleccion|FechaSeleccion|HoraSeleccion|SemaforoFiscal|ClaveDocumento|TipoOperacion
3043|6700014|520|22|1|2026-04-06|13:47|1|RT|2|
3471|6400873|160|0|1|2026-04-10|15:32|1|A1|1|
1647|6008912|240|48|1|2026-04-22|21:55|1|RT|2|
1647|6008912|240|1|1|2026-04-21|07:15|1|RT|2|
1647|6008805|240|47|1|2026-04-09|12:13|1|RT|2|
3471|6400868|160|0|1|2026-04-10|13:19|1|A1|1|
1647|6008843|240|20|1|2026-04-19|08:52|1|RT|2|
3471|6400904|160|0|1|2026-04-07|15:51|1|A1|1|
1925|6000359|160|0|1|2026-04-04|11:37|1|IN|1|
1647|6008844|240|58|1|2026-04-18|12:12|1|RT|2|
1925|6700244|160|0|1|2026-04-30|22:55|1|IN|1|
1647|6008844|240|3|1|2026-04-14|14:27|1|RT|2|
1647|6008912|240|66|1|2026-04-23|20:23|1|RT|2|
1647|6008912|240|18|1|2026-04-21|20:45|1|RT|2|
1925|6000420|160|0|1|2026-04-17|14:25|1|A1|1|
3577|6300814|521|0|1|2026-04-28|17:40|1|A1|1|
3043|6700016|520|5|1|2026-04-08|15:30|1|RT|2|
3897|6603103|240|0|1|2026-04-07|17:51|1|T3|1|
1614|6001955|160|0|1|2026-04-07|17:13|1|A1|1|
1647|6008912|240|12|1|2026-04-21|19:11|1|RT|2|
1647|6008805|240|5|1|2026-04-07|14:08|1|RT|2|
1647|6008418|240|34|1|2026-04-04|10:22|1|RT|2|
1647|6008844|240|53|1|2026-04-18|09:28|1|RT|2|
1614|6003580|160|0|1|2026-04-23|19:12|1|A1|1|
1614|6003572|160|0|1|2026-04-23|18:13|1|A1|1|
1647|6008843|240|5|1|2026-04-13|21:27|1|RT|2|
3577|6300618|521|0|1|2026-04-29|18:10|1|IN|1|
1647|6008805|240|12|1|2026-04-07|18:24|1|RT|2|
1647|6008912|240|63|1|2026-04-23|14:24|1|RT|2|
1647|6008912|240|21|1|2026-04-21|20:53|1|RT|2|
1925|6700215|160|0|1|2026-04-27|16:14|1|IN|1|
3043|6700016|520|6|1|2026-04-09|14:08|1|RT|2|
3471|6400899|160|0|1|2026-04-17|20:24|1|A1|1|
3897|6603591|240|0|1|2026-04-20|05:05|1|T3|1|
1925|6100307|160|0|1|2026-04-21|13:36|1|IN|1|
1647|6008912|240|52|1|2026-04-23|09:24|1|RT|2|
1647|6008805|240|44|1|2026-04-09|11:07|1|RT|2|
3471|6400809|160|0|1|2026-04-07|18:05|1|A1|1|
1614|6002060|160|0|1|2026-04-16|10:02|1|IN|1|
3043|6000965|523|0|1|2026-04-15|14:49|1|A1|1|
3577|6300711|521|0|1|2026-04-17|13:34|1|IN|1|
1647|6008843|240|8|1|2026-04-14|16:16|1|RT|2|
1614|6002217|160|0|1|2026-04-20|13:44|1|IN|1|
3577|6300710|521|0|1|2026-04-16|19:06|1|IN|1|
1647|6008912|240|14|1|2026-04-21|19:53|1|RT|2|
3471|6401011|160|0|1|2026-04-25|14:30|0|IN|1|
1614|6003576|160|0|1|2026-04-23|19:52|1|A1|1|
1614|6001814|160|0|1|2026-04-09|11:07|1|A1|1|
