Pedimento,Fechapago,Fechaentrada,Tipocambio,Clave,Patente,Aduana,Seccion,Val.Seguros,Seguros,Fletes,Embalajes,Otrosincrementables,PRV,IVAPRV,CNT,DTA,Factura,Fecha,TipocambioFact,Claveproveedor,Incoterm,MonedaFact.,FactorMon.Fact.,EDocument,Material,CantidadUMTarifa,UMTarifa,CantidadComercial,UMComercial,CANTIDADaDESCARGAR,UMDescarga, ValorEUR ,IDENTIFICADORAF,Fraccion(+NICO),Paisorigen,EQUIPOOMAT,Metodovaloracion,Serie,PesoGross,PesoNeto,DescripcionPed,Secuencia,V1IMMEXORFC,BULTOS,TIPOBULTO,OBSERVACIONES,ORDENDECOMPRA,FRACCIONR8,PERMISOR8,PARTIDAR8,MARCA,MODELO
6500051,2026-01-07 17:40:05,2026-01-07 17:32:19,18.00120,A1,3471,16,0,0,0,0,0,0,,,0,,COVE257W0VV17,2025-12-10,,91330100757206158,CIF, ,,,RED DE PROTECCION IZQUIERDA,82.00000,1,136.000,6,136.000,6,,,63079099,CHN,,6,,3573.370,,,2,,,,,,,,,,
6500051,2026-01-07 17:40:05,2026-01-07 17:32:19,18.00120,A1,3471,16,0,0,0,0,0,0,,,0,,COVE257W0VV17,2025-12-10,,91330100757206158,CIF, ,,,CORREA PARA BATERIA,23.99000,1,136.000,6,136.000,6,,,63079099,CHN,,6,,3573.370,,,6,,,,,,,,,,
6500051,2026-01-07 17:40:05,2026-01-07 17:32:19,18.00120,A1,3471,16,0,0,0,0,0,0,,,0,,COVE257W0VV17,2025-12-10,,91330100757206158,CIF, ,,,ESPONJA,8.16000,1,408.000,6,408.000,6,,,39211991,CHN,,6,,3573.370,,,1,,,,,,,,,,
6500051,2026-01-07 17:40:05,2026-01-07 17:32:19,18.00120,A1,3471,16,0,0,0,0,0,0,,,0,,COVE257W0VV17,2025-12-10,,91330100757206158,CIF, ,,,EMBALAJE METALICO,0.04000,1,2.000,6,2.000,6,,,73269099,CHN,,6,,3573.370,,,7,,,,,,,,,,
6500051,2026-01-07 17:40:05,2026-01-07 17:32:19,18.00120,A1,3471,16,0,0,0,0,0,0,,,0,,COVE257W0VV17,2025-12-10,,91330100757206158,CIF, ,,,RED DE PROTECCION DERECHA,82.00000,1,136.000,6,136.000,6,,,63079099,CHN,,6,,3573.370,,,3,,,,,,,,,,
6500051,2026-01-07 17:40:05,2026-01-07 17:32:19,18.00120,A1,3471,16,0,0,0,0,0,0,,,0,,COVE257W0VV17,2025-12-10,,91330100757206158,CIF, ,,,EMBALAJE METALICO,150.00000,1,2.000,6,2.000,6,,,73269099,CHN,,6,,3573.370,,,8,,,,,,,,,,
6500051,2026-01-07 17:40:05,2026-01-07 17:32:19,18.00120,A1,3471,16,0,0,0,0,0,0,,,0,,COVE257W0VV17,2025-12-10,,91330100757206158,CIF, ,,,RED DE PROTECCION DERECHA,82.00000,1,136.000,6,136.000,6,,,63079099,CHN,,6,,3573.370,,,5,,,,,,,,,,
6500051,2026-01-07 17:40:05,2026-01-07 17:32:19,18.00120,A1,3471,16,0,0,0,0,0,0,,,0,,COVE257W0VV17,2025-12-10,,91330100757206158,CIF, ,,,RED DE PROTECCION IZQUIERDA,82.00000,1,136.000,6,136.000,6,,,63079099,CHN,,6,,3573.370,,,4,,,,,,,,,,
6500051,2026-01-07 17:40:05,2026-01-07 17:32:19,18.00120,A1,3471,16,0,0,0,0,0,0,,,0,,COVE257W0VV17,2025-12-10,,91330100757206158,CIF, ,,,EMBALAJE METALICO,60.00000,1,3.000,6,3.000,6,,,73269099,CHN,,6,,3573.370,,,11,,,,,,,,,,
6500051,2026-01-07 17:40:05,2026-01-07 17:32:19,18.00120,A1,3471,16,0,0,0,0,0,0,,,0,,COVE257W0VV17,2025-12-10,,91330100757206158,CIF, ,,,EMBALAJE METALICO,975.00000,1,15.000,6,15.000,6,,,73269099,CHN,,6,,3573.370,,,9,,,,,,,,,,
6500051,2026-01-07 17:40:05,2026-01-07 17:32:19,18.00120,A1,3471,16,0,0,0,0,0,0,,,0,,COVE257W0VV17,2025-12-10,,91330100757206158,CIF, ,,,EMBALAJE METALICO,1240.00000,1,8.000,6,8.000,6,,,73269099,CHN,,6,,3573.370,,,10,,,,,,,,,,
6000872,2026-01-22 14:02:04,2026-01-22 13:52:07,17.81670,A1,3178,16,0,0,0,0,0,0,,,0,,COVE267XA2UA6,2025-12-16,,91330100757206158,CIF, ,,,ESLINGAS,36.72000,1,432.000,6,432.000,6,,,56090002,CHN,,6,,450.000,,,4,,,,,,,,,,
6000872,2026-01-22 14:02:04,2026-01-22 13:52:07,17.81670,A1,3178,16,0,0,0,0,0,0,,,0,,COVE267XA2UA6,2025-12-16,,91330100757206158,CIF, ,,,EMBALAJE METALICO,51.00000,1,2.000,6,2.000,6,,,73269099,CHN,,6,,450.000,,,3,,,,,,,,,,
6000872,2026-01-22 14:02:04,2026-01-22 13:52:07,17.81670,A1,3178,16,0,0,0,0,0,0,,,0,,COVE267XA2UA6,2025-12-16,,91330100757206158,CIF, ,,,EMBALAJE METALICO,25.80000,1,1.000,6,1.000,6,,,73269099,CHN,,6,,450.000,,,2,,,,,,,,,,
6000872,2026-01-22 14:02:04,2026-01-22 13:52:07,17.81670,A1,3178,16,0,0,0,0,0,0,,,0,,COVE267XA2UA6,2025-12-16,,91330100757206158,CIF, ,,,EMBALAJE METALICO,51.00000,1,2.000,6,2.000,6,,,73269099,CHN,,6,,450.000,,,5,,,,,,,,,,
6000872,2026-01-22 14:02:04,2026-01-22 13:52:07,17.81670,A1,3178,16,0,0,0,0,0,0,,,0,,COVE267XA2UA6,2025-12-16,,91330100757206158,CIF, ,,,EMBALAJE METALICO,25.80000,1,1.000,6,1.000,6,,,73269099,CHN,,6,,450.000,,,1,,,,,,,,,,
6400210,2026-01-17 11:17:03,2026-01-17 11:06:51,17.81670,A1,3471,16,0,0,0,0,0,0,,,0,,COVE267WK7OL7,2025-12-24,,91330100757206158,CIF, ,,,EMBALAJE METALICO,1248.00000,1,24.000,6,24.000,6,,,73269099,CHN,,6,,2008.000,,,3,,,,,,,,,,
6400210,2026-01-17 11:17:03,2026-01-17 11:06:51,17.81670,A1,3471,16,0,0,0,0,0,0,,,0,,COVE267WK7OL7,2025-12-24,,91330100757206158,CIF, ,,,EMBALAJE METALICO,310.00000,1,2.000,6,2.000,6,,,73269099,CHN,,6,,2008.000,,,2,,,,,,,,,,
6400210,2026-01-17 11:17:03,2026-01-17 11:06:51,17.81670,A1,3471,16,0,0,0,0,0,0,,,0,,COVE267WK7OL7,2025-12-24,,91330100757206158,CIF, ,,,EMBALAJE METALICO,450.00000,1,6.000,6,6.000,6,,,73269099,CHN,,6,,2008.000,,,1,,,,,,,,,,
6400047,2026-01-07 16:06:03,2026-01-07 16:00:43,18.00120,A1,3471,16,0,0,0,0,0,0,,,0,,COVE257W0PGD4,2025-12-10,,91330100757206158,CIF, ,,,EMBALAJE METALICO,150.00000,1,2.000,6,2.000,6,,,73269099,CHN,,6,,1468.000,,,2,,,,,,,,,,
6400047,2026-01-07 16:06:03,2026-01-07 16:00:43,18.00120,A1,3471,16,0,0,0,0,0,0,,,0,,COVE257W0PGD4,2025-12-10,,91330100757206158,CIF, ,,,EMBALAJE METALICO,220.00000,1,4.000,6,4.000,6,,,73269099,CHN,,6,,1468.000,,,3,,,,,,,,,,
6400047,2026-01-07 16:06:03,2026-01-07 16:00:43,18.00120,A1,3471,16,0,0,0,0,0,0,,,0,,COVE257W0PGD4,2025-12-10,,91330100757206158,CIF, ,,,EMBALAJE METALICO,880.00000,1,16.000,6,16.000,6,,,73269099,CHN,,6,,1468.000,,,1,,,,,,,,,,
6000110,2026-01-29 11:24:01,2026-01-28 17:48:36,17.59900,A1,1925,16,0,0,0,0,0,0,,,0,,COVE267X1QDL5,2025-12-27,,91330100757206158,CIF,USD,,,EMBALAJE DE ACERO,153.00000,1,6.000,6,6.000,6,,,73269099,CHN,,6,,3248.000,,,3,,,,,,,,,,
6000110,2026-01-29 11:24:01,2026-01-28 17:48:36,17.59900,A1,1925,16,0,0,0,0,0,0,,,0,,COVE267X1QDL5,2025-12-27,,91330100757206158,CIF,USD,,,EMBALAJE MET�LICO,153.00000,1,6.000,6,6.000,6,,,73269099,CHN,,6,,3248.000,,,4,,,,,,,,,,
6000110,2026-01-29 11:24:01,2026-01-28 17:48:36,17.59900,A1,1925,16,0,0,0,0,0,0,,,0,,COVE267X1QDL5,2025-12-27,,91330100757206158,CIF,USD,,,EMBALAJE MET�LICO,918.00000,1,6.000,6,6.000,6,,,73269099,CHN,,6,,3248.000,,,2,,,,,,,,,,
6000110,2026-01-29 11:24:01,2026-01-28 17:48:36,17.59900,A1,1925,16,0,0,0,0,0,0,,,0,,COVE267X1QDL5,2025-12-27,,91330100757206158,CIF,USD,,,EMBALAJE DE ACERO,918.00000,1,6.000,6,6.000,6,,,73269099,CHN,,6,,3248.000,,,1,,,,,,,,,,
6400065,2026-01-08 17:13:05,2026-01-08 16:59:48,17.88030,IN,3471,16,0,0,0,0,0,0,,,0,,COVE257W59DY7,2025-12-13,,91330100757206158,CIF, ,,,PARTE DE LA CARROCERIA,55.00000,6,55.000,6,55.000,6,,,87082999,CHN,,6,,23435.980,,,66,,,,,,,,,,
6400065,2026-01-08 17:13:05,2026-01-08 16:59:48,17.88030,IN,3471,16,0,0,0,0,0,0,,,0,,COVE257W59DY7,2025-12-13,,91330100757206158,CIF, ,,,CAJA DE DIRECCION ELECTRICA,1.00000,6,1.000,6,1.000,6,,,87089412,CHN,,6,,23435.980,,,154,,,,,,,,,,
6400065,2026-01-08 17:13:05,2026-01-08 16:59:48,17.88030,IN,3471,16,0,0,0,0,0,0,,,0,,COVE257W59DY7,2025-12-13,,91330100757206158,CIF, ,,,RIGIDIZADOR CURVO I.,255.00000,6,255.000,6,255.000,6,,,87082999,CHN,,6,,23435.980,,,142,,,,,,,,,,
6400065,2026-01-08 17:13:05,2026-01-08 16:59:48,17.88030,IN,3471,16,0,0,0,0,0,0,,,0,,COVE257W59DY7,2025-12-13,,91330100757206158,CIF, ,,,BRAZO DE LA SUSPENSION,10.00000,6,10.000,6,10.000,6,,,87088007,CHN,,6,,23435.980,,,149,,,,,,,,,,
