PART_NUMBER,REGIMEN,TypeMaterial,DESCRIPTION_EN,DESCRIPCION_ES,UMC,UMT,HTSMX,HTSMXBASE,HTSMXNICO,IGI_DUTY,PROSEC,R8,DESCRIPCION_R8,RRYNA_NON_DUTY_REQUIREMENTS,REMARKS,NETWEIGHT,IMPORTED_OR_NOT,SENSIBLE,HTS_SerialNo,CLAVESAT,DESCRIPCION_CN,MATERIAL_CN,MATERIAL_EN,FUNCTION_CN,FUNCTION_EN,COMPANY
940010-12519,A1,Equipo,UPVC water pipe,TUBO DE PVC,PZA,PZA,3917230499,39172304,99,0,,,,,,4.5,Y,N,CF SALE MXHTS2025070030,25174800,,,,,,
30006-080030810,IN,0,BOLT,TORNILLO DE ACERO DE USO AUTOMOTRIZ,PZA,KG,7318159903,73181599,3,35,,1931R825050575,TORNILLO DE ACERO DE USO AUTOMOTRIZ  PERNOS ROSCADOS DE USO AUTOMOTRIZ  MONTAJE DE LA PLACA DE PROTECCION 7318159903,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.2,Y,N,0,31161502,,,,,,
9CR6-300204,IN,0,SMALL CLAMP,ABRAZADERA DE ACERO,PZA,PZA,7326909903,73269099,3,35,,1931R825050550,ABRAZADERA DE ACERO CLIP DE FIJACION 7326909903,NO RRNA,0,0.001,Y,N,0,31162400,,,,,,
5HYV-043043-6000,IN,0,FRONT RH SMALL FENDER,GUARDABARROS,PZA,PZA,8708290100,87082901,0,0,,,,NO RRNA,0,0.136,Y,N,0,31161700,,,,,,
5SYV-044043-8302,IN,KD,FRONT ROW UPPER LH PANEL,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,,0,0.246,Y,N,CF SALE MXHTS2025040002,25181604,,,,,,
5HY0-031770-2MP0M,IN,0,WINDSHIELD WIPER KIT,VIGA LATERAL INFERIOR IZQUIERDA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,2.743,Y,N,0,25181604,,,,,,
A000-080001,IN,0,SCREW,TORNILLO DE ACERO DE USO AUTOMOTRIZ,PZA,KG,7318159903,73181599,3,35,,1931R825050575,TORNILLO DE ACERO DE USO AUTOMOTRIZ  PERNOS ROSCADOS DE USO AUTOMOTRIZ  MONTAJE DE LA PLACA DE PROTECCION 7318159903,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.0012,Y,N,0,31161502,,,,,,
520090-00999,A1,Equipo,Wire Feed Tube 8m,TUBO FLEXIBLE,PZA,PZA,8307109900,83071099,0,5,Ex. ,,,,,0.227,Y,N,0,25174800,,,,,,
A20251203,A1,Equipo,Plasma Cutting Nozzle,PARTE PARA MAQUINA DE CORTE POR PLASMA,PZA,PZA,8466939999,84669399,99,0,,,,,,3.3,Y,N,CF SALE MXHTS2025120002,23241506,c c a a 2a,Carbide,Hard alloy,Accessories for plasma cutting machines,Spare Parts for Plasma Cutting Machines,four wheeler
520090-01028,A1,Equipo,Trachea Connector PL08-02,CONECTOR DE ACERO,PZA,KG,7307920200,73079202,0,0,,,,,,0.03,Y,N,0,25174800,,,,,,
5ASV-041041-6000-0RE00,IN,0,FRONT PANEL,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,1.62,Y,N,0,25181604,,,,,,
5HYV-182530-6000,IN,0,CONNECTING TUBE 4,TUBO DE CAUCHO,PZA,KG,4009310602,40093106,2,0,,,,NO RRNA,0,0.044,Y,N,0,31162312,,,,,,
5ASV-260001-6000,IN,0,LH BRACKET REAR VIEW MIRROR,SOPORTE DE MONTAJE PARA ESPEJO RETROVISOR,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.15,Y,N,0,25181604,,,,,,
940010-12528,A1,Equipo,UPVC 90 degree elbow connector,ACCESORIO PARA TUBERIA DE PVC,PZA,KG,3917400100,39174001,0,0,,,,,,0.2,Y,N,CF SALE MXHTS2025070030,25174800,,,,,,
JBNY-06600Z-1000,IN,KD,Driven bevel gear combination,PARTE DE CAJA DE CAMBIOS,PZA,PZA,8708409901,87084099,1,5,3,,,,,2,Y,N,CF SALE MXHTS2025050009,25174800,,,,,,
TBQ229,A1,0,Large plastic bag 230x340x0.04 self-sealing nylon bag,BOLSA DE PLASTICO,PZA,KG,3923210100,39232101,0,0,,,,NO RRNA,0,0.003,Y,N,0,24111500,,,,,,
Q870-333109,IN,KD,Spherical washer,ARANDELA DE ACERO,PZA,KG,7318229199,73182291,99,35,,1931R825050385,ARANDELA DE ACERO 7318229199,NOM-050-SCFI-2004,,0.004,Y,N,CF SALE MXHTS2025050009,25174800,,,,,,
5HYV-031990-6000-H1M,IN,KD,Compressor mounting bracket.,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.623,Y,N,0,25181604,,,,,,
B20251132,A1,Equipo,Spring clamp,PINZA PARA ANILLOS,PZA,PZA,8203209900,82032099,0,15,Ex.,,,NORMA DE ETIQUETADO: NOM-050-SCFI-2004,,3.2,Y,N,CF SALE MXHTS2025110029,,a c e 3,Carbon steela plastic,Carbon steel plastic,a e a a a c,Install and remove the retaining ring,four wheeler
940010-08427,A1,Equipo,QC42-P01 Energy combination module fixed side,PARTE PARA ROBOT SOLDADOR,PZA,PZA,8468900100,84689001,0,0,,,,NO RRNA,0,1,Y,N,0,23271700,,,,,,
5BYV-374000-8000-0BQ00,IN,KD,RH SIDE DOOR ASSY,PUERTA,PZA,PZA,8708291900,87082919,0,0,,,,,,12.1,Y,N,CF SALE MXHTS2025050007,25172200,,,,,,
5HYV-041042-1C00-0K100,IN,KD,FRONT TOP COVER,COFRE PARA VEHICULO UTILITARIO DE CARGA,PZA,PZA,8708290200,87082902,0,0,,,,,,0.46,Y,N,CF SALE MXHTS2025050007,25174800,,,,,,
5HY0-031447-0MP0M,IN,0,HAND BRAKE RIGHT MOUNTING PLATE,PARTE DE LA ESTRUCTURA INTERIOR DEL VEHICULO (MONTAJE FRENO DE MANO),PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.502,Y,N,0,25181600,,,,,,
5HYV-169371-6000,IN,KD,Left Window Regulator Switch,INTERRUPTOR,PZA,PZA,8536509999,85365099,99,0,,,,NOM-003-SCFI-2014 / NOM-024-SCFI-2013,,0.017,Y,N,CF SALE MXHTS2025060032,25174800,,,,,,
5HYV-032060-6000-H1M,IN,KD,Air conditioning installation pipe assembly.,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.427,Y,N,0,25181604,,,,,,
5BYV-190015-7300,IN,0,WARNING LABEL ANTI-ROLLING BAR,ETIQUETA AUTOADHESIVA,PZA,KG,3919909900,39199099,0,35,,1931R825051346,ETIQUETA AUTOADHESIVA 3919909900 REFLEJANTE AUTOADHESIVO 3919909900 CALCOMANIA 3919909900,NO RRNA,0,0.001,Y,N,0,55121606,,,,,,
5HY1-030-011-250613JG-06-Z,A1,HerramietasDeTrabajo,Sensor bracket a...,SUJETADORES DE SENSOR,PZA,PZA,9031909900,90319099,0,0,,,,,,1.56,Y,N,CF SALE MXHTS2025060014,25174800,,,,,,
601401-01375,A1,Equipo,sleeve,DADO MAGNETICO,PZA,PZA,8204209900,82042099,0,10,Ex. ,,,,CONFIRM THAT THE BRAND IS NOT VISIBLE,0.05,Y,N,CF SALE MXHTS2025020017,31171502,,,,,,
940010-11175,A1,Equipo,Vibrating screen,TAMIZ,PZA,PZA,9604000100,96040001,0,0,,,,,,1.5,Y,N,CF SALE MXHTS2025040015,25174800,,,,,,
5SYV-182560-8000,IN,KD,CONNECTING TUBE 7,MANGUERA,PZA,KG,4009110200,40091102,0,0,,,,,,0.128,Y,N,0,25174800,,,,,,
940010-08367,A1,Equipo,Switching power supply P board,TARJETA DE CONTROL,PZA,PZA,8542310399,85423103,99,0,,,,NO RRNA,0,0.2,Y,N,0,32131010,,,,,,
5HYV-031542-6000-H1M,IN,KD,Right - wrapped angle of the lower vertical beam of the rear top bar.,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.26,Y,N,0,25181604,,,,,,
960010-01588,A1,Equipo,Piston Seal,EMPAQUE DE CAUCHO,PZA,KG,4016930499,40169304,99,0,,,,,,0.021,Y,N,0,25174800,,,,,,
940010-08381,A1,Equipo,Robot communication P board,TARJETA DE CONTROL,PZA,PZA,8542310399,85423103,99,0,,,,NO RRNA,0,0.2,Y,N,0,32131010,,,,,,
5ASV-220030-6000,IN,0,REFLECTOR,REFLECTOR DE USO AUTOMOTRIZ,PZA,PZA,8512900705,85129007,5,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.018,Y,N,0,39111827,,,,,,
601402-00601,AF,Equipo,electric  tightening  gun,DESTORNILLADOR DE EMBRAGUE,PZA,PZA,8467210100,84672101,0,15,Ex. ,,,NOM-003-SCFI-2014,,0.2,N,N,CF SALE MXHTS2025020017,25174800,,,,,,
TBQ010,A1,0,Tighten the straps,ESLINGAS,PZA,KG,5609000201,56090002,1,10,,,,NOM-004-SE-2021,The price needs to be over the estimate price that states the Minister of Public Crediti1 4 for textiles it is 3.78 USD per kilogram,0.2,Y,Y,0,24101611,,,,,,
5HY0-120001,IN,0,BRACKET OIL PIPE,SOPORTE DEL TUBO DE ACEITE,PZA,PZA,8708990800,87089908,0,5,Ex. ,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.1,Y,N,0,25181604,,,,,,
B20251136,A1,Equipo,Drill bit,BROCAS DE CARBUROS,PZA,PZA,8207500704,82075007,4,35,,,,NOM DE ETIQUETADO: NOM-050-SCFI-2004/ unicamente: Brocas con parte operante de diamante o de carbur,,0.1,Y,N,CF SALE MXHTS2025110029,,drill,Carbide,Hard alloy,drilling,Drilling,four wheeler
5SYV-341100-8000,IN,KD,DRIVER SEAT BELT ASSY,CINTURON DE SEGURIDAD,PZA,PZA,8708210100,87082101,0,0,,,,,,1.486,Y,N,0,25172100,,,,,,
940010-08438,A1,Equipo,Servo motor (sub-car)(7KW),MOTOR,PZA,PZA,8501529902,85015299,2,0,,,,NOM-016-ENER-2016,Can be imported,38.8,Y,N,0,26101900,,,,,,
TBT074-1650,A1,KD,tray,REJA DE METAL,PZA,KG,7314399900,73143999,0,25,,,,0,0,30,Y,Y,0,31181701,,,,,,
5HYV-223031-1C00,IN,0,REAR PANEL CARGO BOX,PANEL DE PUERTA TRASERA,PZA,PZA,8708290400,87082904,0,0,,,,NO RRNA,0,0.592,Y,N,0,25181604,,,,,,
5HYV-032040-6000-H1M,IN,KD,Foot brake pump bracket assembly.,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.25,Y,N,0,25181604,,,,,,
JXMF-MX-0111,A1,Equipo,allen key M12,LLAVE,PZA,PZA,8204119900,82041199,0,10,Ex. ,,,NOM-050-SCFI-2004,,0.2,Y,N,CF SALE MXHTS2025060034,25174800,,,,,,
5HYV-101140-6000,IN,KD,Right decorative component,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,,,0.021,Y,N,CF SALE MXHTS2025060019,25181604,,,,,,
