2026年3月 墨西哥附加值计算(26款USD）,,,,,,,
序号,车型,合同号Contract No.,颜色,墨西哥进口价格(CKD),附加值 add value,墨西哥F0B价格(México),美国海关整车进口价（USA)
1, CM1000UZ-8 ,"25MX-CFM174941C
25MX-CFM174942C
25MX-CFM175315C
"," 星光黑
卡纳提迷彩
波尔多红 ","$4,210.00","$1,483.00","$5,693.00","$7,630.00"
2, CM1000UZ-8 ,"25MX-CFM402936C
25MX-CFM402935C
25MX-CFM402937C

"," 星光黑
卡纳提迷彩
波尔多红 ","$4,295.00","$1,483.00","$5,778.00","$7,630.00"
2, CM1000UZ-8 ,"25MX-CFM174945C
25MX-CFM174943C
25MX-CFM174944C
"," 星光黑
卡纳提迷彩
波尔多红 ","$4,320.00","$1,483.00","$5,803.00","$7,630.00"
3, CM1000UZ-8L ,"25MX-CFM403555C
25MX-CFM403556C
25MX-CFM174952C
25MX-CFM174949C
25MX-CFM174950C
25MX-CFM174951C
25MX-CFM402938C
25MX-CFM402946C
25MX-CFM402943C
25MX-CFM402944C
25MX-CFM402945C
25MX-CFM174946C
25MX-CFM174947C
25MX-CFM174948C"," 星光黑
卡纳提迷彩
波尔多红 ","$4,480.00","$1,889.00","$6,369.00","$8,060.00"
4, CM1000UZ-8K ,"25MX-CFM403560C
25MX-CFM403570C
25MX-CFM403571C
25MX-CFM403572C
25MX-CFM403573C
25MX-CFM402947C
25MX-CFM174961C
25MX-CFM174962C
25MX-CFM174960C
25MX-CFM402948C
25MX-CFM402949C
25MX-CFM402950C
25MX-CFM402951C
25MX-CFM174953C
25MX-CFM174954C
25MX-CFM174955C
25MX-CFM174956C"," 星光黑
卡纳提迷彩
波尔多红 ","$5,400.00","$1,779.00","$7,179.00","$9,300.00"
5, CM1000UZ-8K ,"25MX-CFM174957C
25MX-CFM174958C
25MX-CFM174959C"," 星光黑
卡纳提迷彩
波尔多红 ","$4,870.00","$1,779.00","$6,649.00","$9,300.00"
6, CM1000UZ-8LK ,"25MX-CFM402145C
25MX-CFM402146C"," 星光黑
卡纳提迷彩
波尔多红 ","$5,716.00","$2,298.00","$8,014.00","$10,110.00"
7, CM1000UZ-8LK ,"25MX-CFM174963C
25MX-CFM174964C
25MX-CFM174965C
25MX-CFM174966C
25MX-CFM174967C
25MX-CFM403581C
25MX-CFM403586C
25MX-CFM403580C
25MX-CFM402974C
25MX-CFM402975C
25MX-CFM402977C
25MX-CFM402978C
25MX-CFM402980C
25MX-CFM402971C
25MX-CFM174970C
25MX-CFM174971C
25MX-CFM174972C
25MX-CFM175022C
25MX-CFM175318C
25MX-CFM175317C
25MX-CFM174968C
25MX-CFM174969C
25MX-CFM402972C
25MX-CFM402973C
25MX-CFM402976C
25MX-CFM402979C
25MX-CFM402981C
25MX-CFM402982C
"," 星光黑
卡纳提迷彩
波尔多红 ","$6,090.00","$2,298.00","$8,388.00","$10,110.00"
8, CM1000UZ , 26PIM-170118 ," 星光黑
卡纳提迷彩
深海蓝 ","$3,653.00","$1,150.00","$4,803.00","$7,081.80"
9, CM1000UZ , 26PIM-170123 ," 星光黑
卡纳提迷彩
深海蓝 ","$3,942.00","$1,150.00","$5,092.00","$7,081.80"
10, CM1000UZ , 26PIM-170124 ," 星光黑
卡纳提迷彩
深海蓝 ","$4,110.00","$1,150.00","$5,260.00","$7,081.80"
11, CM1000UZ ," 26PIM-170125
26PIM-170600 "," 星光黑
卡纳提迷彩
深海蓝 ","$4,145.00","$1,150.00","$5,295.00","$7,081.80"
, CM1000UZ , 26PIM-170599 ," 星光黑
卡纳提迷彩
深海蓝 ","$4,140.00","$1,150.00","$5,290.00","$7,081.80"
12, CM1000UZ-2 , 26PIM-170127 ," 星光黑
卡纳提迷彩
深海蓝 ","$3,952.00","$1,433.00","$5,385.00","$7,326.00"
13, CM1000UZ-2 , 26PIM-170128 ," 星光黑
卡纳提迷彩
深海蓝 ","$4,325.00","$1,433.00","$5,758.00","$7,326.00"
14, CM1000UZ-2 ," 26PIM-170119
 26PIM-170129 "," 星光黑
卡纳提迷彩
深海蓝 ","$4,485.00","$1,433.00","$5,918.00","$7,326.00"
15, CM1000UZ-2 , 26PIM-170130 ," 星光黑
卡纳提迷彩
深海蓝 ","$4,496.00","$1,433.00","$5,929.00","$7,326.00"
16, CM1000UZ-2 ," 26PIM-170601
26PIM-170602 "," 星光黑
卡纳提迷彩
深海蓝 ","$4,480.00","$1,433.00","$5,913.00","$7,326.00"
17, CM1000SZ-3 , 26PIM-170116 ," 星光黑
岩浆红 ","$3,496.00",$994.00,"$4,490.00","$7,061.27"
18, CM1000SZ-3 ," 26PIM-170120
 26PIM-170131 "," 星光黑
岩浆红 ","$3,866.00",$994.00,"$4,860.00","$7,061.27"
19, CM1000SZ-3L , 26PIM-170134 ," 星光黑
岩浆红
乌木棕 ","$4,138.00","$1,302.00","$5,440.00","$7,391.27"
20, CM1000SZ-3L ," 26PIM-170135
 26PIM-170139
 26PIM-170221
 26PIM-170122 "," 星光黑
岩浆红
乌木棕 ","$4,470.00","$1,302.00","$5,772.00","$7,391.27"
21, CM1000SZ-3A ," 26PIM-170117
26PIM-170121
26PIM-170132
26PIM-170133 "," 星光黑
岩浆红
乌木棕 ","$4,028.00",$994.00,"$5,050.00","$7,171.27"
,,,,,,,
,,,,,,,
